id,clockCycles,assemblyInstr
values_242,958,678
values_505,34892,24675
values_924,55058,38928
values_862,432,305
values_287,44408,31401
values_733,41110,29070
values_813,37938,26828
values_11,1610,1140
values_19,11362,8040
values_999,44408,31401
values_134,432,305
values_609,21552,15245
values_993,47832,33821
values_731,23968,16953
values_127,2388,1691
values_889,47832,33821
values_987,51382,36330
values_780,26510,18750
values_435,51382,36330
values_950,958,678
values_976,23968,16953
values_557,19262,13626
values_398,15060,10655
values_892,47832,33821
values_670,432,305
values_574,47832,33821
values_163,15060,10655
values_900,55058,38928
values_392,55058,38928
values_447,34892,24675
values_523,2388,1691
values_679,13148,9303
values_419,432,305
values_895,958,678
values_298,17098,12096
values_155,8168,5781
values_12,26510,18750
values_160,958,678
values_626,4322,3060
values_38,15060,10655
values_146,13148,9303
values_81,5478,3878
values_687,21552,15245
values_213,29178,20636
values_212,4322,3060
values_568,15060,10655
values_5,23968,16953
values_40,23968,16953
values_970,44408,31401
values_707,51382,36330
values_406,11362,8040
values_893,1610,1140
values_144,15060,10655
values_979,34892,24675
values_831,26510,18750
values_402,2388,1691
values_404,2388,1691
values_310,5478,3878
values_70,51382,36330
values_268,1610,1140
values_412,958,678
values_290,11362,8040
values_916,3292,2331
values_567,31972,22611
values_913,26510,18750
values_232,1610,1140
values_319,2388,1691
values_23,17098,12096
values_899,21552,15245
values_428,13148,9303
values_858,29178,20636
values_546,26510,18750
values_432,17098,12096
values_231,1610,1140
values_388,9702,6866
values_350,44408,31401
values_603,55058,38928
values_364,11362,8040
values_530,37938,26828
values_72,958,678
values_536,4322,3060
values_79,9702,6866
values_342,13148,9303
values_803,4322,3060
values_501,3292,2331
values_540,23968,16953
values_955,6760,4785
values_191,11362,8040
values_812,51382,36330
values_545,51382,36330
values_78,5478,3878
values_526,55058,38928
values_695,8168,5781
values_87,2388,1691
values_300,19262,13626
values_964,6760,4785
values_998,17098,12096
values_988,19262,13626
values_6,1610,1140
values_625,9702,6866
values_518,2388,1691
values_122,23968,16953
values_541,11362,8040
values_279,11362,8040
values_256,47832,33821
values_796,3292,2331
values_504,19262,13626
values_752,3292,2331
values_459,1610,1140
values_658,958,678
values_408,2388,1691
values_867,432,305
values_727,3292,2331
values_177,8168,5781
values_823,55058,38928
values_822,15060,10655
values_218,47832,33821
values_426,31972,22611
values_776,9702,6866
values_143,23968,16953
values_739,44408,31401
values_312,2388,1691
values_174,13148,9303
values_669,5478,3878
values_120,15060,10655
values_974,37938,26828
values_217,55058,38928
values_866,11362,8040
values_192,3292,2331
values_328,2388,1691
values_68,41110,29070
values_387,34892,24675
values_69,17098,12096
values_749,34892,24675
values_135,47832,33821
values_341,6760,4785
values_494,51382,36330
values_1,11362,8040
values_589,26510,18750
values_925,23968,16953
values_524,29178,20636
values_994,17098,12096
values_856,34892,24675
values_156,5478,3878
values_470,19262,13626
values_207,13148,9303
values_655,15060,10655
values_441,26510,18750
values_109,11362,8040
values_45,31972,22611
values_125,51382,36330
values_600,51382,36330
values_708,44408,31401
values_791,13148,9303
values_912,19262,13626
values_533,23968,16953
values_418,47832,33821
values_228,2388,1691
values_585,4322,3060
values_465,19262,13626
values_239,55058,38928
values_842,41110,29070
values_208,6760,4785
values_932,31972,22611
values_957,4322,3060
values_563,51382,36330
values_766,432,305
values_476,17098,12096
values_175,8168,5781
values_591,51382,36330
values_997,958,678
values_385,2388,1691
values_115,31972,22611
values_653,31972,22611
values_753,23968,16953
values_241,51382,36330
values_197,3292,2331
values_636,6760,4785
values_450,3292,2331
values_106,5478,3878
values_699,5478,3878
values_578,19262,13626
values_644,13148,9303
values_570,3292,2331
values_873,19262,13626
values_33,29178,20636
values_210,958,678
values_486,2388,1691
values_252,21552,15245
values_694,37938,26828
values_759,15060,10655
values_245,5478,3878
values_15,958,678
values_792,17098,12096
values_248,5478,3878
values_246,44408,31401
values_556,13148,9303
values_513,55058,38928
values_93,29178,20636
values_558,9702,6866
values_991,13148,9303
values_181,37938,26828
values_674,51382,36330
values_652,6760,4785
values_344,41110,29070
values_715,15060,10655
values_528,8168,5781
values_276,13148,9303
values_24,6760,4785
values_296,11362,8040
values_244,13148,9303
values_380,37938,26828
values_25,47832,33821
values_740,44408,31401
values_478,958,678
values_379,37938,26828
values_810,41110,29070
values_440,1610,1140
values_543,2388,1691
values_130,1610,1140
values_225,19262,13626
values_285,19262,13626
values_363,55058,38928
values_667,15060,10655
values_26,3292,2331
values_793,41110,29070
values_772,37938,26828
values_931,958,678
values_981,4322,3060
values_422,55058,38928
values_920,2388,1691
values_259,37938,26828
values_477,958,678
values_738,9702,6866
values_430,23968,16953
values_922,47832,33821
values_903,55058,38928
values_761,31972,22611
values_204,8168,5781
values_48,31972,22611
values_71,3292,2331
values_851,9702,6866
values_347,17098,12096
values_725,432,305
values_266,34892,24675
values_448,29178,20636
values_934,4322,3060
values_531,47832,33821
values_224,47832,33821
values_686,13148,9303
values_927,9702,6866
values_407,432,305
values_76,4322,3060
values_949,17098,12096
values_969,2388,1691
values_781,23968,16953
values_7,1610,1140
values_683,23968,16953
values_376,1610,1140
values_877,29178,20636
values_654,432,305
values_508,4322,3060
values_332,2388,1691
values_281,26510,18750
values_381,1610,1140
values_769,1610,1140
values_701,13148,9303
values_855,37938,26828
values_320,13148,9303
values_50,23968,16953
values_918,15060,10655
values_615,6760,4785
values_704,432,305
values_633,5478,3878
values_847,37938,26828
values_602,21552,15245
values_399,13148,9303
values_22,2388,1691
values_313,11362,8040
values_375,6760,4785
values_963,958,678
values_168,21552,15245
values_226,55058,38928
values_190,8168,5781
values_429,55058,38928
values_236,9702,6866
values_777,21552,15245
values_909,3292,2331
values_438,55058,38928
values_607,17098,12096
values_717,19262,13626
values_782,432,305
values_258,9702,6866
values_872,15060,10655
values_637,47832,33821
values_746,19262,13626
values_4,3292,2331
values_345,6760,4785
values_102,21552,15245
values_962,6760,4785
values_356,3292,2331
values_853,41110,29070
values_849,13148,9303
values_814,55058,38928
values_370,3292,2331
values_778,29178,20636
values_458,4322,3060
values_818,19262,13626
values_119,9702,6866
values_373,958,678
values_351,9702,6866
values_32,13148,9303
values_770,17098,12096
values_371,34892,24675
values_283,41110,29070
values_535,37938,26828
values_250,47832,33821
values_132,17098,12096
values_649,17098,12096
values_77,47832,33821
values_260,958,678
values_891,3292,2331
values_91,958,678
values_137,19262,13626
values_42,4322,3060
values_13,55058,38928
values_577,23968,16953
values_41,15060,10655
values_809,2388,1691
values_414,17098,12096
values_360,55058,38928
values_386,432,305
values_158,6760,4785
values_904,11362,8040
values_480,5478,3878
values_647,432,305
values_104,11362,8040
values_55,11362,8040
values_491,5478,3878
values_391,6760,4785
values_972,17098,12096
values_571,17098,12096
values_940,23968,16953
values_861,47832,33821
values_324,13148,9303
values_549,4322,3060
values_170,11362,8040
values_269,3292,2331
values_442,23968,16953
values_520,29178,20636
values_455,1610,1140
values_31,55058,38928
values_971,2388,1691
values_397,19262,13626
