inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,22,11,68,55,18,75,108,16,28,16,12,100,22,100.0,22,100.0
values_505,22,11,63,112,28,46,56,64,83,98,118,10,11,12,13,14
values_924,22,11,51,12,107,47,16,28,68,24,77,10,11,12,13,14
values_862,22,11,22,113,39,70,93,38,79,115,39,66,10,11,12,13
values_287,22,11,85,67,47,92,16,12,100,22,100.0,22,100.0,20,,
values_733,22,11,47,73,111,36,121,16,12,100,22,100.0,22,100.0,20,
values_813,22,11,13,109,31,29,70,50,48,35,117,63,10,11,16,12
values_11,22,11,125,45,47,63,42,11,105,20,111,10,11,12,13,14
values_19,22,11,40,63,58,35,92,23,118,59,16,12,100,22,100.0,22
values_999,22,11,117,103,117,41,35,31,68,13,31,16,12,100,22,100.0
values_134,22,11,106,121,103,67,108,49,119,10,77,40,10,11,12,13
values_609,22,11,14,117,118,113,45,36,70,14,92,23,10,11,12,13
values_993,22,11,59,75,88,113,79,77,111,18,81,10,11,12,13,14
values_731,22,11,40,60,53,101,22,76,94,10,32,70,10,11,12,13
values_127,22,11,17,30,82,81,50,55,16,12,100,22,100.0,22,100.0,20
values_889,22,11,22,61,97,11,53,68,76,100,84,33,10,11,12,13
values_987,22,11,123,121,76,16,121,87,26,98,10,11,12,13,14,15
values_780,22,11,22,92,14,117,19,100,14,18,99,10,11,12,13,14
values_435,22,11,28,16,12,100,22,100.0,22,100.0,20,,,,,
values_950,22,11,114,45,63,78,118,15,42,44,77,10,16,12,100,22
values_976,22,11,17,35,116,119,32,111,78,34,55,10,11,12,13,14
values_557,22,11,13,21,21,76,65,66,30,67,71,10,16,12,100,22
values_398,22,11,66,33,115,14,14,102,34,24,23,89,10,11,12,13
values_892,22,11,70,83,67,117,125,124,66,49,12,114,10,11,12,13
