inputName,text,data,bss
values_242,13520,152,392
values_505,13520,152,392
values_924,13520,168,392
values_862,13520,176,392
values_287,13520,160,392
values_733,13520,160,392
values_813,13520,152,392
values_11,13520,168,392
values_19,13520,168,392
values_999,13520,168,392
values_134,13520,160,392
values_609,13520,168,392
values_993,13520,160,392
values_731,13520,168,392
values_127,13520,168,392
values_889,13520,168,392
values_987,13520,152,392
values_780,13520,160,392
values_435,13520,168,392
values_950,13520,160,392
values_976,13520,152,392
values_557,13520,160,392
values_398,13520,176,392
values_892,13520,160,392
values_670,13520,160,392
values_574,13520,152,392
values_163,13520,152,392
values_900,13520,152,392
values_392,13520,168,392
values_447,13520,176,392
values_523,13520,160,392
values_679,13520,160,392
values_419,13520,160,392
values_895,13520,160,392
values_298,13520,152,392
values_155,13520,160,392
values_12,13520,160,392
values_160,13520,160,392
values_626,13520,160,392
values_38,13520,152,392
values_146,13520,168,392
values_81,13520,168,392
values_687,13520,152,392
values_213,13520,152,392
values_212,13520,168,392
values_568,13520,152,392
values_5,13520,168,392
values_40,13520,160,392
values_970,13520,160,392
values_707,13520,168,392
values_406,13520,176,392
values_893,13520,160,392
values_144,13520,160,392
values_979,13520,160,392
values_831,13520,168,392
values_402,13520,168,392
values_404,13520,168,392
values_310,13520,168,392
values_70,13520,152,392
values_268,13520,168,392
values_412,13520,152,392
values_290,13520,160,392
values_916,13520,176,392
values_567,13520,168,392
values_913,13520,152,392
values_232,13520,168,392
values_319,13520,168,392
values_23,13520,168,392
values_899,13520,152,392
values_428,13520,160,392
values_858,13520,160,392
values_546,13520,152,392
values_432,13520,176,392
values_231,13520,168,392
values_388,13520,152,392
values_350,13520,168,392
values_603,13520,160,392
values_364,13520,168,392
values_530,13520,160,392
values_72,13520,160,392
values_536,13520,152,392
values_79,13520,160,392
values_342,13520,168,392
values_803,13520,176,392
values_501,13520,168,392
values_540,13520,168,392
values_955,13520,160,392
values_191,13520,168,392
values_812,13520,176,392
values_545,13520,168,392
values_78,13520,160,392
values_526,13520,176,392
values_695,13520,160,392
values_87,13520,152,392
values_300,13520,160,392
values_964,13520,168,392
values_998,13520,160,392
values_988,13520,152,392
values_6,13520,168,392
values_625,13520,152,392
values_518,13520,176,392
values_122,13520,152,392
values_541,13520,168,392
values_279,13520,160,392
values_256,13520,160,392
values_796,13520,176,392
values_504,13520,160,392
values_752,13520,168,392
values_459,13520,168,392
values_658,13520,152,392
values_408,13520,168,392
values_867,13520,152,392
values_727,13520,168,392
values_177,13520,176,392
