id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,4423,1514,36,122.861
values_505,5031,1943,86,58.500
values_924,9996,4835,365,27.386
values_862,11129,5673,461,24.141
values_287,7786,3226,222,35.072
values_733,6776,2637,161,42.087
values_813,4280,1444,36,118.889
values_11,8536,3752,267,31.970
values_19,8624,3856,275,31.360
values_999,10610,5270,349,30.401
values_134,8033,3460,235,34.183
values_609,9504,4458,300,31.680
values_993,7656,3182,197,38.863
values_731,10597,5256,419,25.291
values_127,8763,3988,270,32.456
values_889,10472,5163,388,26.990
values_987,4856,1820,98,49.551
values_780,7171,2831,153,46.869
values_435,9556,4461,320,29.863
values_950,6654,2463,103,64.602
values_976,4851,1817,72,67.375
values_557,7093,2868,176,40.301
values_398,10736,5385,420,25.562
values_892,7001,2704,147,47.626
values_670,8184,3458,224,36.536
values_574,4423,1514,36,122.861
values_163,4667,1688,58,80.466
values_900,4808,1789,70,68.686
values_392,8763,3872,277,31.635
values_447,11531,5877,466,24.745
values_523,7392,3029,186,39.742
values_679,8396,3718,282,29.773
values_419,8096,3486,284,28.507
values_895,7658,3189,226,33.885
values_298,5104,1988,80,63.800
values_155,6612,2521,153,43.216
values_12,8168,3528,262,31.176
values_160,8055,3448,253,31.838
values_626,7508,3084,189,39.725
values_38,4448,1562,70,63.543
values_146,9481,4493,334,28.386
values_81,8680,3816,260,33.385
values_687,4667,1688,70,66.671
values_213,4533,1590,58,78.155
values_212,9962,4736,364,27.368
values_568,4707,1716,58,81.155
values_5,10120,4912,357,28.347
values_40,7779,3215,205,37.946
values_970,6776,2637,189,35.852
values_707,9357,4369,304,30.780
values_406,11384,5868,483,23.569
values_893,7171,2831,148,48.453
values_144,7326,2945,214,34.234
values_979,7799,3291,217,35.940
values_831,10060,4871,337,29.852
values_402,8428,3726,245,34.400
values_404,10604,5314,375,28.277
values_310,10264,5020,352,29.159
values_70,4280,1444,36,118.889
values_268,9064,4148,285,31.804
values_412,4576,1615,38,120.421
values_290,8168,3488,279,29.276
values_916,11813,6141,472,25.028
values_567,8727,3848,286,30.514
values_913,4533,1590,70,64.757
values_232,9346,4420,293,31.898
values_319,9069,4201,278,32.622
values_23,8538,3810,232,36.802
values_899,4534,1621,84,53.976
values_428,8019,3392,266,30.147
values_858,7712,3268,245,31.478
values_546,5912,2056,106,55.774
values_432,10825,5439,381,28.412
values_231,9452,4436,301,31.402
values_388,4862,1828,58,83.828
values_350,8665,3906,242,35.806
values_603,7613,3161,187,40.711
values_364,9465,4491,313,30.240
values_530,6401,2380,141,45.397
values_72,7580,3079,195,38.872
values_536,5030,1946,98,51.327
values_79,7172,2927,170,42.188
values_342,9206,4246,284,32.415
values_803,11300,5783,429,26.340
values_501,9281,4348,301,30.834
values_540,8782,3889,267,32.891
values_955,7056,2749,163,43.288
values_191,9856,4725,326,30.233
values_812,10957,5557,422,25.964
values_545,9344,4346,325,28.751
values_78,8231,3540,261,31.536
values_526,11440,5905,473,24.186
values_695,7836,3318,208,37.673
values_87,4198,1385,22,190.818
values_300,6553,2486,124,52.847
values_964,10209,4984,385,26.517
values_998,7978,3399,252,31.659
values_988,4716,1722,78,60.462
values_6,10162,4958,378,26.884
values_625,4198,1385,22,190.818
values_518,11589,5933,429,27.014
values_122,4576,1615,38,120.421
values_541,10066,4932,368,27.353
values_279,6885,2721,152,45.296
values_256,8406,3677,265,31.721
values_796,11448,5898,440,26.018
values_504,6885,2721,155,44.419
values_752,8835,3928,281,31.441
values_459,8957,4124,323,27.731
values_658,4423,1514,36,122.861
values_408,11000,5533,370,29.730
values_867,6199,2167,99,62.616
values_727,10719,5280,391,27.414
values_177,10502,5200,401,26.190
values_823,4423,1514,36,122.861
values_822,7358,2972,199,36.975
values_218,9337,4433,337,27.706
values_426,4280,1444,36,118.889
values_776,9921,4810,335,29.615
values_143,8837,3924,272,32.489
values_739,9977,4823,325,30.698
values_312,7981,3470,273,29.234
values_174,6716,2552,151,44.477
values_669,4534,1621,72,62.972
values_120,4619,1649,72,64.153
values_974,5064,1971,86,58.884
values_217,9605,4550,288,33.351
values_866,10796,5416,381,28.336
values_192,9337,4384,307,30.414
values_328,6776,2637,163,41.571
values_68,10357,5137,407,25.447
values_387,10233,4973,391,26.171
values_69,8720,3900,230,37.913
values_749,6199,2167,92,67.380
values_135,9610,4542,343,28.017
values_341,8917,3983,277,32.191
values_494,8604,3856,258,33.349
values_1,10627,5240,421,25.242
values_589,4280,1444,36,118.889
values_925,5031,1943,70,71.871
values_524,9472,4535,357,26.532
values_994,9340,4434,361,25.873
values_856,11479,5909,468,24.528
values_156,7851,3277,225,34.893
values_470,6462,2319,102,63.353
values_207,10360,5090,393,26.361
values_655,4198,1385,22,190.818
values_441,9856,4723,288,34.222
values_109,7097,2875,189,37.550
values_45,11735,6076,501,23.423
values_125,4198,1385,22,190.818
values_600,11565,5973,459,25.196
values_708,6612,2424,106,62.377
values_791,11000,5551,428,25.701
values_912,4198,1385,22,190.818
values_533,9033,4217,330,27.373
values_418,9180,4318,327,28.073
values_228,11587,5989,468,24.759
values_585,4823,1792,98,49.214
values_465,7966,3414,225,35.404
values_239,8603,3828,267,32.221
values_842,10617,5315,388,27.363
values_208,6298,2307,120,52.483
values_932,8536,3797,253,33.739
values_957,6278,2293,104,60.365
values_563,4280,1444,36,118.889
values_766,4576,1615,48,95.333
values_476,5924,2081,107,55.364
values_175,7156,2917,157,45.580
values_591,9256,4381,322,28.745
values_997,7440,3032,206,36.117
values_385,7278,2911,165,44.109
values_115,4280,1444,36,118.889
values_653,9704,4607,360,26.956
values_753,6424,2388,106,60.604
values_241,7445,2978,163,45.675
values_197,11283,5768,442,25.527
values_636,11880,6186,468,25.385
values_450,4667,1688,58,80.466
values_106,7866,3321,264,29.795
values_699,7080,2864,144,49.167
values_578,8586,3821,256,33.539
values_644,7219,2868,179,40.330
values_570,7131,2896,167,42.701
values_873,8667,3858,247,35.089
values_33,6881,2624,127,54.181
values_210,11000,5549,414,26.570
values_486,4667,1688,70,66.671
values_252,6920,2652,136,50.882
values_694,9564,4608,386,24.777
values_759,11198,5729,429,26.103
values_245,8096,3489,264,30.667
values_15,6223,2238,106,58.708
values_792,4198,1385,22,190.818
values_248,8448,3753,267,31.640
values_246,4366,1503,48,90.958
values_556,8595,3855,236,36.419
values_513,4667,1688,70,66.671
values_93,5229,2086,100,52.290
values_558,7598,3195,257,29.564
values_991,11677,6044,457,25.551
values_181,11880,6198,456,26.053
values_674,6524,2466,121,53.917
values_652,6404,2277,102,62.784
values_344,4280,1444,36,118.889
values_715,6040,2165,94,64.255
values_528,6952,2669,138,50.377
values_276,9197,4291,302,30.454
values_24,8665,3844,252,34.385
values_296,9866,4784,323,30.545
values_244,4533,1590,58,78.155
values_380,4423,1514,36,122.861
values_25,11119,5641,445,24.987
values_740,5229,2086,114,45.868
values_478,4280,1444,36,118.889
values_379,4366,1503,38,114.895
values_810,6612,2521,140,47.229
values_440,8946,4010,266,33.632
values_543,4890,1848,98,49.898
values_130,6404,2277,106,60.415
