id,clockCycles,assemblyInstr
values_242,1252,868
values_505,15721,10906
values_924,14672,10178
values_862,4311,2989
values_287,481,334
values_733,702,487
values_813,3257,2258
values_11,10836,7516
values_19,1581,1096
values_999,2347,1627
values_134,7576,5254
values_609,5509,3820
values_993,6162,4273
values_731,8337,5782
values_127,959,665
values_889,9134,6335
values_987,11741,8144
values_780,10836,7516
values_435,296,206
values_950,2784,1930
values_976,5509,3820
values_557,2784,1930
values_398,7576,5254
values_892,9134,6335
values_670,1581,1096
values_574,3766,2611
values_163,2784,1930
values_900,4892,3392
values_392,5509,3820
values_447,2347,1627
values_523,6162,4273
values_679,702,487
values_419,4892,3392
values_895,702,487
values_298,8337,5782
values_155,4311,2989
values_12,10836,7516
values_160,8337,5782
values_626,8337,5782
values_38,12682,8797
values_146,15721,10906
values_81,3257,2258
values_687,4311,2989
values_213,13659,9475
values_212,4892,3392
values_568,9967,6913
values_5,4892,3392
values_40,7576,5254
values_970,12682,8797
values_707,7576,5254
values_406,14672,10178
values_893,3257,2258
values_144,9967,6913
values_979,2347,1627
values_831,10836,7516
values_402,702,487
values_404,9134,6335
values_310,959,665
values_70,9134,6335
values_268,3766,2611
values_412,9134,6335
values_290,147,103
values_916,702,487
values_567,1581,1096
values_913,2784,1930
values_232,959,665
values_319,3766,2611
values_23,296,206
values_899,1581,1096
values_428,13659,9475
values_858,481,334
values_546,2347,1627
values_432,1581,1096
values_231,147,103
values_388,9967,6913
values_350,481,334
values_603,10836,7516
values_364,6162,4273
values_530,8337,5782
values_72,7576,5254
values_536,9134,6335
values_79,959,665
values_342,6162,4273
values_803,7576,5254
values_501,9967,6913
values_540,11741,8144
values_955,13659,9475
values_191,1581,1096
values_812,11741,8144
values_545,481,334
values_78,11741,8144
values_526,7576,5254
values_695,4311,2989
values_87,12682,8797
values_300,1252,868
values_964,4311,2989
values_998,5509,3820
values_988,1252,868
values_6,959,665
values_625,4892,3392
values_518,481,334
values_122,147,103
values_541,6851,4751
values_279,8337,5782
values_256,1252,868
values_796,2347,1627
values_504,15721,10906
values_752,6162,4273
values_459,13659,9475
values_658,3766,2611
values_408,702,487
values_867,11741,8144
values_727,702,487
values_177,2347,1627
values_823,9134,6335
values_822,1252,868
values_218,9967,6913
values_426,8337,5782
values_776,6162,4273
values_143,8337,5782
values_739,147,103
values_312,6162,4273
values_174,481,334
values_669,296,206
values_120,11741,8144
values_974,15721,10906
values_217,959,665
values_866,959,665
values_192,1252,868
values_328,15721,10906
values_68,481,334
values_387,2347,1627
values_69,2347,1627
values_749,296,206
values_135,4311,2989
values_341,702,487
values_494,1581,1096
values_1,702,487
values_589,702,487
values_925,12682,8797
values_524,7576,5254
values_994,5509,3820
values_856,6851,4751
values_156,4892,3392
values_470,4892,3392
values_207,1581,1096
values_655,4311,2989
values_441,15721,10906
values_109,14672,10178
values_45,4311,2989
values_125,6162,4273
values_600,296,206
values_708,2347,1627
values_791,13659,9475
values_912,7576,5254
values_533,1252,868
values_418,1946,1349
values_228,147,103
values_585,11741,8144
values_465,13659,9475
values_239,5509,3820
values_842,9134,6335
values_208,9967,6913
values_932,3257,2258
values_957,959,665
values_563,11741,8144
values_766,481,334
values_476,296,206
values_175,9967,6913
values_591,8337,5782
values_997,3257,2258
values_385,481,334
values_115,9967,6913
values_653,9967,6913
values_753,1946,1349
values_241,8337,5782
values_197,2784,1930
values_636,9134,6335
values_450,10836,7516
values_106,481,334
values_699,1252,868
values_578,8337,5782
values_644,9134,6335
values_570,4892,3392
values_873,702,487
values_33,147,103
values_210,3257,2258
values_486,9967,6913
values_252,3257,2258
values_694,6162,4273
values_759,8337,5782
values_245,702,487
values_15,14672,10178
values_792,2347,1627
values_248,2347,1627
values_246,2347,1627
values_556,481,334
values_513,3257,2258
values_93,702,487
values_558,11741,8144
values_991,3766,2611
values_181,15721,10906
values_674,4892,3392
values_652,14672,10178
values_344,10836,7516
values_715,3766,2611
values_528,2347,1627
values_276,702,487
values_24,15721,10906
values_296,5509,3820
values_244,13659,9475
values_380,13659,9475
values_25,15721,10906
values_740,9134,6335
values_478,4311,2989
values_379,4311,2989
values_810,13659,9475
values_440,1581,1096
values_543,2784,1930
values_130,2784,1930
values_225,4311,2989
values_285,4311,2989
values_363,11741,8144
values_667,6851,4751
values_26,3257,2258
values_793,12682,8797
values_772,13659,9475
values_931,8337,5782
values_981,8337,5782
values_422,11741,8144
values_920,4892,3392
values_259,12682,8797
values_477,5509,3820
values_738,7576,5254
values_430,6162,4273
values_922,1581,1096
values_903,2347,1627
values_761,3766,2611
values_204,7576,5254
values_48,6162,4273
values_71,296,206
values_851,1252,868
values_347,15721,10906
values_725,12682,8797
values_266,14672,10178
values_448,9967,6913
values_934,9967,6913
values_531,8337,5782
values_224,15721,10906
values_686,11741,8144
values_927,147,103
values_407,3766,2611
values_76,147,103
values_949,13659,9475
values_969,1581,1096
values_781,7576,5254
values_7,147,103
values_683,296,206
values_376,296,206
values_877,5509,3820
values_654,12682,8797
values_508,147,103
values_332,3257,2258
values_281,6162,4273
values_381,5509,3820
values_769,8337,5782
values_701,15721,10906
values_855,6851,4751
values_320,959,665
values_50,8337,5782
values_918,14672,10178
values_615,959,665
values_704,8337,5782
values_633,481,334
values_847,7576,5254
values_602,2784,1930
values_399,3766,2611
values_22,959,665
values_313,1581,1096
values_375,481,334
values_963,8337,5782
values_168,959,665
values_226,9134,6335
values_190,2784,1930
values_429,296,206
values_236,702,487
values_777,1946,1349
values_909,14672,10178
values_438,12682,8797
values_607,1946,1349
values_717,959,665
values_782,2784,1930
values_258,6851,4751
values_872,9967,6913
values_637,3257,2258
values_746,1946,1349
values_4,10836,7516
values_345,4311,2989
values_102,4311,2989
values_962,14672,10178
values_356,959,665
values_853,9134,6335
values_849,3257,2258
values_814,14672,10178
values_370,11741,8144
values_778,8337,5782
values_458,481,334
values_818,7576,5254
values_119,10836,7516
values_373,702,487
values_351,6851,4751
values_32,4311,2989
values_770,8337,5782
values_371,4892,3392
values_283,5509,3820
values_535,702,487
values_250,3257,2258
values_132,959,665
values_649,4892,3392
values_77,5509,3820
values_260,9134,6335
values_891,1946,1349
values_91,9134,6335
values_137,9134,6335
values_42,6851,4751
values_13,2347,1627
values_577,1946,1349
values_41,6851,4751
values_809,2347,1627
values_414,2784,1930
values_360,12682,8797
values_386,1946,1349
values_158,6162,4273
values_904,959,665
values_480,7576,5254
values_647,6851,4751
values_104,8337,5782
values_55,13659,9475
values_491,3766,2611
values_391,6851,4751
values_972,2347,1627
values_571,6851,4751
values_940,2347,1627
values_861,2784,1930
values_324,959,665
values_549,6162,4273
values_170,1946,1349
values_269,2347,1627
values_442,4892,3392
values_520,8337,5782
values_455,12682,8797
values_31,1946,1349
values_971,10836,7516
values_397,4311,2989
values_254,3766,2611
values_616,3257,2258
values_66,14672,10178
values_943,6851,4751
values_117,3766,2611
values_451,14672,10178
values_643,1946,1349
values_688,11741,8144
values_569,4311,2989
values_745,12682,8797
values_65,1252,868
values_980,5509,3820
values_982,9967,6913
values_62,4892,3392
values_789,9134,6335
values_401,9134,6335
values_21,296,206
values_598,4892,3392
values_273,11741,8144
values_534,14672,10178
values_118,4311,2989
values_141,3257,2258
values_366,15721,10906
values_222,9967,6913
values_876,1581,1096
values_700,9134,6335
values_95,3766,2611
values_806,5509,3820
values_671,4892,3392
values_816,14672,10178
values_630,3257,2258
values_433,10836,7516
values_905,1946,1349
values_84,702,487
values_233,9134,6335
values_664,2347,1627
values_162,3766,2611
values_681,1946,1349
values_542,7576,5254
values_169,8337,5782
values_660,296,206
values_488,2347,1627
values_894,12682,8797
values_828,3257,2258
values_537,6851,4751
values_845,15721,10906
values_584,8337,5782
values_457,6851,4751
values_499,3257,2258
values_369,7576,5254
values_58,7576,5254
values_64,3766,2611
values_196,4892,3392
values_462,2784,1930
values_343,2784,1930
values_262,702,487
values_966,8337,5782
values_261,5509,3820
values_349,8337,5782
values_263,10836,7516
values_801,1581,1096
values_292,702,487
values_786,8337,5782
values_101,9967,6913
values_691,11741,8144
values_926,5509,3820
values_754,15721,10906
values_215,481,334
values_977,147,103
values_850,959,665
values_646,2347,1627
values_628,4892,3392
values_941,1946,1349
values_353,1252,868
values_690,147,103
values_961,2784,1930
values_331,12682,8797
values_377,959,665
values_128,1252,868
values_336,1581,1096
values_632,959,665
values_166,7576,5254
values_744,10836,7516
values_837,1581,1096
values_807,14672,10178
