id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,40325,30505,784,51.435
values_505,25493,18159,495,51.501
values_924,54208,42198,1052,51.529
values_862,12034,7072,192,62.677
values_287,53512,41626,1036,51.653
values_733,47475,36510,939,50.559
values_813,26627,18990,520,51.206
values_11,53035,41340,1027,51.641
values_19,39864,30222,775,51.437
values_999,6476,2710,55,117.745
values_134,77737,61063,1639,47.430
values_609,25493,18159,495,51.501
values_993,31221,22817,627,49.794
values_731,25493,18159,495,51.501
values_127,8234,4048,92,89.500
values_889,23496,16634,435,54.014
values_987,74888,59112,1527,49.043
values_780,74888,59112,1527,49.043
values_435,11370,6530,176,64.602
values_950,19120,12959,336,56.905
values_976,41008,31071,800,51.260
values_557,23496,16634,435,54.014
values_398,12531,7635,195,64.262
values_892,19120,12959,336,56.905
values_670,64988,50955,1315,49.421
values_574,7434,3494,75,99.120
values_163,21497,15096,379,56.720
values_900,9631,5277,127,75.835
values_392,25960,18436,504,51.508
values_447,17367,11583,288,60.302
values_523,5944,2286,39,152.410
values_679,8864,4572,109,81.321
values_419,18047,12149,304,59.365
values_895,47960,36793,948,50.591
values_298,9631,5277,127,75.835
values_155,77737,61063,1639,47.430
values_12,31221,22817,627,49.794
values_160,10582,5988,159,66.553
values_626,39864,30222,775,51.437
values_38,21969,15379,388,56.621
values_146,39864,30222,775,51.437
values_81,64988,50955,1315,49.421
values_687,31687,23094,636,49.822
values_213,26293,18713,512,51.354
values_212,64988,50955,1315,49.421
values_568,26698,18868,559,47.760
values_5,6424,2563,48,133.833
values_40,26969,19267,528,51.078
values_970,48975,37642,972,50.386
values_707,56672,43987,1136,49.887
values_406,71896,56984,1419,50.667
values_893,9033,4702,108,83.639
values_144,74888,59112,1527,49.043
values_979,7434,3494,75,99.120
values_831,42820,32359,864,49.560
values_402,5944,2286,39,152.410
values_404,26698,18868,559,47.760
values_310,48627,37359,964,50.443
values_70,22649,15945,404,56.062
values_268,21969,15379,388,56.621
values_412,10431,5831,144,72.438
values_290,75355,59395,1536,49.059
values_916,40325,30505,784,51.435
values_567,39864,30222,775,51.437
values_913,26293,18713,512,51.354
values_232,9370,4982,116,80.776
values_319,40325,30505,784,51.435
