id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,225984,183063,4872,46.384
values_505,135277,108808,3059,44.223
values_924,73634,57124,1685,43.700
values_862,85712,67364,1857,46.156
values_287,27808,19805,590,47.132
values_733,6825,2786,85,80.294
values_813,34741,25602,717,48.453
values_11,39228,29296,842,46.589
values_19,15991,10159,307,52.088
values_999,33217,24302,712,46.653
values_134,139099,112002,3042,45.726
values_609,217715,176164,4914,44.305
values_993,117792,93991,2548,46.229
values_731,151114,121630,3297,45.834
values_127,19800,13274,388,51.031
values_889,128695,103211,2808,45.832
values_987,35218,25999,714,49.325
values_780,201520,163186,4534,44.446
values_435,188275,152668,4254,44.258
values_950,105600,84073,2308,45.754
values_976,20152,13573,388,51.938
values_557,28229,20176,591,47.765
values_398,65955,51107,1493,44.176
values_892,105650,84131,2339,45.169
values_670,20043,13483,389,51.524
values_574,147200,118370,3336,44.125
values_163,7040,2850,86,81.860
values_900,194568,157976,4228,46.019
values_392,67952,52781,1491,45.575
values_447,151184,121692,3302,45.786
values_523,164969,132836,3623,45.534
values_679,121996,97533,2816,43.322
values_419,116424,92841,2545,45.746
values_895,8475,3997,121,70.041
values_298,170401,137373,3621,47.059
values_155,20072,13505,391,51.335
values_12,16586,10659,303,54.739
values_160,102973,81858,2322,44.347
values_626,183263,148336,3882,47.208
values_38,67857,52694,1492,45.481
values_146,57472,44218,1324,43.408
values_81,115016,91611,2532,45.425
values_687,6825,2786,85,80.294
values_213,125003,100061,2783,44.917
values_212,163356,131466,3613,45.213
values_568,32388,23610,708,45.746
values_5,15692,9900,304,51.618
values_40,196055,159199,4277,45.839
values_970,156783,125917,3649,42.966
values_707,152111,122492,3315,45.886
values_406,83178,65223,1894,43.917
values_893,60046,46382,1304,46.048
values_144,71852,55622,1677,42.846
values_979,6825,2786,85,80.294
values_831,105882,84300,2334,45.365
values_402,179042,144708,3932,45.535
values_404,20295,13696,389,52.172
values_310,8557,4067,122,70.139
values_70,6825,2786,85,80.294
values_268,196013,159197,4236,46.273
values_412,16153,10292,302,53.487
values_290,13268,7928,232,57.190
values_916,16220,10354,300,54.067
values_567,19303,12849,388,49.750
values_913,53112,40760,1156,45.945
values_232,53200,40836,1132,46.996
values_319,97509,77281,2113,46.147
values_23,151575,122030,3339,45.395
values_899,19402,12939,386,50.264
values_428,159544,128211,3616,44.122
values_858,179608,145215,3903,46.018
values_546,6825,2786,85,80.294
values_432,192873,156541,4233,45.564
values_231,126820,101585,2799,45.309
values_388,74057,57488,1685,43.951
values_350,149392,120226,3332,44.836
values_603,23175,15982,484,47.882
values_364,10347,5536,175,59.126
values_530,10824,5934,175,61.851
values_72,112288,89344,2573,43.641
values_536,161662,130015,3637,44.449
values_79,16337,10441,302,54.096
values_342,41058,30835,847,48.475
values_803,139182,112068,3032,45.904
values_501,163904,131912,3604,45.478
values_540,39570,29583,834,47.446
values_955,10423,5603,174,59.902
values_191,66500,51561,1476,45.054
values_812,160160,128742,3611,44.353
values_545,19388,12929,390,49.713
values_78,163713,131739,3630,45.100
values_526,54663,42070,1141,47.908
values_695,81841,64102,1874,43.672
values_87,139304,112196,3046,45.733
values_300,10407,5588,174,59.810
values_964,23057,15875,487,47.345
values_998,13200,7861,235,56.170
values_988,8624,4117,123,70.114
values_6,6825,2786,85,80.294
values_625,139507,112370,3038,45.921
values_518,23214,16012,481,48.262
values_122,16470,10570,304,54.178
values_541,67170,52121,1474,45.570
values_279,19567,13081,391,50.043
values_256,7040,2850,86,81.860
values_796,218373,176686,4863,44.905
values_504,32567,23758,711,45.805
values_752,44670,33716,998,44.760
values_459,23115,15929,488,47.367
values_658,138724,111744,3085,44.967
values_408,22950,15785,486,47.222
values_867,139396,112263,3041,45.839
values_727,216304,174925,4835,44.737
values_177,53428,41033,1149,46.500
values_823,68690,53412,1484,46.287
values_822,54120,41605,1140,47.474
values_218,13347,7990,231,57.779
values_426,16868,10902,304,55.487
values_776,125054,100149,2817,44.393
values_143,16641,10711,305,54.561
values_739,73720,57202,1684,43.777
values_312,81664,63960,1861,43.882
values_174,20085,13521,388,51.765
values_669,108681,86679,2304,47.171
values_120,93402,73823,2100,44.477
values_974,83072,65130,1882,44.140
values_217,28633,20514,591,48.448
values_866,123200,98550,2799,44.016
values_192,192720,156441,4248,45.367
values_328,153585,123766,3337,46.025
values_68,8536,4047,122,69.967
values_387,47554,36139,997,47.697
values_69,7040,2850,86,81.860
values_749,10157,5375,172,59.052
values_135,81928,64177,1883,43.509
values_341,39747,29722,842,47.205
values_494,155936,125741,3334,46.771
values_1,22913,15755,488,46.953
values_589,200431,162232,4548,44.070
values_925,166643,134202,3614,46.110
values_524,175862,142045,3933,44.714
values_994,66855,51856,1476,45.295
values_856,105607,84088,2316,45.599
values_156,20720,14055,395,52.456
values_470,19184,12751,385,49.829
values_207,59149,45645,1323,44.708
values_655,93201,73664,2111,44.150
values_441,52649,40367,1137,46.305
values_109,52228,40008,1140,45.814
values_45,10560,5706,174,60.690
values_125,53829,41355,1146,46.971
values_600,136224,109609,3085,44.157
values_708,84216,66120,1886,44.653
values_791,51656,39543,1146,45.075
values_912,58389,45008,1307,44.674
values_533,26676,18854,590,45.214
values_418,40131,30064,846,47.436
values_228,59938,46287,1300,46.106
values_585,16437,10539,307,53.541
values_465,7040,2850,86,81.860
values_239,204114,165349,4514,45.218
values_842,218955,177195,4870,44.960
values_208,150088,120756,3313,45.303
values_932,158488,127331,3600,44.024
values_957,8496,4015,123,69.073
values_563,70598,54565,1668,42.325
values_766,13288,7937,230,57.774
values_476,39864,29832,847,47.065
values_175,92818,73331,2094,44.326
values_591,16128,10277,302,53.404
values_997,22738,15609,483,47.077
values_385,74064,57487,1676,44.191
values_115,201178,162902,4548,44.234
values_653,53911,41438,1143,47.166
values_753,73520,57027,1664,44.183
values_241,16370,10479,303,54.026
values_197,68293,53066,1506,45.347
values_636,18779,12403,380,49.418
values_450,58061,44725,1309,44.355
values_106,175032,141370,3940,44.424
values_699,20637,13990,391,52.780
values_578,58899,45422,1303,45.203
values_644,82720,64833,1867,44.306
values_570,64075,49512,1485,43.148
values_873,66090,51210,1487,44.445
values_33,96272,76243,2110,45.627
values_210,8624,4117,123,70.114
values_486,20293,13695,393,51.636
values_252,6825,2786,85,80.294
values_694,82113,64329,1888,43.492
values_759,16456,10544,304,54.132
values_245,52013,39832,1146,45.387
values_15,39512,29534,847,46.649
values_792,178728,144483,3931,45.466
values_248,45097,34058,981,45.970
values_246,57435,44191,1311,43.810
values_556,179964,145502,3929,45.804
values_513,63896,49362,1510,42.315
values_93,189200,153461,4262,44.392
