id,clockCycles,assemblyInstr
values_242,225984,183063
values_505,135277,108808
values_924,73634,57124
values_862,85712,67364
values_287,27808,19805
values_733,6825,2786
values_813,34741,25602
values_11,39228,29296
values_19,15991,10159
values_999,33217,24302
values_134,139099,112002
values_609,217715,176164
values_993,117792,93991
values_731,151114,121630
values_127,19800,13274
values_889,128695,103211
values_987,35218,25999
values_780,201520,163186
values_435,188275,152668
values_950,105600,84073
values_976,20152,13573
values_557,28229,20176
values_398,65955,51107
values_892,105650,84131
values_670,20043,13483
values_574,147200,118370
values_163,7040,2850
values_900,194568,157976
values_392,67952,52781
values_447,151184,121692
values_523,164969,132836
values_679,121996,97533
values_419,116424,92841
values_895,8475,3997
values_298,170401,137373
values_155,20072,13505
values_12,16586,10659
values_160,102973,81858
values_626,183263,148336
values_38,67857,52694
values_146,57472,44218
values_81,115016,91611
values_687,6825,2786
values_213,125003,100061
values_212,163356,131466
values_568,32388,23610
values_5,15692,9900
values_40,196055,159199
values_970,156783,125917
values_707,152111,122492
values_406,83178,65223
values_893,60046,46382
values_144,71852,55622
values_979,6825,2786
values_831,105882,84300
values_402,179042,144708
values_404,20295,13696
values_310,8557,4067
values_70,6825,2786
values_268,196013,159197
values_412,16153,10292
values_290,13268,7928
values_916,16220,10354
values_567,19303,12849
values_913,53112,40760
values_232,53200,40836
values_319,97509,77281
values_23,151575,122030
values_899,19402,12939
values_428,159544,128211
values_858,179608,145215
values_546,6825,2786
values_432,192873,156541
values_231,126820,101585
values_388,74057,57488
values_350,149392,120226
values_603,23175,15982
values_364,10347,5536
values_530,10824,5934
values_72,112288,89344
values_536,161662,130015
values_79,16337,10441
values_342,41058,30835
values_803,139182,112068
values_501,163904,131912
values_540,39570,29583
values_955,10423,5603
values_191,66500,51561
values_812,160160,128742
values_545,19388,12929
values_78,163713,131739
values_526,54663,42070
values_695,81841,64102
values_87,139304,112196
values_300,10407,5588
values_964,23057,15875
values_998,13200,7861
values_988,8624,4117
values_6,6825,2786
values_625,139507,112370
values_518,23214,16012
values_122,16470,10570
values_541,67170,52121
values_279,19567,13081
values_256,7040,2850
values_796,218373,176686
values_504,32567,23758
values_752,44670,33716
values_459,23115,15929
values_658,138724,111744
values_408,22950,15785
values_867,139396,112263
values_727,216304,174925
values_177,53428,41033
values_823,68690,53412
values_822,54120,41605
values_218,13347,7990
values_426,16868,10902
values_776,125054,100149
values_143,16641,10711
values_739,73720,57202
values_312,81664,63960
values_174,20085,13521
values_669,108681,86679
values_120,93402,73823
values_974,83072,65130
values_217,28633,20514
values_866,123200,98550
values_192,192720,156441
values_328,153585,123766
values_68,8536,4047
values_387,47554,36139
values_69,7040,2850
values_749,10157,5375
values_135,81928,64177
values_341,39747,29722
values_494,155936,125741
values_1,22913,15755
values_589,200431,162232
values_925,166643,134202
values_524,175862,142045
values_994,66855,51856
values_856,105607,84088
values_156,20720,14055
values_470,19184,12751
values_207,59149,45645
values_655,93201,73664
values_441,52649,40367
values_109,52228,40008
values_45,10560,5706
values_125,53829,41355
values_600,136224,109609
values_708,84216,66120
values_791,51656,39543
values_912,58389,45008
values_533,26676,18854
values_418,40131,30064
values_228,59938,46287
values_585,16437,10539
values_465,7040,2850
values_239,204114,165349
values_842,218955,177195
values_208,150088,120756
values_932,158488,127331
