id,cInstr
values_242,120
values_505,747
values_924,1002
values_862,402
values_287,1858
values_733,345
values_813,747
values_11,87
values_19,828
values_999,828
values_134,1620
values_609,53
values_993,913
values_731,747
values_127,1983
values_889,828
values_987,402
values_780,243
values_435,157
values_950,402
values_976,131
values_557,38
values_398,747
values_892,1002
values_670,528
values_574,243
values_163,157
values_900,198
values_392,96
values_447,1095
values_523,597
values_679,292
values_419,402
values_895,87
values_298,913
values_155,1620
values_12,1620
values_160,213
values_626,463
values_38,463
values_146,1620
values_81,1398
values_687,292
values_213,1192
values_212,292
values_568,1507
values_5,913
values_40,2112
values_970,402
values_707,670
values_406,747
values_893,1398
values_144,1002
values_979,1620
values_831,1192
values_402,463
values_404,597
values_310,1858
values_70,198
values_268,463
values_412,43
values_290,1293
values_916,402
values_567,38
values_913,1293
values_232,828
values_319,2112
values_23,292
values_899,1737
values_428,828
values_858,597
values_546,402
values_432,120
values_231,1192
values_388,1620
values_350,747
values_603,528
values_364,1095
values_530,528
values_72,1293
values_536,72
values_79,402
values_342,1507
values_803,1293
values_501,670
values_540,198
values_955,1737
values_191,2112
values_812,463
values_545,528
values_78,1192
values_526,1858
values_695,243
values_87,292
values_300,747
values_964,157
values_998,1002
values_988,1620
values_6,198
values_625,198
values_518,1620
values_122,463
values_541,292
values_279,463
values_256,747
values_796,157
values_504,1620
values_752,597
values_459,1858
values_658,1095
values_408,670
values_867,1095
values_727,1002
values_177,43
values_823,597
values_822,48
values_218,1620
values_426,120
values_776,828
values_143,1858
values_739,828
values_312,157
values_174,402
values_669,58
values_120,157
values_974,463
values_217,1507
values_866,913
values_192,345
values_328,38
values_68,1192
values_387,38
values_69,87
values_749,1858
values_135,463
values_341,463
values_494,597
values_1,1983
values_589,198
values_925,913
values_524,2112
values_994,1398
values_856,1507
values_156,1858
values_470,1002
values_207,1737
values_655,1620
values_441,58
values_109,913
values_45,1983
values_125,131
values_600,1507
values_708,1095
values_791,292
values_912,43
values_533,1293
values_418,366
values_228,1983
values_585,463
values_465,670
values_239,345
values_842,1192
values_208,1983
values_932,170
values_957,1737
values_563,528
values_766,1507
values_476,597
values_175,1737
values_591,292
values_997,747
values_385,157
values_115,1737
values_653,463
values_753,2112
values_241,198
values_197,157
values_636,345
values_450,1737
values_106,1858
values_699,1398
values_578,243
values_644,1620
values_570,1858
values_873,1192
values_33,292
values_210,1620
values_486,463
values_252,1398
values_694,913
values_759,345
values_245,1737
values_15,1737
values_792,345
values_248,345
values_246,58
values_556,670
values_513,1737
values_93,243
values_558,747
values_991,402
values_181,292
values_674,1398
values_652,292
values_344,120
values_715,747
values_528,1983
values_276,828
values_24,87
values_296,1192
values_244,1095
values_380,597
values_25,1983
values_740,1293
values_478,53
values_379,198
values_810,170
values_440,463
values_543,292
values_130,1858
values_225,528
values_285,198
values_363,597
values_667,1398
values_26,345
values_793,1858
values_772,463
values_931,43
values_981,1737
values_422,1095
values_920,1192
values_259,157
values_477,1507
values_738,1620
values_430,345
values_922,528
values_903,1507
values_761,1507
values_204,292
values_48,1858
values_71,913
values_851,597
values_347,243
values_725,913
values_266,913
values_448,1620
values_934,1192
values_531,597
values_224,828
values_686,1398
values_927,1737
values_407,48
values_76,65
values_949,747
values_969,747
values_781,1507
values_7,402
values_683,1002
values_376,402
values_877,747
values_654,87
values_508,913
values_332,1398
values_281,913
values_381,828
values_769,1737
values_701,38
values_855,345
values_320,2112
values_50,1095
values_918,120
values_615,1095
values_704,1398
values_633,1398
values_847,1192
values_602,1002
values_399,1507
values_22,1858
values_313,747
values_375,1983
values_963,157
values_168,597
values_226,1737
values_190,198
values_429,828
values_236,1507
values_777,157
values_909,828
values_438,528
values_607,828
values_717,87
values_782,913
values_258,1507
values_872,345
values_637,131
values_746,1507
values_4,1293
values_345,2112
values_102,292
values_962,597
values_356,345
values_853,747
values_849,913
values_814,79
values_370,528
values_778,157
values_458,243
values_818,345
values_119,1192
values_373,1002
values_351,528
values_32,131
values_770,670
values_371,198
values_283,1620
values_535,597
values_250,1095
values_132,1507
values_649,670
values_77,1002
values_260,1983
values_891,1192
values_91,1192
values_137,120
values_42,2112
values_13,828
values_577,402
values_41,913
values_809,597
values_414,1858
values_360,670
values_386,292
values_158,402
values_904,2112
values_480,597
values_647,345
values_104,1192
values_55,1858
values_491,597
values_391,1507
values_972,1095
values_571,2112
values_940,1737
values_861,670
values_324,58
values_549,1507
values_170,1858
values_269,65
values_442,87
values_520,597
values_455,345
values_31,345
values_971,120
values_397,747
values_254,1858
values_616,1002
values_66,2112
values_943,670
values_117,292
values_451,243
