id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,7269,3443,120,60.575
values_505,30665,22186,747,41.051
values_924,39636,29533,1002,39.557
values_862,17119,11224,402,42.585
values_287,72600,56402,1858,39.074
values_733,15182,9625,345,44.006
values_813,30295,21892,747,40.556
values_11,6785,2842,87,77.989
values_19,31624,23348,828,38.193
values_999,32296,23887,828,39.005
values_134,63231,48758,1620,39.031
values_609,5816,2231,53,109.736
values_993,36745,27132,913,40.246
values_731,30291,21892,747,40.550
values_127,77186,60132,1983,38.924
values_889,32163,23789,828,38.844
values_987,17666,11665,402,43.945
values_780,12124,7149,243,49.893
values_435,9113,4720,157,58.045
values_950,17969,11910,402,44.699
values_976,8184,4065,131,62.473
values_557,5104,1724,38,134.316
values_398,30712,22235,747,41.114
values_892,39695,29582,1002,39.616
values_670,22623,15694,528,42.847
values_574,12183,7198,243,50.136
values_163,9064,4671,157,57.732
values_900,10090,5533,198,50.960
values_392,6838,3089,96,71.229
values_447,42944,32219,1095,39.218
values_523,24513,17215,597,41.060
values_679,13072,8182,292,44.767
values_419,17477,11518,402,43.475
values_895,6726,2793,87,77.310
values_298,36489,26936,913,39.966
values_155,62920,48513,1620,38.840
values_12,62755,48366,1620,38.738
values_160,11202,6505,213,52.592
values_626,19273,12961,463,41.626
values_38,19536,13157,463,42.194
values_146,63231,48758,1620,39.031
values_81,54560,41705,1398,39.027
values_687,12954,8084,292,44.363
values_213,47273,35738,1192,39.659
values_212,12958,8084,292,44.377
values_568,58979,45287,1507,39.137
values_5,36375,26838,913,39.841
values_40,82157,64192,2112,38.900
values_970,17424,11469,402,43.343
values_707,27488,19637,670,41.027
values_406,29811,21500,747,39.908
values_893,54572,41705,1398,39.036
values_144,40183,29974,1002,40.103
values_979,63243,48758,1620,39.039
values_831,46112,34807,1192,38.685
values_402,19395,13059,463,41.890
values_404,24387,17117,597,40.849
values_310,71737,55716,1858,38.610
values_70,10212,5631,198,51.576
values_268,19336,13010,463,41.762
values_412,5420,1913,43,126.047
values_290,50841,38649,1293,39.320
values_916,17300,11371,402,43.035
values_567,5104,1724,38,134.316
values_913,50424,38306,1293,38.998
values_232,31508,23250,828,38.053
values_319,82027,64094,2112,38.839
values_23,12891,8035,292,44.147
values_899,67296,52070,1737,38.743
values_428,32415,23985,828,39.149
values_858,24387,17117,597,40.849
values_546,17308,11371,402,43.055
values_432,7216,3394,120,60.133
values_231,47080,35591,1192,39.497
values_388,62861,48464,1620,38.803
values_350,29929,21598,747,40.066
values_603,21912,15106,528,41.500
values_364,43008,32268,1095,39.277
values_530,21912,15106,528,41.500
values_72,50298,38208,1293,38.900
values_536,6230,2588,72,86.528
values_79,17658,11665,402,43.925
values_342,58487,44895,1507,38.810
values_803,50841,38649,1293,39.320
values_501,27130,19343,670,40.493
values_540,10212,5631,198,51.576
values_955,67408,52168,1737,38.807
values_191,83015,64878,2112,39.306
values_812,19757,13353,463,42.672
values_545,22265,15400,528,42.169
values_78,47520,35934,1192,39.866
values_526,72229,56108,1858,38.875
values_695,11762,6855,243,48.403
values_87,12954,8084,292,44.363
values_300,30008,21647,747,40.171
values_964,8946,4573,157,56.981
values_998,39288,29239,1002,39.210
values_988,63712,49150,1620,39.328
values_6,10271,5680,198,51.874
values_625,10330,5729,198,52.172
values_518,62568,48219,1620,38.622
values_122,19816,13402,463,42.799
values_541,12848,7986,292,44.000
values_279,20115,13647,463,43.445
values_256,30184,21794,747,40.407
values_796,8995,4622,157,57.293
values_504,62987,48562,1620,38.881
values_752,24442,17166,597,40.941
values_459,73882,57431,1858,39.764
values_658,43488,32660,1095,39.715
values_408,27244,19441,670,40.663
values_867,42650,31974,1095,38.950
values_727,39522,29435,1002,39.443
values_177,5420,1913,43,126.047
values_823,24387,17117,597,40.849
values_822,5493,2038,48,114.438
values_218,63184,48709,1620,39.002
values_426,7269,3443,120,60.575
values_776,31742,23446,828,38.336
values_143,72658,56451,1858,39.105
values_739,32179,23789,828,38.864
values_312,8888,4524,157,56.611
values_174,17424,11469,402,43.343
values_669,5550,2040,58,95.690
values_120,8995,4622,157,57.293
values_974,19765,13353,463,42.689
values_217,58810,45140,1507,39.025
values_866,36371,26838,913,39.837
values_192,15363,9772,345,44.530
values_328,5104,1724,38,134.316
values_68,47375,35836,1192,39.744
values_387,5104,1724,38,134.316
values_69,6785,2842,87,77.989
values_749,73075,56794,1858,39.330
values_135,20068,13598,463,43.343
values_341,19572,13206,463,42.272
values_494,24202,16970,597,40.539
values_1,77859,60671,1983,39.263
values_589,10393,5778,198,52.490
values_925,36674,27083,913,40.169
values_524,82826,64731,2112,39.217
values_994,54824,41901,1398,39.216
values_856,59109,45385,1507,39.223
values_156,72544,56353,1858,39.044
values_470,40002,29827,1002,39.922
values_207,67672,52364,1737,38.959
values_655,63054,48611,1620,38.922
values_441,5550,2040,58,95.690
values_109,36316,26789,913,39.777
values_45,78414,61112,1983,39.543
values_125,8184,4065,131,62.473
values_600,59664,45826,1507,39.591
values_708,43256,32464,1095,39.503
values_791,12773,7937,292,43.743
values_912,5420,1913,43,126.047
values_533,50971,38747,1293,39.421
values_418,16632,10915,366,45.443
values_228,77135,60083,1983,38.898
values_585,19690,13304,463,42.527
values_465,26878,19147,670,40.116
values_239,15725,10066,345,45.580
values_842,46769,35346,1192,39.236
values_208,77068,60034,1983,38.864
values_932,9554,5202,170,56.200
values_957,68132,52756,1737,39.224
values_563,21912,15106,528,41.500
values_766,58872,45189,1507,39.066
values_476,24623,17313,597,41.245
values_175,68077,52707,1737,39.192
values_591,12899,8035,292,44.175
values_997,29622,21353,747,39.655
values_385,8888,4524,157,56.611
values_115,67109,51923,1737,38.635
values_653,19536,13157,463,42.194
values_753,81543,63702,2112,38.609
values_241,10330,5729,198,52.172
values_197,8995,4622,157,57.293
values_636,15245,9674,345,44.188
values_450,67900,52560,1737,39.090
values_106,72103,56010,1858,38.807
values_699,54391,41558,1398,38.906
values_578,12002,7051,243,49.391
values_644,63046,48611,1620,38.917
values_570,72536,56353,1858,39.040
values_873,46297,34954,1192,38.840
values_33,12714,7888,292,43.541
values_210,63420,48905,1620,39.148
values_486,19517,13157,463,42.153
values_252,54576,41705,1398,39.039
values_694,35640,26250,913,39.036
values_759,15493,9870,345,44.907
values_245,67296,52070,1737,38.743
values_15,67593,52315,1737,38.914
values_792,15422,9821,345,44.701
values_248,15245,9674,345,44.188
values_246,5550,2040,58,95.690
values_556,27059,19294,670,40.387
values_513,67298,52070,1737,38.744
values_93,11766,6855,243,48.420
values_558,30236,21843,747,40.477
values_991,17424,11469,402,43.343
values_181,13135,8231,292,44.983
values_674,54757,41852,1398,39.168
values_652,12954,8084,292,44.363
values_344,7269,3443,120,60.575
values_715,30594,22137,747,40.956
values_528,77493,60377,1983,39.079
values_276,31923,23593,828,38.554
values_24,6726,2793,87,77.310
values_296,47457,35885,1192,39.813
values_244,43311,32513,1095,39.553
values_380,24464,17166,597,40.978
values_25,78036,60818,1983,39.352
values_740,51216,38943,1293,39.610
values_478,5816,2231,53,109.736
values_379,10448,5827,198,52.768
values_810,9554,5202,170,56.200
values_440,19631,13255,463,42.400
values_543,12777,7937,292,43.757
values_130,72424,56255,1858,38.980
values_225,21714,14959,528,41.125
values_285,10271,5680,198,51.874
values_363,24446,17166,597,40.948
values_667,55312,42293,1398,39.565
values_26,15489,9870,345,44.896
values_793,72784,56549,1858,39.173
values_772,19572,13206,463,42.272
values_931,5420,1913,43,126.047
values_981,67530,52266,1737,38.877
values_422,43248,32464,1095,39.496
values_920,46466,35101,1192,38.982
values_259,8888,4524,157,56.611
values_477,59408,45630,1507,39.421
values_738,62932,48513,1620,38.847
values_430,15422,9821,345,44.701
values_922,21718,14959,528,41.133
values_903,60258,46316,1507,39.985
values_761,59101,45385,1507,39.218
values_204,12773,7937,292,43.743
values_48,72424,56255,1858,38.980
values_71,35820,26397,913,39.233
values_851,24753,17411,597,41.462
values_347,11884,6953,243,48.905
values_725,36256,26740,913,39.711
values_266,35938,26495,913,39.363
values_448,62628,48268,1620,38.659
values_934,47273,35738,1192,39.659
values_531,24513,17215,597,41.060
values_224,32525,24083,828,39.281
values_686,54824,41901,1398,39.216
values_927,67672,52364,1737,38.959
values_407,5493,2038,48,114.438
values_76,6088,2372,65,93.662
values_949,29807,21500,747,39.902
values_969,30051,21696,747,40.229
values_781,58928,45238,1507,39.103
values_7,17544,11567,402,43.642
values_683,39632,29533,1002,39.553
values_376,17363,11420,402,43.192
values_877,30114,21745,747,40.313
values_654,6785,2842,87,77.989
values_508,35946,26495,913,39.371
values_332,53966,41215,1398,38.602
values_281,36256,26740,913,39.711
values_381,31927,23593,828,38.559
values_769,67349,52119,1737,38.773
values_701,5104,1724,38,134.316
values_855,15371,9772,345,44.554
values_320,82637,64584,2112,39.127
values_50,43315,32513,1095,39.557
values_918,7269,3443,120,60.575
values_615,42827,32121,1095,39.111
values_704,54088,41313,1398,38.690
values_633,54509,41656,1398,38.991
values_847,47139,35640,1192,39.546
values_602,39600,29484,1002,39.521
values_399,59127,45385,1507,39.235
values_22,72835,56598,1858,39.201
values_313,30106,21745,747,40.303
values_375,77616,60475,1983,39.141
values_963,8888,4524,157,56.611
values_168,24265,17019,597,40.645
values_226,67892,52560,1737,39.086
values_190,10212,5631,198,51.576
values_429,32179,23789,828,38.864
values_236,58872,45189,1507,39.066
values_777,8888,4524,157,56.611
values_909,31624,23348,828,38.193
values_438,21836,15057,528,41.356
values_607,31687,23397,828,38.269
values_717,6726,2793,87,77.310
values_782,36432,26887,913,39.904
values_258,58999,45287,1507,39.150
values_872,15422,9821,345,44.701
values_637,8117,4016,131,61.962
values_746,58625,44993,1507,38.902
values_4,51392,39090,1293,39.746
values_345,82476,64437,2112,39.051
values_102,13076,8182,292,44.781
values_962,24816,17460,597,41.568
values_356,15559,9919,345,45.099
