id,cInstr
values_242,83
values_505,105
values_1006,128
values_924,139
values_862,58
values_287,146
values_733,139
values_813,137
values_11,139
values_19,139
values_999,148
values_134,110
values_609,148
values_993,139
values_731,139
values_127,124
values_889,107
values_987,83
values_780,94
values_435,139
values_950,112
values_976,94
values_557,107
values_398,117
values_892,107
values_670,31
values_574,107
values_163,135
values_900,148
values_392,128
values_447,128
values_523,58
values_679,20
values_419,128
values_895,118
values_298,85
values_155,110
values_12,139
values_160,124
values_626,148
values_38,107
values_146,115
values_81,74
values_687,20
values_213,107
values_212,107
values_568,107
values_5,125
values_40,107
values_970,94
values_707,148
values_406,117
values_893,107
values_144,126
values_979,94
values_831,146
values_402,117
values_404,117
values_310,85
values_70,81
values_268,146
values_1018,128
values_412,117
values_290,74
values_916,148
values_567,107
values_913,139
values_232,94
values_319,74
values_23,128
values_899,148
values_428,139
values_858,47
values_546,107
values_432,139
values_231,83
values_388,117
values_350,58
values_603,139
values_364,124
values_530,47
values_72,92
values_536,67
values_79,81
values_342,58
values_803,146
values_501,105
values_540,67
values_955,146
values_191,135
values_812,126
values_545,107
values_78,92
values_526,47
values_695,31
values_87,74
values_300,74
values_964,94
values_998,139
values_988,94
values_6,128
values_625,148
values_518,67
values_122,117
values_541,67
values_279,146
values_256,146
values_796,94
values_504,103
values_752,117
values_459,148
values_658,31
values_408,128
values_867,107
values_727,139
values_177,124
values_823,137
values_822,137
values_218,107
values_426,148
values_776,94
values_143,115
values_739,135
values_312,85
values_174,124
values_669,31
values_120,124
values_974,94
values_217,107
values_866,107
values_192,107
values_328,47
values_68,81
values_387,128
values_69,85
values_749,128
values_135,115
values_341,47
values_494,105
values_1,139
values_589,148
values_925,139
values_524,67
values_994,128
values_856,47
values_156,110
values_470,139
values_207,107
values_655,20
values_441,128
values_109,124
values_45,107
values_125,128
values_600,148
values_708,148
values_791,94
values_912,148
values_533,67
values_418,139
values_228,94
values_585,139
values_465,148
values_239,94
values_842,58
values_208,107
values_932,146
values_957,126
values_563,107
values_766,135
values_476,148
values_175,124
values_591,128
values_997,148
values_385,128
values_115,135
values_653,31
values_753,117
values_241,94
values_197,107
values_636,128
values_450,148
values_106,128
values_699,31
values_578,148
values_644,31
values_570,107
values_873,107
values_33,107
values_210,107
values_486,105
values_252,94
values_694,20
values_759,117
values_245,94
values_15,139
values_792,83
values_248,94
values_246,83
values_556,107
values_513,67
values_93,74
values_558,107
values_991,83
values_181,117
values_674,31
values_652,31
values_344,47
values_715,128
values_528,67
values_276,146
values_24,139
values_296,85
values_244,94
values_380,117
values_25,139
values_740,117
values_478,139
values_379,117
values_810,126
values_440,148
values_543,67
values_130,115
values_225,83
values_285,126
values_363,124
values_667,20
values_26,139
values_793,94
values_1022,139
values_772,94
values_931,146
values_981,83
values_422,128
values_920,139
values_259,137
values_477,139
values_738,128
values_430,139
values_922,139
values_903,148
values_761,117
values_1017,128
values_204,107
values_48,107
values_71,74
values_851,58
values_347,58
values_725,148
values_266,137
values_448,139
values_934,126
values_531,58
values_224,94
values_686,20
values_927,139
values_407,117
values_76,74
values_949,137
values_969,83
values_781,94
values_7,128
values_1014,139
values_683,20
values_376,117
values_1016,139
values_877,107
values_654,20
values_508,105
values_332,47
values_281,146
values_381,128
values_769,94
values_701,31
values_855,47
values_1009,139
values_320,58
values_50,107
values_918,148
values_615,128
values_704,128
values_633,128
values_847,58
values_602,139
values_399,128
values_22,128
values_313,74
values_375,117
values_963,94
values_168,135
values_1021,148
values_226,94
values_190,117
values_429,139
values_236,94
values_777,94
values_909,139
values_438,139
values_607,139
values_717,148
