id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,,,958,0
values_505,,,905,0
values_924,,,1207,0
values_862,,,2058,0
values_287,,,33,0
values_733,,,356,0
values_813,,,1257,0
values_11,,,515,0
values_19,,,1414,0
values_999,,,205,0
values_134,,,443,0
values_609,,,239,0
values_993,,,504,0
values_731,,,128,0
values_127,,,83,0
values_889,,,2370,0
values_987,,,240,0
values_780,,,2815,0
values_435,,,531,0
values_950,,,39,0
values_976,,,1403,0
values_557,,,527,0
values_398,,,1302,0
values_892,,,140,0
values_670,,,1837,0
values_574,,,2423,0
values_163,,,152,0
values_900,,,97,0
values_392,,,2469,0
values_447,,,179,0
values_523,,,340,0
values_679,,,1182,0
values_419,,,1101,0
values_895,,,234,0
values_298,,,1272,0
values_155,,,1133,0
values_12,,,2882,0
values_160,,,1510,0
values_626,,,1136,0
values_38,,,159,0
values_146,,,50,0
values_81,,,813,0
values_687,,,129,0
values_213,,,1784,0
values_212,,,223,0
values_568,,,33,0
values_5,,,1083,0
values_40,,,2517,0
values_970,,,80,0
values_707,,,94,0
values_406,,,1878,0
values_893,,,96,0
values_144,,,17,0
values_979,,,1450,0
values_831,,,807,0
values_402,,,33,0
values_404,,,1387,0
values_310,,,1584,0
values_70,,,2090,0
values_268,,,580,0
values_412,,,1109,0
values_290,,,1718,0
values_916,,,1030,0
values_567,,,2042,0
values_913,,,1964,0
values_232,,,316,0
values_319,,,335,0
values_23,,,17,0
values_899,,,152,0
values_428,,,2061,0
values_858,,,124,0
values_546,,,2312,0
values_432,,,1670,0
values_231,,,1425,0
values_388,,,97,0
values_350,,,1955,0
values_603,,,195,0
values_364,,,172,0
values_530,,,2784,0
values_72,,,1864,0
values_536,,,954,0
values_79,,,80,0
values_342,,,2026,0
values_803,,,108,0
values_501,,,555,0
values_540,,,601,0
values_955,,,39,0
values_191,,,498,0
values_812,,,2273,0
values_545,,,937,0
values_78,,,995,0
values_526,,,1679,0
values_695,,,1494,0
values_87,,,576,0
values_300,,,1712,0
values_964,,,468,0
values_998,,,975,0
values_988,,,1751,0
values_6,,,1847,0
values_625,,,2266,0
values_518,,,1646,0
values_122,,,2456,0
values_541,,,17,0
values_279,,,111,0
values_256,,,2162,0
values_796,,,2200,0
values_504,,,205,0
values_752,,,2252,0
values_459,,,2322,0
values_658,,,663,0
values_408,,,2522,0
values_867,,,1427,0
values_727,,,643,0
values_177,,,33,0
values_823,,,2312,0
values_822,,,1979,0
values_218,,,63,0
values_426,,,1391,0
values_776,,,1296,0
values_143,,,1815,0
values_739,,,1608,0
values_312,,,612,0
values_174,,,230,0
values_669,,,833,0
values_120,,,307,0
values_974,,,258,0
values_217,,,33,0
values_866,,,1036,0
values_192,,,217,0
values_328,,,1635,0
values_68,,,900,0
values_387,,,45,0
values_69,,,89,0
values_749,,,213,0
values_135,,,148,0
values_341,,,1256,0
values_494,,,319,0
values_1,,,624,0
values_589,,,66,0
values_925,,,1463,0
values_524,,,1135,0
values_994,,,1676,0
values_856,,,1003,0
values_156,,,392,0
values_470,,,1526,0
values_207,,,908,0
values_655,,,223,0
values_441,,,50,0
values_109,,,389,0
values_45,,,516,0
values_125,,,2805,0
values_600,,,634,0
values_708,,,2808,0
values_791,,,247,0
values_912,,,2297,0
values_533,,,819,0
values_418,,,245,0
values_228,,,879,0
values_585,,,617,0
values_465,,,904,0
values_239,,,676,0
values_842,,,191,0
values_208,,,382,0
values_932,,,271,0
values_957,,,17,0
values_563,,,1118,0
values_766,,,1153,0
values_476,,,2338,0
values_175,,,178,0
values_591,,,225,0
values_997,,,1172,0
values_385,,,388,0
values_115,,,417,0
values_653,,,2443,0
values_753,,,148,0
values_241,,,796,0
values_197,,,1643,0
values_636,,,148,0
values_450,,,857,0
values_106,,,2100,0
values_699,,,947,0
values_578,,,245,0
values_644,,,157,0
values_570,,,2016,0
values_873,,,1033,0
values_33,,,39,0
values_210,,,254,0
values_486,,,2507,0
values_252,,,2549,0
values_694,,,118,0
values_759,,,1380,0
values_245,,,124,0
values_15,,,908,0
values_792,,,647,0
values_248,,,933,0
values_246,,,1654,0
values_556,,,17,0
values_513,,,557,0
values_93,,,55,0
values_558,,,64,0
values_991,,,1276,0
values_181,,,186,0
values_674,,,295,0
values_652,,,1755,0
values_344,,,1660,0
values_715,,,136,0
values_528,,,627,0
values_276,,,220,0
values_24,,,1624,0
values_296,,,2341,0
values_244,,,17,0
values_380,,,1739,0
values_25,,,96,0
values_740,,,1684,0
values_478,,,2216,0
values_379,,,1265,0
values_810,,,1452,0
values_440,,,886,0
values_543,,,72,0
values_130,,,2365,0
values_225,,,1361,0
values_285,,,958,0
values_363,,,948,0
values_667,,,1808,0
values_26,,,1294,0
values_793,,,351,0
values_772,,,1169,0
values_931,,,17,0
values_981,,,96,0
values_422,,,39,0
values_920,,,426,0
values_259,,,983,0
values_477,,,42,0
values_738,,,838,0
values_430,,,1871,0
values_922,,,859,0
values_903,,,1234,0
values_761,,,1784,0
values_204,,,63,0
values_48,,,160,0
values_71,,,1351,0
values_851,,,3020,0
values_347,,,1433,0
values_725,,,553,0
values_266,,,17,0
values_448,,,1875,0
values_934,,,179,0
values_531,,,1733,0
values_224,,,2778,0
values_686,,,248,0
values_927,,,99,0
values_407,,,2189,0
values_76,,,2314,0
values_949,,,495,0
values_969,,,1365,0
values_781,,,208,0
values_7,,,2216,0
values_683,,,2795,0
values_376,,,424,0
values_877,,,1535,0
values_654,,,47,0
values_508,,,566,0
values_332,,,1015,0
values_281,,,510,0
values_381,,,1058,0
values_769,,,539,0
values_701,,,47,0
values_855,,,2213,0
values_320,,,1810,0
values_50,,,1828,0
values_918,,,2184,0
values_615,,,2736,0
values_704,,,17,0
values_633,,,281,0
values_847,,,303,0
values_602,,,61,0
values_399,,,748,0
values_22,,,1715,0
values_313,,,322,0
values_375,,,251,0
values_963,,,788,0
values_168,,,320,0
values_226,,,1610,0
values_190,,,665,0
values_429,,,1163,0
values_236,,,225,0
values_777,,,1019,0
values_909,,,305,0
values_438,,,1276,0
values_607,,,243,0
values_717,,,75,0
values_782,,,883,0
values_258,,,242,0
values_872,,,314,0
values_637,,,258,0
values_746,,,1127,0
values_4,,,343,0
values_345,,,505,0
values_102,,,534,0
values_962,,,830,0
values_356,,,1410,0
values_853,,,171,0
values_849,,,2308,0
values_814,,,2827,0
values_370,,,353,0
values_778,,,944,0
values_458,,,261,0
values_818,,,2550,0
values_119,,,504,0
values_373,,,1123,0
values_351,,,255,0
values_32,,,995,0
values_770,,,462,0
values_371,,,80,0
values_283,,,647,0
values_535,,,1022,0
values_250,,,1639,0
values_132,,,2884,0
values_649,,,603,0
values_77,,,315,0
values_260,,,858,0
values_891,,,489,0
values_91,,,401,0
values_137,,,265,0
values_42,,,799,0
values_13,,,1370,0
values_577,,,112,0
values_41,,,370,0
values_809,,,2383,0
values_414,,,959,0
values_360,,,1654,0
values_386,,,679,0
values_158,,,577,0
values_904,,,2296,0
values_480,,,792,0
values_647,,,1648,0
values_104,,,2224,0
values_55,,,869,0
values_491,,,748,0
values_391,,,2082,0
values_972,,,55,0
values_571,,,2401,0
values_940,,,743,0
values_861,,,2944,0
values_324,,,2071,0
values_549,,,1835,0
values_170,,,33,0
values_269,,,2224,0
values_442,,,799,0
values_520,,,961,0
values_455,,,791,0
values_31,,,2516,0
values_971,,,1751,0
values_397,,,56,0
values_254,,,124,0
values_616,,,274,0
values_66,,,140,0
values_943,,,313,0
values_117,,,1277,0
values_451,,,466,0
values_643,,,17,0
values_688,,,962,0
values_569,,,291,0
values_745,,,88,0
values_65,,,940,0
values_980,,,925,0
values_982,,,1409,0
values_62,,,2404,0
values_789,,,347,0
values_401,,,343,0
values_21,,,1388,0
values_598,,,1948,0
values_273,,,780,0
values_534,,,1419,0
values_118,,,97,0
values_141,,,1190,0
