id,clockCycles,assemblyInstr
values_242,3897,1304
values_505,4136,1458
values_924,3993,1370
values_862,3929,1326
values_287,4057,1414
values_733,4057,1414
values_813,3993,1370
values_11,3897,1304
values_19,3993,1370
values_999,4136,1458
values_134,4025,1392
values_609,3897,1304
values_993,4057,1414
values_731,4057,1414
values_127,3929,1326
values_889,4089,1436
values_987,3993,1370
values_780,3961,1348
values_435,4089,1436
values_950,4185,1502
values_976,3993,1370
values_557,3961,1348
values_398,4089,1436
values_892,4136,1458
values_670,4025,1392
values_574,3897,1304
values_163,4057,1414
values_900,4057,1414
values_392,3993,1370
values_447,4025,1392
values_523,4185,1502
values_679,3929,1326
values_419,3993,1370
values_895,3897,1304
values_298,3897,1304
values_155,4185,1502
values_12,4185,1502
values_160,3993,1370
values_626,4057,1414
values_38,4025,1392
values_146,4153,1480
values_81,4089,1436
values_687,3929,1326
values_213,4057,1414
values_212,4185,1502
values_568,4089,1436
values_5,4025,1392
values_40,3961,1348
values_970,4136,1458
values_707,4025,1392
values_406,4185,1502
values_893,4025,1392
values_144,4153,1480
values_979,4185,1502
values_831,4136,1458
values_402,3961,1348
values_404,3961,1348
values_310,4185,1502
values_70,3993,1370
values_268,4153,1480
values_412,4136,1458
values_290,4089,1436
values_916,3961,1348
values_567,3961,1348
values_913,4136,1458
values_232,4153,1480
values_319,3993,1370
values_23,3929,1326
values_899,3929,1326
values_428,3993,1370
values_858,4185,1502
values_546,3961,1348
values_432,4025,1392
values_231,4153,1480
values_388,3993,1370
values_350,4089,1436
values_603,3897,1304
values_364,3929,1326
values_530,3993,1370
values_72,4089,1436
values_536,3993,1370
values_79,3897,1304
values_342,4153,1480
values_803,4025,1392
values_501,4057,1414
values_540,3993,1370
values_955,4185,1502
values_191,3897,1304
values_812,3929,1326
values_545,4185,1502
values_78,3929,1326
values_526,3993,1370
values_695,4136,1458
values_87,3929,1326
values_300,3993,1370
values_964,3961,1348
values_998,3929,1326
values_988,4153,1480
values_6,4089,1436
values_625,3897,1304
values_518,3961,1348
values_122,3929,1326
values_541,4025,1392
values_279,4185,1502
values_256,3961,1348
values_796,4185,1502
values_504,3961,1348
values_752,4089,1436
values_459,3897,1304
values_658,4089,1436
values_408,4089,1436
values_867,4153,1480
values_727,4136,1458
values_177,4136,1458
values_823,3993,1370
values_822,4025,1392
values_218,4057,1414
values_426,3897,1304
values_776,3897,1304
values_143,4089,1436
values_739,4153,1480
values_312,3897,1304
values_174,3929,1326
values_669,3993,1370
values_120,3993,1370
values_974,3897,1304
values_217,3993,1370
values_866,4153,1480
values_192,3929,1326
values_328,4136,1458
values_68,4089,1436
values_387,4089,1436
values_69,4136,1458
values_749,3993,1370
values_135,4153,1480
values_341,3993,1370
values_494,3897,1304
values_1,3993,1370
values_589,3961,1348
values_925,4185,1502
values_524,4089,1436
values_994,4185,1502
values_856,4057,1414
values_156,4185,1502
values_470,4025,1392
values_207,3929,1326
values_655,4136,1458
values_441,3993,1370
values_109,3929,1326
values_45,4025,1392
values_125,3961,1348
values_600,4089,1436
values_708,3993,1370
values_791,3993,1370
values_912,3993,1370
values_533,4057,1414
values_418,4153,1480
values_228,3961,1348
values_585,3929,1326
values_465,4185,1502
values_239,3993,1370
values_842,4089,1436
values_208,3929,1326
values_932,4153,1480
values_957,3897,1304
values_563,4025,1392
values_766,3897,1304
values_476,4025,1392
values_175,4153,1480
values_591,4185,1502
values_997,4136,1458
values_385,4136,1458
values_115,4025,1392
values_653,4089,1436
values_753,3961,1348
values_241,4057,1414
values_197,4025,1392
values_636,4057,1414
values_450,4153,1480
values_106,3993,1370
values_699,3897,1304
values_578,4025,1392
values_644,4089,1436
values_570,3929,1326
values_873,3993,1370
values_33,3897,1304
values_210,3993,1370
values_486,4136,1458
values_252,4089,1436
values_694,4153,1480
values_759,4057,1414
values_245,3929,1326
values_15,4025,1392
values_792,4136,1458
values_248,3961,1348
values_246,4057,1414
