id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,4278,1468,35,122.229
values_505,4549,1655,65,69.985
values_1006,4707,1763,81,58.111
values_924,4667,1725,77,60.610
values_862,4644,1720,75,61.920
values_287,4790,1820,91,52.637
values_733,4576,1668,67,68.299
values_813,4910,1902,103,47.670
values_11,4422,1568,51,86.706
values_19,4721,1773,85,55.541
values_999,4667,1729,77,60.610
values_134,4613,1699,73,63.192
values_609,4511,1629,61,73.951
values_993,4667,1729,77,60.610
values_731,4708,1764,83,56.723
values_127,5226,2118,135,38.711
values_889,4865,1871,97,50.155
values_987,5106,2036,123,41.512
values_780,4695,1755,81,57.963
values_435,4753,1795,89,53.404
values_950,4530,1642,63,71.905
values_976,4733,1781,85,55.682
values_557,5062,2006,119,42.538
values_398,4664,1724,75,62.187
values_892,4403,1555,49,89.857
values_670,4492,1616,59,76.136
values_574,4759,1799,89,53.472
values_163,4488,1611,57,78.737
values_900,4791,1821,93,51.516
values_392,4238,1442,31,136.710
values_447,4549,1655,65,69.985
values_523,4543,1651,65,69.892
values_679,4278,1468,35,122.229
values_419,4612,1698,71,64.958
values_895,4676,1742,79,59.190
values_298,4708,1764,83,56.723
values_155,4676,1742,79,59.190
values_12,4511,1629,61,73.951
values_160,4689,1751,81,57.889
values_626,4295,1481,37,116.081
values_38,5024,1980,115,43.687
values_146,4460,1594,55,81.091
values_81,4549,1655,65,69.985
values_687,4778,1812,91,52.505
values_213,4492,1616,59,76.136
values_212,4600,1690,71,64.789
values_568,4619,1703,73,63.274
values_5,4632,1712,75,61.760
values_40,4612,1698,71,64.958
values_970,4638,1716,75,61.840
values_707,4612,1698,71,64.958
values_406,4422,1568,51,86.706
values_893,4682,1746,79,59.266
values_144,4619,1703,73,63.274
values_979,4682,1746,79,59.266
values_831,4689,1751,81,57.889
values_402,4492,1616,59,76.136
values_404,4504,1624,59,76.339
values_310,4714,1768,83,56.795
values_70,4695,1755,81,57.963
values_268,4632,1712,75,61.760
values_1018,4707,1763,81,58.111
values_412,4422,1568,51,86.706
values_290,4667,1728,75,62.227
values_916,4619,1703,73,63.274
values_567,4600,1690,71,64.789
values_913,4422,1568,51,86.706
values_232,4365,1529,45,97.000
values_319,4752,1790,87,54.621
values_23,4600,1690,71,64.789
values_899,4460,1594,55,81.091
values_428,5378,2222,151,35.616
values_858,4689,1751,81,57.889
values_546,4667,1733,77,60.610
values_432,4708,1764,83,56.723
values_231,4549,1655,65,69.985
values_388,4536,1646,63,72.000
values_350,5170,2080,131,39.466
values_603,4910,1902,103,47.670
values_364,4670,1738,79,59.114
values_530,4511,1629,61,73.951
values_72,4168,1394,23,181.217
values_536,4403,1555,49,89.857
values_79,4727,1777,85,55.612
values_342,5016,1971,113,44.389
values_803,4599,1689,69,66.652
values_501,4778,1812,91,52.505
values_540,5056,2001,117,43.214
values_955,4689,1751,81,57.889
values_191,4644,1720,75,61.920
values_812,4517,1633,61,74.049
values_545,4670,1738,79,59.114
values_78,4759,1799,89,53.472
values_526,5214,2110,135,38.622
values_695,4587,1681,69,66.478
values_87,4524,1638,63,71.810
values_300,4752,1786,87,54.621
values_964,4708,1764,83,56.723
values_998,4815,1837,93,51.774
values_988,4759,1799,89,53.472
values_6,4454,1590,55,80.982
values_625,4498,1620,59,76.237
values_518,4600,1690,71,64.789
values_122,4891,1889,101,48.426
values_541,5163,2075,129,40.023
