id,cInstr
values_242,101
values_505,372
values_924,27
values_862,754
values_287,615
values_733,393
values_813,565
values_11,14
values_19,109
values_999,52
values_134,43
values_609,36
values_993,106
values_731,160
values_127,131
values_889,69
values_987,738
values_780,97
values_435,167
values_950,676
values_976,135
values_557,185
values_398,194
values_892,162
values_670,28
values_574,138
values_163,495
values_900,337
values_392,193
values_447,641
values_523,524
values_679,30
values_419,75
values_895,231
values_298,60
values_155,541
values_12,557
values_160,305
values_626,114
values_38,511
values_146,243
values_81,195
values_687,17
values_213,211
values_212,72
values_568,295
values_5,660
values_40,674
values_970,540
values_707,22
values_406,300
values_893,427
values_144,106
values_979,210
values_831,468
values_402,312
values_404,555
values_310,22
values_70,92
values_268,27
values_412,25
values_290,36
values_916,148
values_567,107
values_913,19
values_232,495
values_319,479
values_23,123
values_899,134
values_428,17
values_858,334
values_546,25
values_432,220
values_231,828
values_388,128
values_350,131
values_603,94
values_364,468
values_530,121
values_72,14
values_536,597
values_79,505
values_342,141
values_803,252
values_501,483
values_540,529
values_955,542
values_191,22
values_812,55
values_545,106
values_78,128
values_526,473
values_695,88
values_87,264
values_300,705
values_964,17
values_998,86
values_988,53
values_6,166
values_625,230
values_518,33
values_122,526
values_541,61
values_279,25
values_256,33
values_796,410
values_504,710
values_752,486
values_459,17
values_658,257
values_408,111
values_867,314
values_727,118
values_177,308
values_823,78
values_822,55
values_218,666
values_426,25
values_776,22
values_143,239
values_739,101
values_312,354
values_174,17
values_669,201
values_120,30
values_974,217
values_217,323
values_866,37
values_192,22
values_328,598
values_68,78
values_387,493
values_69,91
values_749,385
values_135,87
values_341,180
values_494,382
values_1,373
values_589,640
values_925,58
values_524,263
values_994,174
values_856,326
values_156,199
values_470,130
values_207,58
values_655,558
values_441,478
values_109,379
values_45,253
values_125,71
values_600,84
values_708,178
values_791,659
values_912,164
values_533,576
values_418,534
values_228,466
values_585,636
values_465,174
values_239,256
values_842,556
values_208,238
values_932,130
values_957,225
values_563,64
values_766,100
values_476,308
values_175,85
values_591,522
values_997,316
values_385,247
values_115,521
values_653,111
values_753,585
values_241,422
