id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,5786,2115,101,57.287
values_505,10405,4683,372,27.970
values_924,4292,1443,27,158.963
values_862,16076,8223,754,21.321
values_287,13904,6923,615,22.608
values_733,10736,4891,393,27.318
values_813,13112,6467,565,23.207
values_11,4027,1331,14,287.643
values_19,5963,2203,109,54.706
values_999,4783,1667,52,91.981
values_134,4616,1595,43,107.349
values_609,4459,1515,36,123.861
values_993,5924,2187,106,55.887
values_731,6882,2695,160,43.013
values_127,6376,2435,131,48.672
values_889,5192,1851,69,75.246
values_987,15928,8063,738,21.583
values_780,5720,2091,97,58.969
values_435,7094,2747,167,42.479
values_950,14620,7519,676,21.627
values_976,6451,2435,135,47.785
values_557,7254,2919,185,39.211
values_398,7350,3003,194,37.887
values_892,7002,2675,162,43.222
values_670,4312,1439,28,154.000
values_574,6515,2463,138,47.210
values_163,12144,5787,495,24.533
values_900,9856,4331,337,29.246
values_392,7536,2979,193,39.047
values_447,14043,7179,641,21.908
values_523,12611,6075,524,24.067
values_679,4356,1471,30,145.200
values_419,5280,1883,75,70.400
values_895,8060,3351,231,34.892
values_298,4945,1743,60,82.417
values_155,12712,6255,541,23.497
values_12,12859,6407,557,23.086
values_160,9240,4067,305,30.295
values_626,6003,2239,114,52.658
values_38,12162,5939,511,23.800
values_146,8149,3451,243,33.535
values_81,7480,2999,195,38.359
values_687,4096,1347,17,240.941
values_213,7895,3135,211,37.417
values_212,5192,1843,72,72.111
values_568,8976,3927,295,30.427
values_5,14465,7359,660,21.917
values_40,14902,7499,674,22.110
values_970,12724,6235,540,23.563
values_707,4224,1407,22,192.000
values_406,9240,3971,300,30.800
values_893,11066,5199,427,25.916
values_144,5849,2151,106,55.179
values_979,7589,3155,210,36.138
values_831,11851,5595,468,25.323
values_402,9523,4107,312,30.522
values_404,12967,6375,555,23.364
values_310,4194,1395,22,190.636
values_70,5594,2031,92,60.804
values_268,4317,1455,27,159.889
values_412,4258,1423,25,170.320
values_290,4459,1515,36,123.861
values_916,6626,2559,148,44.770
values_567,5939,2183,107,55.505
values_913,4136,1379,19,217.684
values_232,12144,5835,495,24.533
values_319,11860,5675,479,24.760
