inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,32,718,150,1901,182,14272.32,1093069.23,0.01,76.59,60726.07,3.54
values_505,32,589,145,1576,177,11768.95,764900.35,0.02,64.99,42494.46,2.79
values_924,32,358,121,985,153,7148.53,338403.00,0.02,47.34,18800.17,1.62
values_862,32,765,152,2018,184,15182.55,1222594.66,0.01,80.53,67921.93,3.81
values_287,32,973,153,2514,185,18933.89,1926554.55,0.01,101.75,107030.81,5.16
values_733,32,414,132,1130,164,8314.03,417213.33,0.02,50.18,23178.52,1.86
values_813,32,814,146,2146,178,16042.92,1431116.72,0.01,89.21,79506.48,4.23
values_11,32,253,84,720,116,4937.75,237952.35,0.02,48.19,13219.57,1.28
values_19,32,214,50,615,82,3909.89,267749.57,0.01,68.48,14874.98,1.38
values_999,32,589,149,1576,181,11819.76,747579.81,0.02,63.25,41532.21,2.75
values_134,32,214,51,614,83,3914.27,262793.63,0.01,67.14,14599.65,1.37
values_609,32,270,90,764,122,5295.08,254164.00,0.02,48,14120.22,1.34
values_993,32,225,60,649,92,4233.79,254027.50,0.02,60,14112.64,1.34
values_731,32,973,153,2525,185,19016.74,1934984.18,0.01,101.75,107499.12,5.18
values_127,32,310,109,868,141,6197.13,281997.87,0.02,45.50,15666.55,1.43
values_889,32,414,130,1121,162,8227.97,419246.81,0.02,50.95,23291.49,1.87
values_987,32,589,149,1569,181,11767.26,744259.34,0.02,63.25,41347.74,2.74
values_780,32,673,149,1766,181,13244.73,957176.04,0.01,72.27,53176.45,3.24
values_435,32,238,69,677,101,4507.61,248767.76,0.02,55.19,13820.43,1.32
values_950,32,765,152,2004,184,15077.22,1214112.83,0.01,80.53,67450.71,3.79
values_976,32,673,151,1760,183,13227.63,943279.06,0.01,71.31,52404.39,3.21
values_557,32,198,38,577,70,3536.60,294840.45,0.01,83.37,16380.02,1.48
values_398,32,478,145,1279,177,9551.07,503769.41,0.02,52.74,27987.19,2.11
values_892,32,205,44,598,76,3736.26,278521.25,0.01,74.55,15473.40,1.42
values_670,32,445,136,1205,168,8907.74,466346.52,0.02,52.35,25908.14,2.00
values_574,32,445,141,1218,173,9055.38,457264.44,0.02,50.50,25403.58,1.98
