id,cInstr
values_242,4109
values_505,3185
values_924,33418
values_862,26985
values_287,185677
values_733,56722
values_813,57193
values_11,5944
values_19,1338
values_999,3193
values_134,1317
values_609,8989
values_993,2309
values_731,185912
values_127,18197
values_889,56809
values_987,3177
values_780,3783
values_435,3807
values_950,27070
values_976,3739
values_557,345
values_398,2371
values_892,695
values_670,71913
values_574,72370
values_163,56984
values_900,27285
values_392,6009
values_447,12911
values_523,4089
values_679,33257
values_419,3149
values_895,13028
values_298,1318
values_155,2329
values_12,350
values_160,185845
values_626,347
values_38,5998
values_146,155
values_81,2318
values_687,25067
values_213,43883
values_212,3777
values_568,3779
values_5,1326
values_40,33596
values_970,2371
values_707,3794
values_406,56706
values_893,8931
values_144,27133
values_979,5933
values_831,24994
values_402,33288
values_404,1310
values_310,18112
values_70,24885
values_268,4093
values_412,135575
values_290,136823
values_916,3859
values_567,2653
values_913,27148
values_232,3791
values_319,3793
values_23,2379
values_899,26935
values_428,72205
values_858,71791
values_546,1322
values_432,43807
values_231,3825
values_388,135872
values_350,185979
values_603,56565
values_364,2921
values_530,2639
values_72,2609
values_536,2371
values_79,155
values_342,348
values_803,2311
values_501,345
values_540,2919
values_955,12987
values_191,18200
values_812,3876
values_545,5900
values_78,4091
values_526,2363
values_695,33485
values_87,1315
values_300,4101
values_964,136221
values_998,57642
values_988,2298
values_6,2619
values_625,18267
values_518,136836
values_122,346
values_541,717
values_279,136436
values_256,3475
values_796,1325
values_504,71421
values_752,56422
values_459,27108
values_658,27332
values_408,2897
values_867,345
values_727,27163
values_177,56962
values_823,18308
values_822,185280
values_218,3830
values_426,8971
values_776,186453
values_143,18048
values_739,346
values_312,3465
values_174,5931
values_669,3489
values_120,2909
values_974,2611
values_217,185677
values_866,18366
values_192,57932
values_328,27296
values_68,3857
values_387,694
values_69,57281
values_749,1323
values_135,1335
values_341,1323
values_494,136316
values_1,27195
values_589,3777
values_925,33271
values_524,72149
values_994,43531
values_856,2381
values_156,33254
values_470,185516
values_207,72095
values_655,155
values_441,18437
values_109,8978
values_45,2897
values_125,56217
values_600,2607
values_708,5958
values_791,3783
values_912,56362
values_533,2641
values_418,57607
values_228,186951
values_585,185129
values_465,2313
values_239,43692
values_842,2391
values_208,4099
values_932,1294
values_957,2306
values_563,33306
values_766,33177
values_476,5944
values_175,157
values_591,18096
values_997,18003
values_385,345
values_115,57707
values_653,24781
values_753,33337
values_241,352
values_197,2379
values_636,1337
values_450,24798
values_106,155
values_699,3775
values_578,3165
values_644,5930
values_570,135971
values_873,18222
values_33,5986
values_210,27284
values_486,5857
values_252,2621
values_694,57463
values_759,2383
values_245,136296
values_15,12909
values_792,135946
values_248,136753
values_246,3491
values_556,3193
values_513,9034
values_93,2375
values_558,12838
values_991,27021
values_181,3505
values_674,27041
values_652,185981
values_344,5966
values_715,12955
values_528,27324
values_276,8952
values_24,18191
values_296,93614
values_244,71484
values_380,33361
values_25,3852
values_740,346
values_478,43804
values_379,136028
values_810,3771
values_440,3810
values_543,57592
values_130,697
values_225,3769
values_285,5987
values_363,33215
values_667,93442
values_26,12931
values_793,2895
values_772,56748
values_931,3775
values_981,3811
values_422,2919
values_920,8993
values_259,136197
values_477,56658
values_738,3881
values_430,6006
values_922,18042
values_903,18119
values_761,186234
values_204,24874
values_48,33307
values_71,157
values_851,3783
values_347,3197
values_725,4075
values_266,3469
values_448,696
values_934,3183
values_531,2321
values_224,5973
values_686,33234
values_927,2385
values_407,2643
values_76,354
values_949,18229
values_969,18096
values_781,3465
values_7,3191
values_683,2629
values_376,25088
values_877,1328
values_654,43783
values_508,12931
values_332,5942
values_281,2389
values_381,5998
values_769,13003
values_701,185552
values_855,712
values_320,3467
values_50,2623
values_918,1315
values_615,57359
values_704,57531
values_633,57503
values_847,2625
values_602,93328
values_399,185985
values_22,3451
values_313,2409
values_375,2336
values_963,1331
values_168,3769
values_226,2365
values_190,26910
values_429,18335
values_236,1323
values_777,12810
values_909,33387
values_438,8948
values_607,2919
values_717,135927
values_782,33453
values_258,342
values_872,93888
values_637,2623
values_746,4085
values_4,57575
values_345,705
values_102,3475
values_962,3157
values_356,27308
values_853,12904
values_849,3453
values_814,18165
values_370,26958
values_778,343
values_458,3817
values_818,57364
values_119,57828
values_373,5885
values_351,56511
values_32,93595
values_770,2889
values_371,350
values_283,712
values_535,3797
values_250,18745
values_132,93387
values_649,3185
values_77,43569
values_260,33621
values_891,72375
values_91,3777
values_137,710
values_42,4117
values_13,56370
values_577,57744
values_41,43803
values_809,4113
values_414,9011
values_360,56283
values_386,4099
values_158,94056
values_904,2643
values_480,2363
values_647,12872
values_104,3773
values_55,43786
values_491,2385
values_391,1309
values_972,44018
values_571,24771
values_940,2322
values_861,12880
values_324,704
values_549,157
values_170,3477
values_269,1316
values_442,157
values_520,4103
values_455,2393
values_31,3764
values_971,71909
values_397,4075
values_254,2391
values_616,93571
values_66,71547
values_943,1312
values_117,350
values_451,157
values_643,136705
values_688,27099
values_569,94231
values_745,2641
values_65,136007
values_980,33135
values_982,3175
values_62,43997
values_789,18033
values_401,3183
values_21,94077
values_598,2903
values_273,185941
values_534,26961
values_118,155
values_141,56425
values_366,9092
values_222,56301
values_876,71657
values_700,8912
values_95,157
values_806,4107
values_671,3931
values_816,185907
values_630,3187
values_433,43773
values_905,27031
values_84,3857
values_233,5973
values_664,1351
values_162,1343
values_681,24814
values_542,1322
values_169,344
values_660,18282
values_488,155
values_894,5914
values_828,18138
values_537,56304
values_845,2355
values_584,43636
values_457,2909
values_499,3189
values_369,71741
values_58,5890
values_64,71968
values_196,2889
values_462,57959
values_343,93324
values_262,71711
values_966,93440
values_261,33426
values_349,4105
values_263,2345
values_801,72205
values_292,5991
values_786,352
values_101,71776
values_691,9038
values_926,184960
values_754,2907
values_215,43526
values_977,33663
values_850,18510
values_646,342
values_628,185857
values_941,3790
values_353,3767
values_690,2383
values_961,18090
values_331,2383
values_377,185623
values_128,5948
values_336,186046
values_632,12906
values_166,2381
values_744,157
values_837,2312
values_807,3780
values_838,9026
values_723,5955
values_874,157
values_627,3779
values_555,56367
values_446,27217
values_716,6033
values_240,93943
values_140,33066
values_317,27454
values_83,186083
values_696,3183
values_413,348
values_94,1315
values_937,56655
values_199,93564
values_596,71599
values_0,56600
values_953,24926
values_906,2631
values_742,4097
values_396,58038
values_159,2279
values_238,18170
values_136,33516
values_915,1334
values_99,3807
values_771,3854
values_96,93618
values_768,56472
values_67,27111
values_565,2637
values_848,44260
values_114,3461
values_61,345
values_511,3807
values_729,3767
values_460,1344
values_832,33247
values_348,352
values_182,33609
values_986,4091
values_180,2385
values_930,3481
values_274,3477
values_309,2913
values_496,3491
values_165,3151
values_553,3171
values_870,3179
values_795,3195
values_361,12999
values_302,2891
values_586,2300
values_880,2391
values_665,2891
values_527,2629
values_372,2363
values_382,2363
values_43,8928
values_935,1323
values_2,188157
values_790,3173
values_152,4119
values_871,3169
values_434,43827
values_775,3187
values_500,3507
values_220,56538
values_875,5915
values_249,186955
values_808,5910
values_859,93960
values_539,2885
values_635,1329
values_311,43931
values_183,2909
values_54,136282
values_390,185510
values_890,56243
values_711,339
values_471,58083
values_995,72007
values_443,27579
values_464,2315
values_774,3479
values_200,703
values_747,185653
values_758,9081
values_30,12798
values_820,3847
values_393,24704
values_576,43593
values_445,27139
values_662,704
values_403,57692
values_640,24760
values_59,24716
values_490,71384
values_194,4109
values_751,157
values_663,33261
values_938,2899
values_532,4103
values_885,3181
values_713,1317
values_193,18235
values_650,687
values_564,8898
values_267,56520
values_147,8930
values_709,186165
values_857,4081
values_334,56153
values_965,8875
values_824,157
values_784,56407
values_229,43798
values_538,71793
values_463,13081
values_741,56490
values_85,57459
values_493,4085
values_794,3499
values_202,58415
values_74,12859
values_410,185887
values_469,93730
values_394,43745
values_149,2367
values_945,348
values_293,2623
values_456,185837
values_975,12864
values_547,2379
values_164,93738
values_720,3183
values_833,3793
values_90,1335
values_954,2391
values_483,3513
values_990,43556
values_113,2331
values_878,4097
values_942,4109
values_126,4097
values_666,4107
values_960,27445
values_783,5993
values_735,56607
values_439,6182
values_860,2281
values_18,157
values_173,43806
values_454,3805
values_176,3463
values_698,18221
values_869,3189
values_697,3175
values_509,4107
values_189,24964
values_714,18237
values_270,12983
values_863,2639
values_548,2623
values_359,12844
values_512,5981
values_656,3497
values_684,3467
values_171,4079
values_675,93895
values_657,13092
values_333,93674
values_599,13023
values_129,4107
values_886,3828
values_107,5914
values_272,3209
values_52,3827
values_819,33337
values_682,94122
values_44,33334
values_914,3777
values_346,2373
values_151,3775
values_550,8885
values_326,3783
values_836,5939
values_437,2637
values_984,5987
values_17,2891
values_748,18166
values_581,2899
values_705,2623
values_121,341
values_219,343
values_321,56453
values_843,24910
values_606,3749
values_898,3775
values_601,4099
values_36,8915
values_282,3846
values_395,2391
values_449,5924
values_209,186072
values_956,4097
values_579,3795
values_484,93596
values_521,155
values_617,18083
values_516,3195
values_358,3793
values_335,186014
values_139,2389
values_992,93546
values_211,1339
values_507,3890
values_921,1327
values_138,2635
values_275,2379
values_614,72900
values_49,71910
values_227,356
values_203,12898
values_172,12992
values_86,2393
values_178,4113
values_978,3791
values_253,136119
values_291,27192
values_911,3864
values_230,136101
values_318,2877
values_798,94845
values_638,3826
values_112,5884
values_201,716
values_629,155
values_337,18266
values_37,93592
values_56,56798
values_316,27261
values_829,13045
values_63,72087
values_35,44004
values_519,2923
values_481,3831
values_278,5922
values_186,12870
values_702,33516
values_722,2309
values_97,33378
values_329,71968
values_75,2379
values_560,2875
values_612,93957
values_421,4111
values_639,4123
values_939,3781
values_198,135967
values_840,715
values_415,185402
values_405,4113
values_100,2369
values_726,2899
values_265,2903
values_743,2911
values_436,93216
values_583,43607
values_525,3795
values_677,1327
values_289,3785
values_255,44056
values_529,5894
values_826,2917
values_362,8916
values_355,43982
values_506,2375
values_315,6034
values_604,18149
values_57,3795
values_133,2631
values_787,25331
values_799,57666
values_765,701
values_887,155
values_952,4087
values_631,12894
values_306,5947
values_497,57535
values_821,3767
values_618,94077
values_271,12857
values_645,2619
values_985,5958
values_400,12811
values_562,93109
values_590,700
values_648,56584
values_325,3821
values_883,12898
values_827,27291
values_854,32992
values_307,24999
values_88,43550
values_958,2385
values_251,56858
values_902,3479
values_680,185668
values_884,33509
values_901,155
values_354,33633
values_420,2935
values_103,27240
values_10,3473
values_474,3808
values_53,3783
values_8,3773
values_39,8895
values_755,3485
values_124,93444
values_841,1332
values_510,2923
values_989,2325
values_706,13306
values_257,3211
values_811,57823
values_111,155
values_47,157
values_928,43814
values_561,2907
values_383,4107
values_498,4105
values_60,93979
values_737,185680
values_624,2334
values_973,2887
values_472,24713
values_280,18212
values_389,24681
values_651,18281
values_642,3459
values_668,93070
values_551,57606
values_750,2315
values_592,8855
values_89,155
values_411,5871
values_620,71543
values_357,9066
values_247,71741
values_692,2623
values_572,57605
values_757,71531
values_566,57704
values_216,8918
values_951,33345
values_910,3191
values_338,4109
values_461,43988
values_730,3768
values_734,18176
values_51,24834
values_678,2303
values_327,56686
values_473,6067
values_453,5964
values_154,2639
values_452,2373
values_221,3822
values_323,136693
values_844,18061
values_673,71881
values_427,2328
values_933,3833
values_802,157
values_852,1325
values_487,157
values_762,186451
values_515,3799
values_479,8893
values_948,93295
values_467,1304
values_14,157
values_868,56773
values_188,4099
values_489,33705
values_865,135899
values_728,56321
values_996,3469
values_277,25349
values_936,3489
values_554,2306
values_763,1336
values_834,12921
values_613,3177
values_907,2333
values_825,2353
values_308,6004
values_294,6000
values_522,9027
values_322,157
values_28,3779
values_760,155
values_559,43705
values_685,696
values_908,1332
values_919,155
values_724,33174
values_947,56396
values_214,13036
values_468,24907
values_967,94266
values_234,4121
values_983,2883
values_719,185613
values_110,3513
values_235,343
values_588,3469
values_185,43665
values_732,18346
values_896,2629
values_888,342
values_923,72133
values_767,2633
values_179,2315
values_195,2389
values_148,25021
values_917,3191
values_634,12820
values_157,33276
values_314,4129
values_879,2621
values_16,345
values_839,2895
values_150,24908
values_835,93996
values_161,72055
values_34,2911
values_959,343
values_264,345
values_123,3197
values_623,33546
values_187,56646
values_575,3771
values_466,3173
values_621,3465
values_82,2897
values_352,157
values_779,26991
values_946,43635
values_756,33354
values_502,56638
values_641,43875
values_882,33215
values_46,57684
values_721,71906
values_105,3175
values_284,343
values_295,2889
values_423,93984
values_544,1310
values_384,57145
values_206,9038
values_817,157
values_788,56289
values_205,27333
values_243,3909
values_619,2611
values_514,26895
values_703,18091
values_605,56647
values_659,12905
values_929,8961
values_365,1373
values_495,18524
values_431,1322
values_482,24750
values_611,57333
values_846,185338
values_27,8923
values_736,1328
values_815,135987
values_145,3183
values_582,3789
values_492,56597
values_881,157
values_237,8993
values_409,27522
values_108,3463
values_299,3483
values_20,71995
values_485,3487
values_303,3473
values_425,2374
values_597,155
values_517,33471
values_672,33171
values_340,2385
values_339,56266
values_424,12956
values_9,24775
values_587,1315
values_417,3479
values_116,71821
values_475,3195
values_184,3201
values_223,3495
values_804,3804
values_374,24959
values_864,33366
values_444,43660
values_92,13132
values_773,711
values_131,3495
values_710,33313
values_693,58079
values_944,3469
values_573,93344
values_712,6048
values_718,24938
values_3,56209
values_805,1339
values_98,2341
values_304,3785
values_897,3187
values_153,1333
values_368,24763
values_689,33213
values_830,3771
values_29,8872
values_301,27013
values_286,8912
values_580,2651
values_593,27185
values_80,136711
values_416,1316
values_305,43515
values_142,2329
values_800,1334
values_661,2369
values_73,24973
values_297,3159
values_167,345
values_594,24895
values_367,8928
values_552,3507
values_608,1338
values_797,93673
values_288,24974
values_764,56413
values_622,706
values_785,2643
values_676,4147
values_330,2324
values_595,56308
values_968,56218
values_503,1319
values_378,8952
values_610,93265
