id,clockCycles,assemblyInstr
values_242,86154,68158
values_505,65509,50823
values_924,615527,506409
values_862,474056,387492
values_287,3292027,2717210
values_733,1006562,823546
values_813,1023264,844111
values_11,101753,79148
values_19,26928,18402
values_999,65749,51031
values_134,26579,18116
values_609,158694,126569
values_993,44154,32652
values_731,3296282,2720826
values_127,333887,272822
values_889,1007847,824626
values_987,65269,50615
values_780,81400,64540
values_435,68858,52793
values_950,475904,389085
values_976,79992,63308
values_557,10736,5143
values_398,48088,36298
values_892,15928,9386
values_670,1224275,992831
values_574,1231134,998547
values_163,1010460,826822
values_900,479476,392141
values_392,102764,79992
values_447,232056,187600
values_523,85536,67618
values_679,612532,503841
values_419,64429,49887
values_895,234201,189436
values_298,26664,18178
values_155,44528,32960
values_12,10807,5213
values_160,3295531,2720222
values_626,10782,5193
values_38,102520,79774
values_146,7409,2700
values_81,44241,32724
values_687,451011,368428
values_213,793633,651361
values_212,81199,64372
values_568,81263,64428
values_5,26714,18230
values_40,618381,508837
values_970,48088,36298
values_707,68728,52679
values_406,1006104,823150
values_893,157708,125735
values_144,477603,390586
values_979,101432,78874
values_831,450088,367656
values_402,613113,504339
values_404,26502,18052
values_310,332328,271484
values_70,448272,366100
values_268,85658,67726
values_412,2441171,2022018
values_290,2462651,2040356
values_916,69750,53549
values_567,55126,42320
values_913,477313,390305
values_232,68728,52687
values_319,68700,52663
values_23,48312,36498
values_899,473731,387274
values_428,1228783,996593
values_858,1222389,991257
values_546,26664,18186
values_432,792125,650077
values_231,69184,53069
values_388,2445670,2025816
values_350,3297775,2722122
values_603,1003851,821250
values_364,61952,48182
values_530,54706,41956
values_72,53806,41176
values_536,48088,36298
values_79,7409,2700
values_342,10749,5163
values_803,44030,32540
values_501,10736,5143
values_540,61878,48128
values_955,233522,188860
values_191,333896,272826
values_812,70089,53837
values_545,101029,78542
values_78,85596,67672
values_526,47846,36098
values_695,616704,507417
values_87,26553,18094
values_300,85906,67942
values_964,2451485,2030792
values_998,1030365,850124
values_988,43857,32396
values_6,54120,41436
values_625,335192,273924
values_518,2462786,2040440
values_122,10743,5159
values_541,16250,9668
values_279,2456090,2034742
values_256,73068,57330
values_796,26675,18196
values_504,1216952,986723
values_752,1001630,819382
values_459,477302,390322
values_658,479424,392163
values_408,61196,47534
values_867,10736,5143
values_727,477400,390344
values_177,1010454,826832
values_823,335756,274410
values_822,3286220,2712326
values_218,69399,53257
values_426,158636,126527
values_776,3305693,2728838
values_143,331288,270600
values_739,10743,5159
values_312,72758,57060
values_174,101554,78982
values_669,73502,57708
values_120,61568,47858
values_974,53866,41228
values_217,3292931,2718010
values_866,336714,275230
values_192,1035183,854193
values_328,480025,392630
values_68,69784,53565
values_387,15877,9356
values_69,1024698,845314
values_749,26753,18266
values_135,26861,18354
values_341,26773,18284
values_494,2453792,2032774
values_1,477230,390307
values_589,81199,64372
values_925,613046,504291
values_524,1227815,995781
values_994,787688,646305
values_856,48367,36548
values_156,612483,503803
values_470,3289360,2714962
values_207,1226933,995043
values_655,7409,2700
values_441,337799,276152
values_109,158576,126459
values_45,61196,47534
values_125,998287,816554
values_600,53746,41124
values_708,101992,79344
values_791,81400,64540
values_912,1000614,818520
values_533,54766,42008
values_418,1029664,849481
values_228,3313552,2735506
values_585,3283456,2709962
values_465,44210,32700
values_239,790566,648757
values_842,48664,36798
values_208,85844,67888
values_932,26234,17826
