id,cInstr
values_242,12680
values_505,1240
values_924,560
values_862,3920
values_287,40
values_733,560
values_813,29432
values_11,343
values_19,14847
values_999,855
values_134,25975
values_609,41615
values_993,37240
values_731,2328
values_127,9000
values_889,10735
values_987,17248
values_780,560
values_435,37240
values_950,6112
values_976,17248
values_557,3920
values_398,19895
values_892,95
values_670,560
values_574,343
values_163,46320
values_900,192
values_392,95
values_447,29432
values_523,1727
values_679,95
values_419,19895
values_895,95
values_298,9000
values_155,1727
values_12,46320
values_160,41615
values_626,19895
values_38,10735
values_146,343
values_81,22800
values_687,40
values_213,9000
values_212,22800
values_568,33183
values_5,14847
values_40,25975
values_970,29432
values_707,2328
values_406,7463
values_893,6112
values_144,17248
values_979,33183
values_831,1240
values_402,4935
values_404,46320
values_310,7463
values_70,40
values_268,2328
values_412,29432
values_290,40
values_916,3920
values_567,29432
values_913,1727
values_232,7463
values_319,19895
values_23,37240
values_899,192
values_428,12680
values_858,2328
values_546,19895
values_432,343
values_231,12680
values_388,95
values_350,2328
values_603,560
values_364,1727
values_530,29432
values_72,855
values_536,12680
values_79,95
values_342,2328
values_803,10735
values_501,1240
values_540,12680
values_955,3055
values_191,560
values_812,7463
values_545,14847
values_78,12680
values_526,1240
values_695,22800
values_87,12680
values_300,10735
values_964,33183
values_998,37240
values_988,25975
values_6,17248
values_625,1727
values_518,1727
values_122,7463
values_541,29432
values_279,25975
values_256,343
values_796,3055
values_504,855
values_752,855
values_459,1240
values_658,9000
values_408,10735
values_867,9000
values_727,14847
values_177,9000
values_823,3920
values_822,192
values_218,560
values_426,12680
values_776,1727
values_143,4935
values_739,46320
values_312,19895
values_174,9000
values_669,7463
values_120,343
values_974,19895
values_217,46320
values_866,7463
values_192,7463
values_328,95
values_68,29432
values_387,46320
values_69,19895
values_749,25975
values_135,3920
values_341,7463
values_494,22800
values_1,3055
values_589,855
values_925,22800
values_524,12680
values_994,1240
values_856,46320
values_156,2328
values_470,25975
values_207,22800
values_655,343
values_441,4935
values_109,192
values_45,46320
values_125,560
values_600,17248
values_708,560
values_791,3055
values_912,12680
values_533,19895
values_418,3055
values_228,29432
values_585,6112
values_465,343
values_239,25975
values_842,1727
values_208,33183
values_932,2328
values_957,192
values_563,33183
values_766,95
values_476,560
values_175,855
values_591,17248
values_997,343
values_385,4935
values_115,2328
values_653,1727
values_753,37240
values_241,95
values_197,9000
values_636,10735
values_450,10735
values_106,3920
values_699,6112
values_578,1240
values_644,855
values_570,95
values_873,25975
values_33,3055
values_210,19895
values_486,560
values_252,6112
values_694,343
values_759,10735
values_245,33183
values_15,29432
values_792,33183
values_248,3055
values_246,10735
values_556,29432
values_513,9000
values_93,7463
values_558,7463
values_991,6112
values_181,855
values_674,1240
values_652,33183
values_344,9000
values_715,14847
values_528,1727
values_276,4935
values_24,10735
values_296,41615
values_244,12680
values_380,2328
values_25,29432
values_740,41615
values_478,17248
values_379,1240
values_810,40
values_440,855
values_543,7463
values_130,4935
values_225,343
values_285,46320
values_363,95
values_667,9000
values_26,2328
values_793,95
values_772,7463
values_931,7463
values_981,33183
values_422,1240
values_920,37240
values_259,3920
values_477,46320
values_738,560
values_430,14847
values_922,3055
values_903,12680
values_761,14847
values_204,9000
values_48,19895
values_71,3920
values_851,1727
values_347,192
values_725,6112
values_266,9000
values_448,2328
values_934,9000
values_531,37240
values_224,19895
values_686,192
values_927,37240
values_407,7463
values_76,1727
values_949,33183
values_969,10735
values_781,95
values_7,1240
values_683,855
values_376,14847
values_877,40
values_654,37240
values_508,6112
values_332,41615
values_281,37240
values_381,95
values_769,560
values_701,10735
values_855,19895
values_320,9000
values_50,560
values_918,343
values_615,1240
values_704,343
values_633,1727
values_847,17248
values_602,192
values_399,855
values_22,343
values_313,37240
values_375,22800
values_963,9000
values_168,6112
values_226,1240
values_190,17248
values_429,3055
values_236,855
values_777,192
values_909,855
values_438,46320
values_607,2328
values_717,7463
values_782,4935
values_258,7463
values_872,2328
values_637,33183
values_746,10735
values_4,6112
values_345,40
values_102,25975
values_962,192
values_356,33183
values_853,22800
values_849,12680
values_814,17248
values_370,46320
values_778,9000
