id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,4195,1360,12,349.583
values_505,4195,1360,12,349.583
values_924,4188,1357,11,380.727
values_862,4195,1360,12,349.583
values_287,4195,1360,12,349.583
values_733,4195,1360,12,349.583
values_813,4188,1357,11,380.727
values_11,4188,1357,11,380.727
values_19,4188,1357,11,380.727
values_999,4188,1357,11,380.727
values_134,4188,1357,11,380.727
values_609,4195,1360,12,349.583
values_993,4195,1360,12,349.583
values_731,4195,1360,12,349.583
values_127,4188,1357,11,380.727
values_889,4195,1360,12,349.583
values_987,4188,1357,11,380.727
values_780,4188,1357,11,380.727
values_435,4188,1357,11,380.727
values_950,4188,1357,11,380.727
values_976,4188,1357,11,380.727
values_557,4188,1357,11,380.727
values_398,4188,1357,11,380.727
values_892,4188,1357,11,380.727
values_670,4195,1360,12,349.583
values_574,4195,1360,12,349.583
values_163,4188,1357,11,380.727
values_900,4188,1357,11,380.727
values_392,4195,1360,12,349.583
values_447,4188,1357,11,380.727
values_523,4195,1360,12,349.583
values_679,4195,1360,12,349.583
values_419,4195,1360,12,349.583
values_895,4188,1357,11,380.727
values_298,4195,1360,12,349.583
values_155,4195,1360,12,349.583
values_12,4195,1360,12,349.583
values_160,4188,1357,11,380.727
values_626,4188,1357,11,380.727
values_38,4195,1360,12,349.583
values_146,4195,1360,12,349.583
values_81,4195,1360,12,349.583
values_687,4195,1360,12,349.583
values_213,4188,1357,11,380.727
values_212,4195,1360,12,349.583
values_568,4195,1360,12,349.583
values_5,4195,1360,12,349.583
values_40,4188,1357,11,380.727
values_970,4195,1360,12,349.583
values_707,4195,1360,12,349.583
values_406,4195,1360,12,349.583
values_893,4195,1360,12,349.583
values_144,4195,1360,12,349.583
values_979,4195,1360,12,349.583
values_831,4188,1357,11,380.727
values_402,4195,1360,12,349.583
values_404,4195,1360,12,349.583
values_310,4195,1360,12,349.583
values_70,4195,1360,12,349.583
values_268,4188,1357,11,380.727
values_412,4195,1360,12,349.583
values_290,4188,1357,11,380.727
values_916,4188,1357,11,380.727
values_567,4188,1357,11,380.727
values_913,4188,1357,11,380.727
values_232,4195,1360,12,349.583
values_319,4195,1360,12,349.583
values_23,4188,1357,11,380.727
values_899,4195,1360,12,349.583
values_428,4195,1360,12,349.583
values_858,4195,1360,12,349.583
values_546,4195,1360,12,349.583
values_432,4188,1357,11,380.727
values_231,4195,1360,12,349.583
values_388,4188,1357,11,380.727
values_350,4195,1360,12,349.583
values_603,4195,1360,12,349.583
values_364,4195,1360,12,349.583
values_530,4188,1357,11,380.727
values_72,4195,1360,12,349.583
values_536,4195,1360,12,349.583
values_79,4188,1357,11,380.727
values_342,4195,1360,12,349.583
values_803,4195,1360,12,349.583
values_501,4195,1360,12,349.583
values_540,4188,1357,11,380.727
values_955,4188,1357,11,380.727
values_191,4188,1357,11,380.727
values_812,4195,1360,12,349.583
values_545,4195,1360,12,349.583
values_78,4195,1360,12,349.583
values_526,4195,1360,12,349.583
values_695,4195,1360,12,349.583
values_87,4188,1357,11,380.727
values_300,4195,1360,12,349.583
values_964,4188,1357,11,380.727
values_998,4195,1360,12,349.583
values_988,4195,1360,12,349.583
values_6,4188,1357,11,380.727
values_625,4188,1357,11,380.727
values_518,4195,1360,12,349.583
values_122,4195,1360,12,349.583
values_541,4195,1360,12,349.583
values_279,4188,1357,11,380.727
values_256,4195,1360,12,349.583
values_796,4188,1357,11,380.727
values_504,4188,1357,11,380.727
values_752,4195,1360,12,349.583
values_459,4195,1360,12,349.583
values_658,4188,1357,11,380.727
values_408,4195,1360,12,349.583
values_867,4195,1360,12,349.583
values_727,4195,1360,12,349.583
values_177,4188,1357,11,380.727
values_823,4195,1360,12,349.583
values_822,4188,1357,11,380.727
values_218,4195,1360,12,349.583
values_426,4188,1357,11,380.727
values_776,4195,1360,12,349.583
values_143,4195,1360,12,349.583
values_739,4195,1360,12,349.583
values_312,4188,1357,11,380.727
values_174,4188,1357,11,380.727
values_669,4188,1357,11,380.727
values_120,4195,1360,12,349.583
values_974,4195,1360,12,349.583
values_217,4195,1360,12,349.583
values_866,4188,1357,11,380.727
values_192,4195,1360,12,349.583
values_328,4195,1360,12,349.583
values_68,4195,1360,12,349.583
values_387,4188,1357,11,380.727
values_69,4188,1357,11,380.727
values_749,4195,1360,12,349.583
values_135,4195,1360,12,349.583
values_341,4188,1357,11,380.727
values_494,4195,1360,12,349.583
values_1,4188,1357,11,380.727
values_589,4195,1360,12,349.583
values_925,4195,1360,12,349.583
values_524,4188,1357,11,380.727
values_994,4195,1360,12,349.583
values_856,4195,1360,12,349.583
values_156,4188,1357,11,380.727
values_470,4195,1360,12,349.583
values_207,4188,1357,11,380.727
values_655,4195,1360,12,349.583
values_441,4188,1357,11,380.727
values_109,4188,1357,11,380.727
values_45,4188,1357,11,380.727
values_125,4195,1360,12,349.583
values_600,4188,1357,11,380.727
values_708,4188,1357,11,380.727
values_791,4195,1360,12,349.583
values_912,4195,1360,12,349.583
values_533,4188,1357,11,380.727
values_418,4195,1360,12,349.583
values_228,4188,1357,11,380.727
values_585,4195,1360,12,349.583
values_465,4188,1357,11,380.727
values_239,4188,1357,11,380.727
values_842,4188,1357,11,380.727
values_208,4195,1360,12,349.583
values_932,4188,1357,11,380.727
values_957,4188,1357,11,380.727
values_563,4195,1360,12,349.583
values_766,4188,1357,11,380.727
values_476,4195,1360,12,349.583
values_175,4188,1357,11,380.727
values_591,4195,1360,12,349.583
values_997,4195,1360,12,349.583
values_385,4195,1360,12,349.583
values_115,4195,1360,12,349.583
values_653,4195,1360,12,349.583
values_753,4195,1360,12,349.583
values_241,4195,1360,12,349.583
values_197,4188,1357,11,380.727
values_636,4188,1357,11,380.727
values_450,4188,1357,11,380.727
values_106,4195,1360,12,349.583
values_699,4195,1360,12,349.583
values_578,4195,1360,12,349.583
values_644,4195,1360,12,349.583
values_570,4188,1357,11,380.727
values_873,4195,1360,12,349.583
values_33,4195,1360,12,349.583
values_210,4195,1360,12,349.583
values_486,4195,1360,12,349.583
values_252,4188,1357,11,380.727
values_694,4195,1360,12,349.583
values_759,4188,1357,11,380.727
values_245,4188,1357,11,380.727
values_15,4195,1360,12,349.583
values_792,4188,1357,11,380.727
values_248,4188,1357,11,380.727
values_246,4195,1360,12,349.583
values_556,4195,1360,12,349.583
values_513,4188,1357,11,380.727
values_93,4188,1357,11,380.727
values_558,4195,1360,12,349.583
values_991,4195,1360,12,349.583
values_181,4195,1360,12,349.583
values_674,4195,1360,12,349.583
values_652,4188,1357,11,380.727
values_344,4195,1360,12,349.583
values_715,4188,1357,11,380.727
values_528,4195,1360,12,349.583
values_276,4195,1360,12,349.583
values_24,4195,1360,12,349.583
values_296,4188,1357,11,380.727
values_244,4195,1360,12,349.583
values_380,4195,1360,12,349.583
values_25,4188,1357,11,380.727
values_740,4188,1357,11,380.727
values_478,4195,1360,12,349.583
values_379,4195,1360,12,349.583
values_810,4195,1360,12,349.583
values_440,4188,1357,11,380.727
values_543,4188,1357,11,380.727
values_130,4195,1360,12,349.583
values_225,4195,1360,12,349.583
values_285,4195,1360,12,349.583
values_363,4188,1357,11,380.727
values_667,4195,1360,12,349.583
values_26,4188,1357,11,380.727
values_793,4195,1360,12,349.583
values_772,4195,1360,12,349.583
values_931,4195,1360,12,349.583
values_981,4188,1357,11,380.727
values_422,4188,1357,11,380.727
values_920,4188,1357,11,380.727
values_259,4188,1357,11,380.727
values_477,4188,1357,11,380.727
values_738,4195,1360,12,349.583
values_430,4188,1357,11,380.727
values_922,4195,1360,12,349.583
values_903,4188,1357,11,380.727
values_761,4195,1360,12,349.583
values_204,4195,1360,12,349.583
values_48,4188,1357,11,380.727
values_71,4188,1357,11,380.727
values_851,4188,1357,11,380.727
values_347,4195,1360,12,349.583
values_725,4195,1360,12,349.583
values_266,4195,1360,12,349.583
values_448,4195,1360,12,349.583
values_934,4188,1357,11,380.727
values_531,4195,1360,12,349.583
values_224,4195,1360,12,349.583
values_686,4195,1360,12,349.583
values_927,4195,1360,12,349.583
values_407,4195,1360,12,349.583
values_76,4195,1360,12,349.583
values_949,4195,1360,12,349.583
values_969,4195,1360,12,349.583
values_781,4188,1357,11,380.727
values_7,4188,1357,11,380.727
values_683,4195,1360,12,349.583
values_376,4188,1357,11,380.727
values_877,4195,1360,12,349.583
values_654,4188,1357,11,380.727
values_508,4195,1360,12,349.583
values_332,4188,1357,11,380.727
values_281,4195,1360,12,349.583
values_381,4195,1360,12,349.583
values_769,4188,1357,11,380.727
values_701,4195,1360,12,349.583
values_855,4195,1360,12,349.583
values_320,4195,1360,12,349.583
values_50,4195,1360,12,349.583
values_918,4195,1360,12,349.583
values_615,4188,1357,11,380.727
values_704,4188,1357,11,380.727
values_633,4188,1357,11,380.727
values_847,4188,1357,11,380.727
values_602,4195,1360,12,349.583
values_399,4195,1360,12,349.583
values_22,4188,1357,11,380.727
values_313,4195,1360,12,349.583
values_375,4195,1360,12,349.583
values_963,4188,1357,11,380.727
values_168,4188,1357,11,380.727
values_226,4188,1357,11,380.727
values_190,4188,1357,11,380.727
values_429,4195,1360,12,349.583
values_236,4195,1360,12,349.583
values_777,4188,1357,11,380.727
values_909,4195,1360,12,349.583
values_438,4188,1357,11,380.727
values_607,4188,1357,11,380.727
values_717,4188,1357,11,380.727
values_782,4195,1360,12,349.583
values_258,4188,1357,11,380.727
values_872,4195,1360,12,349.583
values_637,4195,1360,12,349.583
values_746,4195,1360,12,349.583
values_4,4195,1360,12,349.583
values_345,4195,1360,12,349.583
values_102,4195,1360,12,349.583
values_962,4188,1357,11,380.727
values_356,4188,1357,11,380.727
values_853,4195,1360,12,349.583
values_849,4195,1360,12,349.583
values_814,4188,1357,11,380.727
values_370,4188,1357,11,380.727
values_778,4195,1360,12,349.583
values_458,4195,1360,12,349.583
values_818,4188,1357,11,380.727
values_119,4195,1360,12,349.583
values_373,4195,1360,12,349.583
values_351,4195,1360,12,349.583
values_32,4188,1357,11,380.727
values_770,4195,1360,12,349.583
values_371,4195,1360,12,349.583
values_283,4195,1360,12,349.583
values_535,4188,1357,11,380.727
values_250,4195,1360,12,349.583
values_132,4195,1360,12,349.583
values_649,4195,1360,12,349.583
values_77,4195,1360,12,349.583
values_260,4188,1357,11,380.727
values_891,4195,1360,12,349.583
values_91,4188,1357,11,380.727
values_137,4195,1360,12,349.583
values_42,4195,1360,12,349.583
values_13,4188,1357,11,380.727
values_577,4195,1360,12,349.583
values_41,4188,1357,11,380.727
values_809,4188,1357,11,380.727
values_414,4195,1360,12,349.583
values_360,4195,1360,12,349.583
values_386,4188,1357,11,380.727
values_158,4188,1357,11,380.727
values_904,4195,1360,12,349.583
values_480,4188,1357,11,380.727
values_647,4195,1360,12,349.583
values_104,4195,1360,12,349.583
values_55,4188,1357,11,380.727
values_491,4195,1360,12,349.583
values_391,4195,1360,12,349.583
values_972,4188,1357,11,380.727
values_571,4188,1357,11,380.727
values_940,4195,1360,12,349.583
values_861,4195,1360,12,349.583
values_324,4195,1360,12,349.583
values_549,4188,1357,11,380.727
values_170,4195,1360,12,349.583
values_269,4188,1357,11,380.727
values_442,4195,1360,12,349.583
values_520,4195,1360,12,349.583
values_455,4195,1360,12,349.583
values_31,4188,1357,11,380.727
values_971,4195,1360,12,349.583
values_397,4195,1360,12,349.583
values_254,4195,1360,12,349.583
values_616,4188,1357,11,380.727
values_66,4188,1357,11,380.727
values_943,4195,1360,12,349.583
values_117,4188,1357,11,380.727
values_451,4188,1357,11,380.727
values_643,4188,1357,11,380.727
values_688,4195,1360,12,349.583
values_569,4195,1360,12,349.583
values_745,4195,1360,12,349.583
values_65,4188,1357,11,380.727
values_980,4188,1357,11,380.727
values_982,4195,1360,12,349.583
values_62,4195,1360,12,349.583
values_789,4188,1357,11,380.727
values_401,4195,1360,12,349.583
values_21,4188,1357,11,380.727
values_598,4195,1360,12,349.583
values_273,4195,1360,12,349.583
values_534,4195,1360,12,349.583
values_118,4195,1360,12,349.583
values_141,4195,1360,12,349.583
values_366,4188,1357,11,380.727
values_222,4195,1360,12,349.583
values_876,4188,1357,11,380.727
values_700,4195,1360,12,349.583
values_95,4195,1360,12,349.583
values_806,4188,1357,11,380.727
values_671,4188,1357,11,380.727
values_816,4188,1357,11,380.727
values_630,4195,1360,12,349.583
values_433,4188,1357,11,380.727
values_905,4188,1357,11,380.727
values_84,4188,1357,11,380.727
values_233,4188,1357,11,380.727
values_664,4195,1360,12,349.583
values_162,4195,1360,12,349.583
values_681,4195,1360,12,349.583
values_542,4195,1360,12,349.583
values_169,4188,1357,11,380.727
values_660,4195,1360,12,349.583
values_488,4188,1357,11,380.727
values_894,4195,1360,12,349.583
values_828,4188,1357,11,380.727
values_537,4188,1357,11,380.727
values_845,4188,1357,11,380.727
values_584,4195,1360,12,349.583
values_457,4195,1360,12,349.583
values_499,4195,1360,12,349.583
values_369,4195,1360,12,349.583
values_58,4195,1360,12,349.583
values_64,4195,1360,12,349.583
values_196,4195,1360,12,349.583
values_462,4188,1357,11,380.727
values_343,4195,1360,12,349.583
values_262,4188,1357,11,380.727
values_966,4195,1360,12,349.583
values_261,4188,1357,11,380.727
values_349,4195,1360,12,349.583
values_263,4195,1360,12,349.583
values_801,4195,1360,12,349.583
values_292,4188,1357,11,380.727
values_786,4195,1360,12,349.583
values_101,4188,1357,11,380.727
values_691,4188,1357,11,380.727
values_926,4195,1360,12,349.583
values_754,4195,1360,12,349.583
values_215,4195,1360,12,349.583
values_977,4195,1360,12,349.583
values_850,4188,1357,11,380.727
values_646,4188,1357,11,380.727
values_628,4188,1357,11,380.727
values_941,4188,1357,11,380.727
values_353,4195,1360,12,349.583
values_690,4195,1360,12,349.583
values_961,4195,1360,12,349.583
values_331,4195,1360,12,349.583
values_377,4188,1357,11,380.727
values_128,4188,1357,11,380.727
values_336,4195,1360,12,349.583
values_632,4188,1357,11,380.727
values_166,4195,1360,12,349.583
values_744,4195,1360,12,349.583
values_837,4195,1360,12,349.583
values_807,4188,1357,11,380.727
values_838,4188,1357,11,380.727
values_723,4195,1360,12,349.583
values_874,4195,1360,12,349.583
values_627,4195,1360,12,349.583
values_555,4195,1360,12,349.583
values_446,4195,1360,12,349.583
values_716,4188,1357,11,380.727
values_240,4195,1360,12,349.583
values_140,4195,1360,12,349.583
values_317,4188,1357,11,380.727
values_83,4195,1360,12,349.583
values_696,4195,1360,12,349.583
values_413,4195,1360,12,349.583
values_94,4195,1360,12,349.583
values_937,4188,1357,11,380.727
values_199,4188,1357,11,380.727
values_596,4195,1360,12,349.583
values_0,4188,1357,11,380.727
values_953,4188,1357,11,380.727
values_906,4195,1360,12,349.583
values_742,4195,1360,12,349.583
values_396,4188,1357,11,380.727
values_159,4195,1360,12,349.583
values_238,4195,1360,12,349.583
values_136,4195,1360,12,349.583
values_915,4195,1360,12,349.583
values_99,4188,1357,11,380.727
values_771,4188,1357,11,380.727
values_96,4188,1357,11,380.727
values_768,4195,1360,12,349.583
values_67,4195,1360,12,349.583
values_565,4195,1360,12,349.583
values_848,4188,1357,11,380.727
values_114,4195,1360,12,349.583
values_61,4188,1357,11,380.727
values_511,4195,1360,12,349.583
values_729,4195,1360,12,349.583
values_460,4195,1360,12,349.583
values_832,4195,1360,12,349.583
values_348,4195,1360,12,349.583
values_182,4188,1357,11,380.727
values_986,4195,1360,12,349.583
values_180,4188,1357,11,380.727
values_930,4195,1360,12,349.583
values_274,4188,1357,11,380.727
values_309,4188,1357,11,380.727
values_496,4195,1360,12,349.583
values_165,4195,1360,12,349.583
values_553,4195,1360,12,349.583
values_870,4195,1360,12,349.583
values_795,4195,1360,12,349.583
values_361,4195,1360,12,349.583
values_302,4195,1360,12,349.583
values_586,4195,1360,12,349.583
values_880,4188,1357,11,380.727
values_665,4195,1360,12,349.583
values_527,4195,1360,12,349.583
values_372,4195,1360,12,349.583
values_382,4195,1360,12,349.583
values_43,4195,1360,12,349.583
values_935,4195,1360,12,349.583
values_2,4188,1357,11,380.727
values_790,4195,1360,12,349.583
values_152,4195,1360,12,349.583
values_871,4195,1360,12,349.583
values_434,4195,1360,12,349.583
values_775,4188,1357,11,380.727
values_500,4195,1360,12,349.583
values_220,4188,1357,11,380.727
values_875,4195,1360,12,349.583
values_249,4195,1360,12,349.583
values_808,4188,1357,11,380.727
values_859,4195,1360,12,349.583
values_539,4195,1360,12,349.583
values_635,4195,1360,12,349.583
values_311,4195,1360,12,349.583
values_183,4188,1357,11,380.727
values_54,4188,1357,11,380.727
values_390,4195,1360,12,349.583
values_890,4195,1360,12,349.583
values_711,4195,1360,12,349.583
values_471,4188,1357,11,380.727
values_995,4195,1360,12,349.583
values_443,4188,1357,11,380.727
values_464,4195,1360,12,349.583
values_774,4188,1357,11,380.727
values_200,4188,1357,11,380.727
values_747,4195,1360,12,349.583
values_758,4188,1357,11,380.727
values_30,4195,1360,12,349.583
values_820,4195,1360,12,349.583
values_393,4188,1357,11,380.727
values_576,4195,1360,12,349.583
values_445,4188,1357,11,380.727
values_662,4188,1357,11,380.727
values_403,4195,1360,12,349.583
values_640,4195,1360,12,349.583
values_59,4195,1360,12,349.583
values_490,4188,1357,11,380.727
values_194,4195,1360,12,349.583
values_751,4195,1360,12,349.583
values_663,4195,1360,12,349.583
values_938,4188,1357,11,380.727
values_532,4195,1360,12,349.583
values_885,4195,1360,12,349.583
values_713,4195,1360,12,349.583
values_193,4195,1360,12,349.583
values_650,4188,1357,11,380.727
values_564,4188,1357,11,380.727
values_267,4195,1360,12,349.583
values_147,4195,1360,12,349.583
values_709,4195,1360,12,349.583
values_857,4195,1360,12,349.583
values_334,4188,1357,11,380.727
values_965,4195,1360,12,349.583
values_824,4195,1360,12,349.583
values_784,4195,1360,12,349.583
values_229,4188,1357,11,380.727
values_538,4195,1360,12,349.583
values_463,4195,1360,12,349.583
values_741,4195,1360,12,349.583
values_85,4195,1360,12,349.583
values_493,4188,1357,11,380.727
values_794,4195,1360,12,349.583
values_202,4195,1360,12,349.583
values_74,4195,1360,12,349.583
values_410,4188,1357,11,380.727
values_469,4195,1360,12,349.583
values_394,4188,1357,11,380.727
values_149,4188,1357,11,380.727
values_945,4195,1360,12,349.583
values_293,4188,1357,11,380.727
values_456,4195,1360,12,349.583
values_975,4188,1357,11,380.727
values_547,4195,1360,12,349.583
values_164,4188,1357,11,380.727
values_720,4195,1360,12,349.583
values_833,4195,1360,12,349.583
values_90,4188,1357,11,380.727
values_954,4195,1360,12,349.583
values_483,4195,1360,12,349.583
values_990,4188,1357,11,380.727
values_113,4195,1360,12,349.583
values_878,4195,1360,12,349.583
values_942,4188,1357,11,380.727
values_126,4188,1357,11,380.727
values_666,4188,1357,11,380.727
values_960,4195,1360,12,349.583
values_783,4188,1357,11,380.727
values_735,4188,1357,11,380.727
values_439,4188,1357,11,380.727
values_860,4195,1360,12,349.583
values_18,4195,1360,12,349.583
values_173,4188,1357,11,380.727
values_454,4188,1357,11,380.727
values_176,4195,1360,12,349.583
values_698,4195,1360,12,349.583
values_869,4195,1360,12,349.583
values_697,4188,1357,11,380.727
values_509,4195,1360,12,349.583
values_189,4188,1357,11,380.727
values_714,4195,1360,12,349.583
values_270,4188,1357,11,380.727
values_863,4188,1357,11,380.727
values_548,4188,1357,11,380.727
values_359,4195,1360,12,349.583
values_512,4195,1360,12,349.583
values_656,4188,1357,11,380.727
values_684,4195,1360,12,349.583
values_171,4195,1360,12,349.583
values_675,4195,1360,12,349.583
