id,clockCycles,assemblyInstr
values_242,4195,1360
values_505,4195,1360
values_924,4188,1357
values_862,4195,1360
values_287,4195,1360
values_733,4195,1360
values_813,4188,1357
values_11,4188,1357
values_19,4188,1357
values_999,4188,1357
values_134,4188,1357
values_609,4195,1360
values_993,4195,1360
values_731,4195,1360
values_127,4188,1357
values_889,4195,1360
values_987,4188,1357
values_780,4188,1357
values_435,4188,1357
values_950,4188,1357
values_976,4188,1357
values_557,4188,1357
values_398,4188,1357
values_892,4188,1357
values_670,4195,1360
values_574,4195,1360
values_163,4188,1357
values_900,4188,1357
values_392,4195,1360
values_447,4188,1357
values_523,4195,1360
values_679,4195,1360
values_419,4195,1360
values_895,4188,1357
values_298,4195,1360
values_155,4195,1360
values_12,4195,1360
values_160,4188,1357
values_626,4188,1357
values_38,4195,1360
values_146,4195,1360
values_81,4195,1360
values_687,4195,1360
values_213,4188,1357
values_212,4195,1360
values_568,4195,1360
values_5,4195,1360
values_40,4188,1357
values_970,4195,1360
values_707,4195,1360
values_406,4195,1360
values_893,4195,1360
values_144,4195,1360
values_979,4195,1360
values_831,4188,1357
values_402,4195,1360
values_404,4195,1360
values_310,4195,1360
values_70,4195,1360
values_268,4188,1357
values_412,4195,1360
values_290,4188,1357
values_916,4188,1357
values_567,4188,1357
values_913,4188,1357
values_232,4195,1360
values_319,4195,1360
values_23,4188,1357
values_899,4195,1360
values_428,4195,1360
values_858,4195,1360
values_546,4195,1360
values_432,4188,1357
values_231,4195,1360
values_388,4188,1357
values_350,4195,1360
values_603,4195,1360
values_364,4195,1360
values_530,4188,1357
values_72,4195,1360
values_536,4195,1360
values_79,4188,1357
values_342,4195,1360
values_803,4195,1360
values_501,4195,1360
values_540,4188,1357
values_955,4188,1357
values_191,4188,1357
values_812,4195,1360
values_545,4195,1360
values_78,4195,1360
values_526,4195,1360
values_695,4195,1360
values_87,4188,1357
values_300,4195,1360
values_964,4188,1357
values_998,4195,1360
values_988,4195,1360
values_6,4188,1357
values_625,4188,1357
values_518,4195,1360
values_122,4195,1360
values_541,4195,1360
values_279,4188,1357
values_256,4195,1360
values_796,4188,1357
values_504,4188,1357
values_752,4195,1360
values_459,4195,1360
values_658,4188,1357
values_408,4195,1360
values_867,4195,1360
values_727,4195,1360
values_177,4188,1357
values_823,4195,1360
values_822,4188,1357
values_218,4195,1360
values_426,4188,1357
values_776,4195,1360
values_143,4195,1360
values_739,4195,1360
values_312,4188,1357
values_174,4188,1357
values_669,4188,1357
values_120,4195,1360
values_974,4195,1360
values_217,4195,1360
values_866,4188,1357
values_192,4195,1360
values_328,4195,1360
values_68,4195,1360
values_387,4188,1357
values_69,4188,1357
values_749,4195,1360
values_135,4195,1360
values_341,4188,1357
values_494,4195,1360
values_1,4188,1357
values_589,4195,1360
values_925,4195,1360
values_524,4188,1357
values_994,4195,1360
values_856,4195,1360
values_156,4188,1357
values_470,4195,1360
values_207,4188,1357
values_655,4195,1360
values_441,4188,1357
values_109,4188,1357
values_45,4188,1357
values_125,4195,1360
values_600,4188,1357
values_708,4188,1357
values_791,4195,1360
values_912,4195,1360
values_533,4188,1357
values_418,4195,1360
values_228,4188,1357
values_585,4195,1360
values_465,4188,1357
values_239,4188,1357
values_842,4188,1357
values_208,4195,1360
values_932,4188,1357
values_957,4188,1357
values_563,4195,1360
values_766,4188,1357
values_476,4195,1360
values_175,4188,1357
values_591,4195,1360
values_997,4195,1360
values_385,4195,1360
values_115,4195,1360
values_653,4195,1360
values_753,4195,1360
values_241,4195,1360
values_197,4188,1357
values_636,4188,1357
values_450,4188,1357
values_106,4195,1360
values_699,4195,1360
values_578,4195,1360
values_644,4195,1360
values_570,4188,1357
values_873,4195,1360
