inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,33,105,28,326,61,1933.42,119630.39,0.02,61.88,6646.13,0.81
values_505,33,124,45,377,78,2369.60,107737.66,0.02,45.47,5985.43,0.75
values_924,33,130,52,387,85,2480.43,102317.91,0.02,41.25,5684.33,0.73
values_862,33,104,27,322,60,1902.02,120883.86,0.02,63.56,6715.77,0.81
values_287,33,127,50,380,83,2422.51,101527.60,0.02,41.91,5640.42,0.73
values_733,33,126,46,374,79,2357.61,106553.90,0.02,45.20,5919.66,0.75
values_813,33,125,44,375,77,2350.04,110158.36,0.02,46.88,6119.91,0.77
values_11,33,106,29,326,62,1941.07,117066.48,0.02,60.31,6503.69,0.80
values_19,33,114,36,350,69,2137.98,111709.64,0.02,52.25,6206.09,0.77
values_999,33,127,48,382,81,2421.82,105727.70,0.02,43.66,5873.76,0.75
values_134,33,104,27,322,60,1902.02,120883.86,0.02,63.56,6715.77,0.81
values_609,33,119,40,360,73,2228.34,109383.48,0.02,49.09,6076.86,0.76
values_993,33,128,50,383,83,2441.64,103134.88,0.02,42.24,5729.72,0.73
values_731,33,120,42,363,75,2261.06,106592.88,0.02,47.14,5921.83,0.75
values_127,33,107,30,329,63,1966.53,115730.00,0.02,58.85,6429.44,0.79
values_889,33,128,49,383,82,2434.94,104950.99,0.02,43.10,5830.61,0.74
values_987,33,129,48,383,81,2428.16,107673.83,0.02,44.34,5981.88,0.75
values_780,33,121,41,364,74,2260.24,110062.71,0.02,48.70,6114.60,0.77
values_435,33,129,49,383,82,2434.94,105770.92,0.02,43.44,5876.16,0.75
values_950,33,105,28,327,61,1939.35,119997.35,0.02,61.88,6666.52,0.81
values_976,33,120,42,361,75,2248.60,106005.60,0.02,47.14,5889.20,0.75
values_557,33,118,39,355,72,2190.32,109347.68,0.02,49.92,6074.87,0.76
values_398,33,116,37,351,70,2151.38,111290.22,0.02,51.73,6182.79,0.77
values_892,33,128,49,384,82,2441.30,105225.01,0.02,43.10,5845.83,0.74
values_670,33,104,27,322,60,1902.02,120883.86,0.02,63.56,6715.77,0.81
values_574,33,128,46,379,79,2389.13,109692.36,0.02,45.91,6094.02,0.76
values_163,33,116,39,353,72,2177.98,106888.73,0.02,49.08,5938.26,0.75
values_900,33,130,52,385,85,2467.62,101789.14,0.02,41.25,5654.95,0.73
values_392,33,130,50,388,83,2473.52,106113.81,0.02,42.90,5895.21,0.75
values_447,33,124,45,368,78,2313.03,105165.67,0.02,45.47,5842.54,0.74
values_523,33,107,30,328,63,1960.55,115378.24,0.02,58.85,6409.90,0.79
values_679,33,115,38,347,71,2133.96,106557.72,0.02,49.93,5919.87,0.75
values_419,33,104,27,323,60,1907.93,121259.28,0.02,63.56,6736.63,0.82
