id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,5404,2274,92,58.739
values_505,28277,14586,977,28.943
values_924,27063,13714,927,29.194
values_862,10120,4857,288,35.139
values_287,4493,1634,39,115.205
values_733,4762,1821,57,83.544
values_813,8472,3972,226,37.487
values_11,21235,10428,693,30.642
values_19,5776,2546,112,51.571
values_999,6952,3185,159,43.723
values_134,15752,7640,492,32.016
values_609,12173,5876,363,33.534
values_993,13435,6445,410,32.768
values_731,16777,8270,529,31.715
values_127,5067,2033,74,68.473
values_889,18235,8971,588,31.012
values_987,22804,11194,744,30.651
values_780,21534,10414,686,31.391
values_435,4293,1490,29,148.034
values_950,7656,3564,192,39.875
values_976,12100,5878,364,33.242
values_557,7614,3556,188,40.500
values_398,15840,7640,492,32.195
values_892,18480,8963,584,31.644
values_670,5788,2554,116,49.897
values_574,9200,4389,251,36.653
values_163,7709,3566,193,39.943
values_900,11114,5346,322,34.516
values_392,12147,5872,361,33.648
values_447,6972,3193,163,42.773
values_523,13171,6429,402,32.764
values_679,4762,1821,57,83.544
values_419,11116,5350,324,34.309
values_895,4770,1821,57,83.684
values_298,16680,8272,530,31.472
values_155,10296,4879,299,34.435
values_12,21208,10438,698,30.384
values_160,17013,8310,549,30.989
values_626,17072,8310,549,31.097
values_38,24466,12011,807,30.317
values_146,27896,14612,990,28.178
values_81,8396,3956,218,38.514
values_687,10151,4853,286,35.493
values_213,25615,12819,852,30.065
values_212,11137,5364,331,33.647
values_568,19507,9673,634,30.768
values_5,11197,5372,335,33.424
values_40,15762,7640,492,32.037
values_970,24234,11995,799,30.330
values_707,15904,7652,498,31.936
values_406,26937,13710,925,29.121
values_893,8405,3962,221,38.032
values_144,19659,9681,638,30.813
values_979,7020,3201,167,42.036
values_831,21271,10428,693,30.694
values_402,4756,1817,55,86.473
values_404,18392,8973,589,31.226
values_310,5056,2031,73,69.260
values_70,18191,8963,584,31.149
values_268,9258,4385,249,37.181
values_412,18345,8983,594,30.884
values_290,4136,1371,18,229.778
values_916,4773,1823,58,82.293
values_567,5808,2554,116,50.069
values_913,7656,3568,194,39.464
values_232,5065,2037,76,66.645
values_319,9276,4397,255,36.376
values_23,4312,1490,29,148.690
values_899,5808,2556,117,49.641
values_428,25703,12819,852,30.168
values_858,4507,1642,43,104.814
values_546,6982,3197,165,42.315
values_432,5808,2554,116,50.069
values_231,4136,1371,18,229.778
values_388,19591,9665,630,31.097
values_350,4512,1640,42,107.429
values_603,20788,10410,684,30.392
values_364,13132,6427,401,32.748
values_530,16996,8280,534,31.828
values_72,15456,7636,490,31.543
values_536,18241,8967,586,31.128
values_79,5056,2029,72,70.222
values_342,13225,6429,402,32.898
values_803,15532,7628,486,31.959
values_501,19692,9695,645,30.530
values_540,22481,11184,739,30.421
values_955,25805,12847,866,29.798
values_191,5776,2546,112,51.571
values_812,22758,11198,746,30.507
values_545,4498,1636,40,112.450
values_78,22950,11204,749,30.641
values_526,15589,7642,493,31.621
values_695,10174,4863,291,34.962
values_87,24235,12017,810,29.920
values_300,5393,2272,91,59.264
values_964,10277,4865,292,35.195
values_998,12281,5884,367,33.463
values_988,5393,2272,91,59.264
values_6,5059,2033,74,68.365
values_625,11184,5350,324,34.519
values_518,4509,1638,41,109.976
values_122,4136,1369,17,243.294
values_541,14520,7021,447,32.483
values_279,16913,8286,537,31.495
values_256,5413,2280,95,56.979
values_796,7014,3197,165,42.509
values_504,28456,14604,986,28.860
values_752,13464,6435,405,33.244
values_459,25298,12837,861,29.382
values_658,9263,4399,256,36.184
values_408,4764,1817,55,86.618
values_867,22561,11190,742,30.406
values_727,4762,1821,57,83.544
values_177,6966,3197,165,42.218
values_823,18509,8975,590,31.371
values_822,5408,2282,96,56.333
values_218,19775,9681,638,30.995
values_426,16984,8282,535,31.746
values_776,13316,6435,405,32.879
values_143,16733,8278,533,31.394
values_739,4136,1371,18,229.778
values_312,13464,6445,410,32.839
values_174,4512,1640,42,107.429
values_669,4293,1490,29,148.034
values_120,22665,11192,743,30.505
values_974,28191,14574,971,29.033
values_217,5056,2031,73,69.260
values_866,5065,2037,76,66.645
values_192,5405,2280,95,56.895
values_328,28269,14610,989,28.583
values_68,4509,1638,41,109.976
values_387,6975,3203,168,41.518
values_69,7011,3195,164,42.750
values_749,4290,1488,28,153.214
values_135,10296,4859,289,35.626
values_341,4759,1819,56,84.982
values_494,5788,2554,116,49.897
values_1,4767,1819,56,85.125
values_589,4770,1821,57,83.684
values_925,24024,12017,810,29.659
values_524,15442,7632,488,31.643
values_994,11968,5878,364,32.879
values_856,14404,7021,447,32.224
values_156,11182,5346,322,34.727
values_470,11264,5352,325,34.658
values_207,5808,2554,116,50.069
values_655,10264,4875,297,34.559
values_441,28424,14594,981,28.975
values_109,26664,13716,928,28.733
values_45,10320,4875,297,34.747
values_125,13254,6431,403,32.888
values_600,4285,1486,27,158.704
values_708,6966,3197,165,42.218
values_791,25351,12835,860,29.478
values_912,15442,7632,488,31.643
values_533,5402,2278,94,57.468
values_418,6344,2863,141,44.993
values_228,4136,1369,17,243.294
values_585,22739,11188,741,30.687
values_465,25608,12831,858,29.846
values_239,12232,5886,368,33.239
values_842,18216,8977,591,30.822
values_208,19921,9685,640,31.127
values_932,8557,3974,227,37.696
values_957,5059,2033,74,68.365
values_563,22880,11210,752,30.426
values_766,4498,1636,40,112.450
values_476,4285,1486,27,158.704
