id,clockCycles,assemblyInstr
values_242,5404,2274
values_505,28277,14586
values_924,27063,13714
values_862,10120,4857
values_287,4493,1634
values_733,4762,1821
values_813,8472,3972
values_11,21235,10428
values_19,5776,2546
values_999,6952,3185
values_134,15752,7640
values_609,12173,5876
values_993,13435,6445
values_731,16777,8270
values_127,5067,2033
values_889,18235,8971
values_987,22804,11194
values_780,21534,10414
values_435,4293,1490
values_950,7656,3564
values_976,12100,5878
values_557,7614,3556
values_398,15840,7640
values_892,18480,8963
values_670,5788,2554
values_574,9200,4389
values_163,7709,3566
values_900,11114,5346
values_392,12147,5872
values_447,6972,3193
values_523,13171,6429
values_679,4762,1821
values_419,11116,5350
values_895,4770,1821
values_298,16680,8272
values_155,10296,4879
values_12,21208,10438
values_160,17013,8310
values_626,17072,8310
values_38,24466,12011
values_146,27896,14612
values_81,8396,3956
values_687,10151,4853
values_213,25615,12819
values_212,11137,5364
values_568,19507,9673
values_5,11197,5372
values_40,15762,7640
values_970,24234,11995
values_707,15904,7652
values_406,26937,13710
values_893,8405,3962
values_144,19659,9681
values_979,7020,3201
values_831,21271,10428
values_402,4756,1817
values_404,18392,8973
values_310,5056,2031
values_70,18191,8963
values_268,9258,4385
values_412,18345,8983
values_290,4136,1371
values_916,4773,1823
values_567,5808,2554
values_913,7656,3568
values_232,5065,2037
values_319,9276,4397
values_23,4312,1490
values_899,5808,2556
values_428,25703,12819
values_858,4507,1642
values_546,6982,3197
values_432,5808,2554
values_231,4136,1371
values_388,19591,9665
values_350,4512,1640
values_603,20788,10410
values_364,13132,6427
values_530,16996,8280
values_72,15456,7636
values_536,18241,8967
values_79,5056,2029
values_342,13225,6429
values_803,15532,7628
values_501,19692,9695
values_540,22481,11184
values_955,25805,12847
values_191,5776,2546
values_812,22758,11198
values_545,4498,1636
values_78,22950,11204
values_526,15589,7642
values_695,10174,4863
values_87,24235,12017
values_300,5393,2272
values_964,10277,4865
values_998,12281,5884
values_988,5393,2272
values_6,5059,2033
values_625,11184,5350
values_518,4509,1638
values_122,4136,1369
values_541,14520,7021
values_279,16913,8286
values_256,5413,2280
values_796,7014,3197
values_504,28456,14604
values_752,13464,6435
values_459,25298,12837
values_658,9263,4399
values_408,4764,1817
values_867,22561,11190
values_727,4762,1821
values_177,6966,3197
values_823,18509,8975
values_822,5408,2282
values_218,19775,9681
values_426,16984,8282
values_776,13316,6435
values_143,16733,8278
values_739,4136,1371
values_312,13464,6445
values_174,4512,1640
values_669,4293,1490
values_120,22665,11192
values_974,28191,14574
values_217,5056,2031
values_866,5065,2037
values_192,5405,2280
values_328,28269,14610
values_68,4509,1638
values_387,6975,3203
values_69,7011,3195
values_749,4290,1488
values_135,10296,4859
values_341,4759,1819
values_494,5788,2554
values_1,4767,1819
values_589,4770,1821
values_925,24024,12017
values_524,15442,7632
values_994,11968,5878
