id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,5368,1943,35,153.371
values_505,7050,3396,74,95.270
values_924,43100,32775,887,48.591
values_862,6089,2608,54,112.759
values_287,5026,1763,26,193.308
values_733,25109,18061,494,50.828
values_813,26312,18766,558,47.154
values_11,5026,1763,26,193.308
values_19,5026,1763,26,193.308
values_999,7050,3396,74,95.270
values_134,5026,1763,26,193.308
values_609,6431,2788,63,102.079
values_993,10208,5886,158,64.608
values_731,35376,26436,707,50.037
values_127,8597,4524,107,80.346
values_889,7402,3588,83,89.181
values_987,42400,32181,863,49.131
values_780,40630,30944,807,50.347
values_435,14837,9630,251,59.112
values_950,5912,2380,47,125.787
values_976,5368,1943,35,153.371
values_557,7365,3537,98,75.153
values_398,5560,2188,38,146.316
values_892,8597,4524,107,80.346
values_670,31649,23295,651,48.616
values_574,42016,31983,854,49.199
values_163,30837,22719,626,49.260
values_900,8229,4326,98,83.969
values_392,21164,15002,378,55.989
values_447,17688,12022,311,56.875
values_523,21783,15410,395,55.147
values_679,5644,2152,46,122.696
values_419,23525,16736,443,53.104
values_895,8597,4524,107,80.346
values_298,9829,5563,143,68.734
values_155,21540,15206,387,55.659
values_12,6089,2608,54,112.759
values_160,9309,5118,131,71.061
values_626,39896,30332,783,50.953
values_38,27104,19306,583,46.491
values_146,5939,2401,58,102.397
values_81,12147,7537,194,62.613
values_687,12499,7729,203,61.571
values_213,9829,5563,143,68.734
values_212,8833,4722,115,76.809
values_568,5560,2188,38,146.316
values_5,7050,3396,74,95.270
values_40,21540,15206,387,55.659
values_970,35009,26238,698,50.156
values_707,8229,4326,98,83.969
values_406,21540,15206,387,55.659
values_893,35376,26436,707,50.037
values_144,31189,22911,635,49.117
values_979,40392,30740,799,50.553
values_831,30837,22719,626,49.260
values_402,25109,18061,494,50.828
values_404,25109,18061,494,50.828
values_310,25696,18445,511,50.286
values_70,16562,11206,278,59.576
values_268,21540,15206,387,55.659
values_412,8229,4326,98,83.969
values_290,18684,12781,335,55.773
values_916,23525,16736,443,53.104
values_567,8229,4326,98,83.969
values_913,10208,5886,158,64.608
values_232,5026,1763,26,193.308
values_319,6664,2985,74,90.054
values_23,18920,12979,343,55.160
values_899,10523,6139,167,63.012
values_428,25109,18061,494,50.828
values_858,30837,22719,626,49.260
values_546,42016,31983,854,49.199
values_432,25921,18637,519,49.944
values_231,31897,23487,659,48.402
values_388,17424,11818,303,57.505
values_350,5026,1763,26,193.308
values_603,10208,5886,158,64.608
values_364,42016,31983,854,49.199
values_530,6664,2985,74,90.054
values_72,5026,1763,26,193.308
values_536,39520,30128,774,51.059
values_79,7050,3396,74,95.270
values_342,30837,22719,626,49.260
values_803,6649,2968,71,93.648
values_501,6430,2793,66,97.424
values_540,23997,17132,459,52.281
values_955,10208,5886,158,64.608
values_191,12729,7921,211,60.327
values_812,6649,2968,71,93.648
values_545,15559,10224,275,56.578
values_78,8624,4577,126,68.444
values_526,18316,12583,326,56.184
values_695,35605,26634,715,49.797
values_87,8229,4326,98,83.969
values_300,5368,1943,35,153.371
values_964,25109,18061,494,50.828
values_998,16562,11206,278,59.576
values_988,16938,11410,287,59.017
values_6,17180,11614,295,58.237
values_625,23157,16538,434,53.357
values_518,8833,4722,115,76.809
values_122,5026,1763,26,193.308
values_541,7632,3780,91,83.868
values_279,39520,30128,774,51.059
values_256,5912,2380,47,125.787
values_796,12147,7537,194,62.613
values_504,6089,2608,54,112.759
values_752,8229,4326,98,83.969
values_459,30837,22719,626,49.260
values_658,21164,15002,378,55.989
values_408,7050,3396,74,95.270
values_867,23525,16736,443,53.104
values_727,39520,30128,774,51.059
values_177,39520,30128,774,51.059
values_823,42400,32181,863,49.131
values_822,5862,2332,54,108.556
values_218,8833,4722,115,76.809
values_426,23157,16538,434,53.357
values_776,5368,1943,35,153.371
values_143,9247,5179,126,73.389
values_739,30837,22719,626,49.260
values_312,25461,18253,503,50.618
values_174,30837,22719,626,49.260
values_669,6089,2608,54,112.759
values_120,21540,15206,387,55.659
values_974,25109,18061,494,50.828
values_217,6142,2572,55,111.673
values_866,6142,2572,55,111.673
values_192,10059,5755,151,66.616
values_328,36088,27030,731,49.368
values_68,17180,11614,295,58.237
values_387,35009,26238,698,50.156
values_69,6089,2608,54,112.759
values_749,9599,5371,135,71.104
values_135,39520,30128,774,51.059
values_341,26312,18766,558,47.154
values_494,30837,22719,626,49.260
values_1,10973,6426,183,59.962
values_589,7050,3396,74,95.270
values_925,16938,11410,287,59.017
values_524,6089,2608,54,112.759
values_994,10208,5886,158,64.608
values_856,12147,7537,194,62.613
values_156,42016,31983,854,49.199
values_470,5912,2380,47,125.787
values_207,5912,2380,47,125.787
values_655,27544,19666,599,45.983
values_441,15559,10224,275,56.578
values_109,35009,26238,698,50.156
values_45,26312,18766,558,47.154
values_125,39896,30332,783,50.953
values_600,39520,30128,774,51.059
values_708,8833,4722,115,76.809
values_791,7050,3396,74,95.270
values_912,5644,2152,46,122.696
values_533,12147,7537,194,62.613
values_418,14233,9234,234,60.825
values_228,25109,18061,494,50.828
values_585,16562,11206,278,59.576
values_465,5026,1763,26,193.308
values_239,18684,12781,335,55.773
values_842,12499,7729,203,61.571
values_208,23157,16538,434,53.357
values_932,25461,18253,503,50.618
values_957,23157,16538,434,53.357
values_563,5368,1943,35,153.371
values_766,12499,7729,203,61.571
values_476,14608,9432,243,60.115
values_175,9247,5179,126,73.389
values_591,26312,18766,558,47.154
values_997,6431,2788,63,102.079
values_385,14233,9234,234,60.825
values_115,12147,7537,194,62.613
values_653,31649,23295,651,48.616
values_753,5644,2152,46,122.696
values_241,39896,30332,783,50.953
values_197,10208,5886,158,64.608
values_636,18684,12781,335,55.773
values_450,16562,11206,278,59.576
values_106,10973,6426,183,59.962
values_699,31419,23103,643,48.863
values_578,5560,2188,38,146.316
values_644,18684,12781,335,55.773
values_570,30837,22719,626,49.260
values_873,14233,9234,234,60.825
values_33,7402,3588,83,89.181
values_210,39520,30128,774,51.059
values_486,21783,15410,395,55.147
values_252,16562,11206,278,59.576
values_694,25109,18061,494,50.828
values_759,23761,16934,451,52.685
values_245,14233,9234,234,60.825
values_15,14233,9234,234,60.825
values_792,31189,22911,635,49.117
values_248,18316,12583,326,56.184
values_246,12959,8113,219,59.174
values_556,31189,22911,635,49.117
values_513,6142,2572,55,111.673
values_93,39520,30128,774,51.059
values_558,43572,33171,903,48.252
values_991,5026,1763,26,193.308
values_181,10755,6246,175,61.457
values_674,26664,18946,567,47.026
values_652,10537,6066,167,63.096
values_344,35009,26238,698,50.156
values_715,8597,4524,107,80.346
values_528,14837,9630,251,59.112
values_276,30837,22719,626,49.260
values_24,31189,22911,635,49.117
values_296,35376,26436,707,50.037
values_244,12499,7729,203,61.571
values_380,10755,6246,175,61.457
values_25,10208,5886,158,64.608
values_740,8597,4524,107,80.346
values_478,7402,3588,83,89.181
values_379,8597,4524,107,80.346
values_810,9599,5371,135,71.104
values_440,8597,4524,107,80.346
values_543,25109,18061,494,50.828
values_130,12147,7537,194,62.613
values_225,26312,18766,558,47.154
values_285,5368,1943,35,153.371
values_363,12147,7537,194,62.613
values_667,39520,30128,774,51.059
values_26,6142,2572,55,111.673
values_793,25109,18061,494,50.828
values_772,26312,18766,558,47.154
values_931,23157,16538,434,53.357
values_981,30837,22719,626,49.260
values_422,8229,4326,98,83.969
values_920,21540,15206,387,55.659
values_259,6431,2788,63,102.079
values_477,5912,2380,47,125.787
values_738,5912,2380,47,125.787
values_430,8844,4769,134,66.000
values_922,9247,5179,126,73.389
values_903,25696,18445,511,50.286
values_761,15073,9828,259,58.197
values_204,8229,4326,98,83.969
values_48,25461,18253,503,50.618
values_71,12729,7921,211,60.327
values_851,6649,2968,71,93.648
values_347,9545,5316,139,68.669
values_725,10208,5886,158,64.608
values_266,12147,7537,194,62.613
values_448,25461,18253,503,50.618
values_934,35376,26436,707,50.037
values_531,31189,22911,635,49.117
values_224,16562,11206,278,59.576
values_686,39896,30332,783,50.953
values_927,21164,15002,378,55.989
values_407,35009,26238,698,50.156
values_76,25461,18253,503,50.618
values_949,42620,32379,871,48.932
values_969,12729,7921,211,60.327
values_781,35009,26238,698,50.156
values_7,5026,1763,26,193.308
values_683,12147,7537,194,62.613
values_376,5912,2380,47,125.787
values_877,14608,9432,243,60.115
values_654,6089,2608,54,112.759
values_508,12499,7729,203,61.571
values_332,42016,31983,854,49.199
values_281,25109,18061,494,50.828
values_381,14837,9630,251,59.112
values_769,8096,4164,107,75.664
values_701,18316,12583,326,56.184
values_855,10537,6066,167,63.096
values_320,12147,7537,194,62.613
values_50,39520,30128,774,51.059
values_918,35009,26238,698,50.156
values_615,18316,12583,326,56.184
values_704,18316,12583,326,56.184
values_633,18316,12583,326,56.184
values_847,6089,2608,54,112.759
values_602,8229,4326,98,83.969
values_399,35605,26634,715,49.797
values_22,18316,12583,326,56.184
values_313,23157,16538,434,53.357
