id,clockCycles,assemblyInstr,cInstr,cc4cs
values_242,28268,20260,699,40.441
values_505,50577,38549,1292,39.146
values_924,19386,12863,477,40.642
values_862,49305,37461,1288,38.280
values_287,19921,13306,480,41.502
values_733,104379,82864,2752,37.928
values_813,147692,118595,3876,38.104
values_11,68962,53340,1854,37.196
values_19,19644,13077,478,41.096
values_999,6174,2437,83,74.386
values_134,28977,20872,704,41.161
values_609,147955,118829,3868,38.251
values_993,146150,117277,3857,37.892
values_731,169166,136184,4472,37.828
values_127,177282,142262,4797,36.957
values_889,79119,61919,2067,38.277
values_987,55483,42369,1469,37.769
values_780,58784,44553,1651,35.605
values_435,7808,3575,121,64.529
values_950,23876,16626,582,41.024
values_976,6174,2437,83,74.386
values_557,77021,60162,2056,37.462
values_398,9028,4614,167,54.060
values_892,170546,137399,4474,38.119
values_670,6174,2437,83,74.386
values_574,58492,44317,1652,35.407
values_163,28215,20221,698,40.423
values_900,170517,137355,4469,38.156
values_392,7656,3517,120,63.800
values_447,77198,60314,2056,37.548
values_523,7444,3383,119,62.555
values_679,33797,24838,829,40.768
values_419,11306,6401,227,49.806
values_895,105072,83448,2762,38.042
values_298,16642,10737,381,43.680
values_155,28631,20577,704,40.669
values_12,158524,128016,4146,38.235
values_160,68419,52903,1857,36.844
values_626,17191,11210,385,44.652
values_38,28459,20430,702,40.540
values_146,13833,8464,298,46.419
values_81,177772,142679,4805,36.997
values_687,7656,3517,120,63.800
values_213,6383,2501,84,75.988
values_212,147224,118180,3857,38.171
values_568,59614,45240,1658,35.955
values_5,131980,105156,3570,36.969
values_40,132497,105584,3572,37.093
values_970,146554,117596,3862,37.948
values_707,7568,3447,119,63.597
values_406,33583,24664,828,40.559
values_893,117149,93873,3018,38.817
values_144,38256,28443,972,39.358
values_979,9265,4732,169,54.822
values_831,103424,82043,2742,37.718
values_402,89028,70313,2287,38.928
values_404,177795,142687,4809,36.971
values_310,38896,28974,977,39.812
values_70,133463,106432,3577,37.311
values_268,179055,143731,4800,37.303
values_412,125400,100169,3275,38.290
values_290,7808,3575,121,64.529
values_916,44345,33491,1122,39.523
values_567,105072,83446,2764,38.014
values_913,9180,4659,169,54.320
values_232,11441,6517,227,50.401
values_319,16544,10645,379,43.652
values_23,7723,3587,121,63.826
values_899,163960,132641,4166,39.357
values_428,160342,129562,4155,38.590
values_858,60587,46062,1666,36.367
