id,clockCycles,assemblyInstr
values_242,5345,2086
values_505,5069,1903
values_1006,5368,2099
values_924,4351,1477
values_862,5260,2031
values_287,5368,2099
values_733,5584,2252
values_813,5156,1953
values_11,5192,1965
values_19,5192,1969
values_999,5493,2192
values_134,5077,1897
values_609,4870,1758
values_993,5493,2192
values_731,5368,2095
values_127,5343,2088
values_889,4951,1808
values_987,4600,1571
values_780,5172,1965
values_435,5262,2033
values_950,4817,1720
values_976,4732,1662
values_557,5211,1993
values_398,4799,1716
values_892,5152,1953
values_670,4876,1756
values_574,5215,1993
values_163,4600,1571
values_900,4225,1384
values_392,4807,1714
values_447,5260,2031
values_523,5280,2039
values_679,5152,1953
values_419,5258,2029
values_895,4947,1808
values_298,5300,2062
values_155,5081,1901
values_12,5192,1967
values_160,4724,1664
values_626,4870,1758
values_38,5351,2091
values_146,5077,1897
values_81,5339,2083
values_687,5077,1901
values_213,5493,2192
values_212,5491,2190
values_568,5258,2029
values_5,5192,1967
values_40,5562,2234
values_970,4600,1571
values_707,5495,2190
values_406,4732,1662
values_893,4951,1808
values_144,5075,1899
values_979,4592,1569
values_831,5148,1955
values_402,4732,1662
values_404,4730,1660
values_310,5192,1967
values_70,5280,2039
values_268,5493,2192
values_1018,5368,2101
values_412,4807,1714
values_290,5174,1967
values_916,4225,1384
values_567,5215,1993
values_913,4225,1384
values_232,5213,1995
values_319,5192,1967
values_23,5192,1965
values_899,4225,1384
values_428,5280,2033
values_858,5260,2031
values_546,5211,1993
values_432,5215,1993
values_231,5213,1995
values_388,4805,1712
values_350,5280,2039
values_603,4937,1802
values_364,5339,2083
values_530,5280,2039
values_72,5469,2176
values_536,5280,2037
values_79,5406,2128
values_342,5280,2039
values_803,5148,1955
values_501,5069,1903
values_540,5404,2130
values_955,4817,1720
values_191,4730,1660
values_812,5156,1953
values_545,5347,2088
values_78,5339,2083
values_526,5280,2039
values_695,4939,1806
values_87,5280,2039
values_300,5174,1967
values_964,4600,1571
values_998,5368,2097
values_988,4600,1571
values_6,5016,1850
values_625,4870,1758
values_518,5280,2039
values_122,5209,1995
values_541,5280,2039
values_279,5368,2101
values_256,5368,2099
values_796,5308,2060
values_504,4949,1810
values_752,5390,2124
values_459,5560,2246
values_658,4994,1851
values_408,4799,1716
values_867,5152,1953
values_727,5572,2240
values_177,4732,1662
values_823,5156,1953
values_822,5150,1951
values_218,5368,2099
values_426,5386,2126
values_776,5192,1967
values_143,5077,1897
values_739,5390,2124
values_312,5192,1969
values_174,4724,1664
values_669,4870,1758
values_120,5211,1997
values_974,4592,1569
values_217,5368,2099
values_866,4939,1806
values_192,5368,2099
values_328,5406,2132
values_68,5406,2128
values_387,4732,1662
values_69,5404,2130
values_749,5262,2033
values_135,5144,1955
values_341,5398,2134
values_494,4947,1808
values_1,5192,1969
values_589,5059,1891
values_925,4359,1475
values_524,5280,2039
values_994,5368,2097
values_856,5215,1993
values_156,4947,1808
values_470,5493,2192
values_207,5493,2188
values_655,4870,1758
values_441,5347,2088
values_109,5217,1995
values_45,5481,2184
values_125,5347,2088
values_600,4937,1802
values_708,5570,2242
values_791,5192,1967
values_912,4225,1384
values_533,5341,2085
values_418,5280,2033
values_228,5213,1995
values_585,5057,1895
values_465,5368,2099
values_239,5394,2124
values_842,5262,2033
values_208,5493,2192
values_932,4817,1720
values_957,4939,1815
values_563,5217,1995
values_766,5260,2031
values_476,5368,2099
values_175,4600,1571
values_591,4864,1754
values_997,5368,2099
values_385,4807,1714
values_115,5056,1880
values_653,4870,1758
values_753,5217,1995
values_241,5213,1995
values_197,5368,2099
values_636,4876,1756
values_450,5493,2192
values_106,5211,1997
values_699,5144,1955
values_578,4876,1756
values_644,4876,1756
values_570,5199,1991
values_873,5144,1955
values_33,5483,2182
values_210,5491,2190
values_486,5077,1901
values_252,5280,2033
values_694,5152,1953
values_759,5199,1991
values_245,5388,2122
values_15,5192,1969
values_792,5308,2060
values_248,5262,2033
values_246,5258,2029
values_556,5394,2124
values_513,5408,2130
values_93,5406,2128
values_558,5262,2033
values_991,4730,1660
values_181,4732,1662
values_674,4939,1806
values_652,4868,1756
values_344,5280,2037
values_715,5574,2242
values_528,5280,2039
values_276,5493,2188
values_24,5172,1965
values_296,5192,1967
values_244,5280,2033
values_380,5351,2091
values_25,5192,1969
values_740,5215,1993
values_478,5560,2246
values_379,5481,2184
values_810,5152,1953
values_440,5260,2031
values_543,5280,2039
values_130,4951,1808
values_225,5215,1993
values_285,5493,2192
values_363,5368,2093
values_667,4994,1851
values_26,5192,1969
values_793,5192,1967
values_1022,5491,2190
values_772,5164,1963
values_931,4939,1815
values_981,4724,1664
values_422,5386,2126
values_920,4225,1384
values_259,5485,2194
values_477,5493,2192
values_738,5211,1993
values_430,5280,2033
values_922,4225,1384
values_903,4359,1475
values_761,5260,2031
values_1017,5368,2097
values_204,5368,2097
values_48,5481,2184
values_71,5461,2178
values_851,5217,1995
values_347,5280,2039
values_725,5570,2242
values_266,5368,2099
values_448,5489,2188
values_934,4939,1815
values_531,5461,2178
values_224,5217,1995
values_686,5144,1955
values_927,4351,1477
values_407,4592,1569
values_76,5280,2039
values_949,4819,1722
values_969,4600,1571
values_781,5192,1965
values_7,5192,1969
values_1014,5495,2190
values_683,5077,1897
values_376,5406,2128
values_1016,5489,2188
values_877,5150,1951
values_654,4876,1756
values_508,4951,1808
values_332,5280,2039
values_281,5493,2192
values_381,5347,2091
values_769,5192,1969
values_701,5081,1901
values_855,5258,2029
values_1009,5491,2186
values_320,5280,2039
values_50,5351,2091
values_918,4351,1477
values_615,4870,1758
values_704,5582,2250
values_633,5016,1849
values_847,5280,2033
values_602,4937,1802
values_399,4592,1569
values_22,5308,2060
values_313,5172,1965
values_375,5351,2091
values_963,4724,1664
values_168,4730,1660
values_1021,5489,2188
values_226,5215,1993
values_190,4732,1662
values_429,5347,2088
values_236,5280,2033
values_777,5174,1967
values_909,4359,1475
values_438,5262,2033
values_607,4876,1756
values_717,5499,2190
values_1000,5493,2192
values_782,5192,1967
values_258,5491,2190
values_872,5081,1901
values_637,4444,1500
values_746,5260,2031
values_4,5164,1963
values_345,5406,2132
values_102,5211,1997
values_962,4592,1569
values_356,5347,2091
values_853,5260,2031
values_849,5211,1993
values_814,5152,1949
values_370,5337,2081
values_778,5192,1969
values_458,5491,2190
values_818,5148,1955
values_119,5209,1995
values_373,5368,2093
values_351,5408,2130
values_32,5368,2091
values_770,5192,1967
values_371,5481,2184
values_283,5368,2099
values_535,5461,2178
values_250,5215,1993
values_132,4939,1806
values_649,4994,1851
values_77,5280,2037
values_260,5489,2188
values_1004,5489,2188
values_891,5079,1899
values_91,5280,2037
values_137,5144,1955
values_42,5483,2182
values_13,5192,1965
values_577,5059,1891
values_41,5368,2089
values_809,5077,1901
values_414,4592,1569
values_360,5469,2176
values_386,4592,1569
values_158,5152,1953
values_904,4225,1384
