inputName,m,n
values_242,34,125
values_505,35,42
values_1006,25,72
values_924,91,40
values_862,89,125
values_287,100,87
values_733,58,109
values_813,38,88
values_11,5,56
values_19,5,111
values_999,25,81
values_134,82,44
values_609,112,88
values_993,25,88
values_731,58,50
values_127,59,87
values_889,110,42
values_987,94,50
values_780,24,121
values_435,26,111
values_950,71,5
values_976,94,7
values_557,32,88
values_398,36,72
values_892,110,40
values_670,20,125
values_574,32,125
values_163,42,27
values_900,91,3
values_392,36,112
values_447,26,87
values_523,79,56
values_679,47,81
values_419,26,27
values_895,110,87
values_298,70,105
values_155,82,50
values_12,5,121
values_160,42,61
values_626,112,125
values_38,6,44
values_146,82,125
values_81,34,8
values_687,47,29
values_213,36,29
values_212,36,82
values_568,32,120
values_5,5,112
values_40,6,112
values_970,94,105
values_707,58,27
values_406,36,5
values_893,110,109
values_144,82,7
values_979,94,111
values_831,38,87
values_402,36,125
values_404,36,82
values_310,70,5
values_70,34,44
values_268,100,121
values_1018,25,14
values_412,36,40
values_290,70,126
values_916,91,82
values_567,32,31
values_913,91,8
values_232,34,112
values_319,70,87
values_23,5,31
values_899,91,27
values_428,26,121
values_858,89,14
values_546,32,126
values_432,26,7
values_231,34,81
values_388,36,3
values_350,68,125
values_603,79,50
values_364,44,121
values_530,79,125
values_72,34,112
values_536,79,120
values_79,34,29
values_342,68,5
values_803,38,27
values_501,35,29
values_540,79,40
values_955,71,50
values_191,42,87
values_812,38,121
values_545,32,88
values_78,34,72
values_526,79,72
values_695,47,31
values_87,34,31
values_300,70,121
values_964,94,3
values_998,25,44
values_988,94,40
values_6,5,44
values_625,112,8
values_518,79,44
values_122,59,14
values_541,79,109
values_279,100,31
values_256,100,61
values_796,24,40
values_504,35,120
values_752,94,7
values_459,27,56
values_658,20,125
values_408,36,120
values_867,110,27
values_727,58,31
values_177,42,8
values_823,38,31
values_822,38,5
values_218,36,14
values_426,26,105
values_776,24,112
values_143,82,29
values_739,94,27
values_312,70,120
values_174,42,72
values_669,20,109
values_120,59,120
values_974,94,72
values_217,36,42
values_866,110,126
values_192,36,61
values_328,68,112
values_68,34,3
values_387,36,27
values_69,34,112
values_749,94,88
values_135,82,81
values_341,68,29
values_494,35,72
values_1,5,88
values_589,79,88
values_925,91,109
values_524,79,121
values_994,25,126
values_856,89,120
values_156,82,40
values_470,27,5
values_207,36,29
values_655,20,29
values_441,26,42
values_109,59,88
values_45,6,88
values_125,59,109
values_600,79,120
values_708,58,3
values_791,24,31
values_912,91,7
values_533,79,29
values_418,26,126
values_228,34,3
values_585,79,91
values_465,27,8
values_239,34,29
values_842,89,105
values_208,36,7
values_932,71,3
values_957,71,109
values_563,32,111
values_766,94,125
values_476,27,40
values_175,42,29
values_591,79,29
values_997,25,112
values_385,36,88
values_115,59,111
values_653,20,88
values_753,94,8
values_241,34,8
values_197,36,112
values_636,112,40
values_450,27,126
values_106,59,105
values_699,47,50
values_578,79,126
values_644,20,3
values_570,32,14
values_873,110,91
values_33,6,88
values_210,36,125
values_486,35,44
values_252,34,40
values_694,47,5
values_759,94,31
values_245,34,29
values_15,5,29
values_792,24,120
values_248,34,120
values_246,34,5
values_556,32,121
values_513,79,88
values_93,34,109
values_558,32,72
values_991,94,87
values_181,42,29
values_674,47,126
values_652,20,121
values_344,68,120
values_715,58,56
values_528,79,7
values_276,100,82
values_24,5,120
values_296,70,112
values_244,34,82
values_380,44,40
values_25,5,42
values_740,94,3
values_478,27,125
values_379,44,50
values_810,38,105
values_440,26,120
values_543,79,87
values_130,82,126
values_225,34,88
values_285,100,109
values_363,44,56
values_667,20,50
values_26,5,14
values_793,24,42
values_1022,25,125
values_772,24,3
values_931,71,27
values_981,94,29
values_422,26,44
values_920,91,120
values_259,100,27
values_477,27,109
values_738,94,126
values_430,26,72
values_922,91,14
values_903,91,81
values_761,94,42
values_1017,25,42
values_204,36,121
values_48,6,7
values_71,34,81
values_851,89,111
values_347,68,50
values_725,58,29
values_266,100,105
values_448,27,61
values_934,71,44
values_531,79,111
values_224,34,61
values_686,47,72
values_927,91,87
values_407,36,31
values_76,34,121
values_949,71,29
values_969,94,91
values_781,24,88
values_7,5,81
values_1014,25,5
values_683,47,56
values_376,44,120
values_1016,25,120
values_877,110,88
values_654,20,72
values_508,35,40
values_332,68,121
values_281,100,42
values_381,44,109
values_769,24,88
values_701,47,109
values_855,89,31
values_1009,25,8
values_320,68,61
values_50,6,125
values_918,91,5
values_615,112,81
values_704,58,61
values_633,112,42
values_847,89,29
values_602,79,14
values_399,36,29
values_22,5,5
values_313,70,42
values_375,44,31
values_963,94,27
values_168,42,112
values_1021,25,109
values_226,34,126
values_190,42,125
values_429,26,88
values_236,34,121
values_777,24,91
values_909,91,88
values_438,26,5
values_607,79,87
values_717,58,88
values_1000,25,112
values_782,24,72
values_258,100,126
values_872,110,112
values_637,112,109
values_746,94,105
values_4,5,3
values_345,68,42
values_102,59,44
values_962,94,126
values_356,44,3
values_853,89,29
values_849,89,8
values_814,38,72
values_370,44,125
values_778,24,105
values_458,27,105
values_818,38,125
values_119,59,31
values_373,44,29
values_351,68,87
values_32,6,61
values_770,24,126
values_371,44,111
values_283,100,50
values_535,79,31
values_250,34,14
values_132,82,3
values_649,20,91
values_77,34,88
values_260,100,3
values_1004,25,121
values_891,110,50
values_91,34,50
values_137,82,91
values_42,6,105
values_13,5,88
values_577,79,88
values_41,6,91
values_809,38,91
values_414,36,125
values_360,44,112
values_386,36,126
values_158,82,125
values_904,91,112
values_480,35,61
values_647,20,81
values_104,59,112
values_55,6,31
values_491,35,56
values_391,36,81
values_972,94,121
values_571,32,50
values_940,71,121
values_861,89,109
