id,clockCycles,assemblyInstr
values_242,477164,390206
values_505,26928,18408
values_924,787601,646241
values_862,61444,47750
values_287,85844,67888
values_733,44989,33356
values_813,44000,32512
values_11,44924,33304
values_19,7543,2746
values_999,1220561,989725
values_134,232952,188376
values_609,68599,52581
values_993,1026080,846427
values_731,1001949,819658
values_127,331059,270406
values_889,234063,189316
values_987,446530,364640
values_780,62628,48776
values_435,102344,79628
values_950,101464,78898
values_976,61568,47858
values_557,72952,57222
values_398,81071,64260
values_892,231454,187104
values_670,3300353,2724294
values_574,48425,36598
values_163,998800,816976
values_900,10865,5263
values_392,1025908,846259
values_447,16262,9676
values_523,446864,364908
values_679,1001528,819292
values_419,81903,64988
values_895,789800,648097
values_298,61952,48182
values_155,47846,36098
values_12,159079,126897
values_160,15864,9344
values_626,48193,36398
values_38,80495,63756
values_146,85782,67834
values_81,1000120,818084
values_687,1022086,843084
values_213,61072,47426
values_212,340259,278250
values_568,10660,5089
values_5,64909,50303
values_40,72512,56844
values_970,10824,5217
values_707,1003659,821088
values_406,790448,648657
values_893,794500,652097
values_144,7543,2746
values_979,44305,32780
values_831,610570,502181
values_402,162406,129701
values_404,1708080,1419448
values_310,15978,9440
values_70,101554,78982
values_268,86092,68104
values_412,1028911,848854
values_290,3301725,2725474
values_916,2448607,2028358
values_567,330743,270132
values_913,68650,52623
values_232,101294,78762
values_319,1705724,1417440
values_23,27104,18556
values_899,26471,18026
values_428,331627,270892
values_858,475137,388539
values_546,27380,18796
values_432,231669,187288
values_231,61630,47912
values_388,26951,18432
values_350,16368,9764
values_603,237678,192372
values_364,1700203,1412716
values_530,1715613,1425936
values_72,44267,32748
values_536,1707327,1418812
values_79,3303452,2726942
values_342,797663,654789
values_803,3301237,2725046
values_501,61010,47372
values_540,81840,64932
values_955,103400,80516
values_191,81071,64260
values_812,162624,129881
values_545,2455035,2033836
values_78,1029998,849769
values_526,335808,274456
values_695,1031383,850939
values_87,69371,53227
values_300,7543,2746
values_964,1222826,991635
values_998,16161,9592
values_988,1021699,842736
values_6,69672,53483
values_625,231704,187308
values_518,103840,80888
values_122,447275,365264
values_541,85720,67780
values_279,157280,125375
values_256,16215,9638
values_796,86898,68806
values_504,233171,188556
values_752,1005195,822384
values_459,1225116,993535
values_658,81455,64596
values_408,448997,366728
values_867,1706035,1417724
values_727,157765,125785
values_177,81263,64428
values_823,1031800,851301
values_822,3293705,2718666
values_218,330903,270260
values_426,613800,504915
values_776,1219815,989121
values_143,447744,365668
values_739,1228986,996755
values_312,64969,50355
values_174,617386,507991
values_669,1031238,850921
values_120,791824,649817
values_974,48773,36898
values_217,26576,18110
values_866,85658,67726
values_192,26508,18056
values_328,1002848,820404
values_68,72572,56898
values_387,158612,126501
values_69,82671,65660
values_749,794200,651845
values_135,54526,41800
values_341,61512,47804
values_494,2454091,2033038
values_1,797857,654937
values_589,7543,2746
values_925,788411,646929
values_524,65749,51031
values_994,7409,2700
values_856,85286,67402
values_156,27150,18600
values_470,81400,64540
values_207,48541,36698
values_655,336688,275198
values_441,447012,365044
values_109,73006,57276
values_45,7543,2746
values_125,1009561,826066
values_600,69269,53141
values_708,1227263,995333
values_791,69265,53143
values_912,7409,2700
values_533,231747,187352
values_418,476808,389902
values_228,54586,41852
values_585,101665,79066
values_465,609023,500855
values_239,446960,364992
values_842,10824,5217
values_208,48019,36248
values_932,1714364,1424860
values_957,1704528,1416436
values_563,233525,188864
values_766,102784,80002
values_476,448564,366364
values_175,159344,127125
values_591,791424,649485
values_997,72634,56952
values_385,2449656,2029238
values_115,65329,50667
values_653,27079,18540
values_753,234080,189316
values_241,61630,47912
values_197,16117,9556
values_636,86712,68644
values_450,44763,33168
values_106,48136,36348
values_699,70100,53841
values_578,158808,126669
values_644,156257,124515
values_570,16111,9552
values_873,1006924,823854
values_33,1037720,856369
values_210,156846,125011
values_486,16136,9572
values_252,337130,275580
values_694,1014229,830014
values_759,474190,387682
values_245,2444688,2024998
values_15,27137,18590
values_792,2463307,2040864
values_248,788891,647325
values_246,1709400,1420560
values_556,3287837,2713694
values_513,10718,5139
values_93,48541,36698
values_558,104223,81208
values_991,618200,508673
values_181,3303930,2727330
values_674,7409,2700
values_652,10782,5193
values_344,60762,47156
values_715,44417,32872
values_528,2450250,2029754
values_276,618578,509007
values_24,7543,2746
values_296,1221309,990367
values_244,69833,53619
values_380,7543,2746
values_25,447744,365652
values_740,15931,9402
values_478,54706,41956
values_379,16104,9534
values_810,73131,57384
values_440,1704323,1416236
values_543,15858,9340
values_130,43160,31808
values_225,102576,79830
values_285,792781,650633
values_363,10782,5193
values_667,16215,9638
values_26,1035632,854569
values_793,81711,64820
values_772,157970,125961
values_931,447744,365664
values_981,74008,58140
values_422,609868,501575
values_920,61568,47858
values_259,2480368,2055414
values_477,10666,5093
values_738,26982,18456
values_430,61134,47480
values_922,234290,189504
values_903,3289902,2715446
values_761,54526,41800
values_204,3295014,2719794
values_48,27310,18736
values_71,610061,501745
values_851,81136,64316
values_347,999905,817918
values_725,1004611,821896
values_266,479375,392090
values_448,44153,32648
values_934,230299,186120
values_531,65509,50823
values_224,65269,50615
values_686,80303,63588
values_927,3287529,2713430
values_407,26990,18468
values_76,48019,36248
values_949,43648,32216
values_969,474936,388371
values_781,1000678,818578
values_7,2453112,2032190
values_683,3296832,2721326
values_376,26523,18072
values_877,54886,42112
values_654,2444288,2024640
values_508,10666,5093
values_332,233024,188428
values_281,1000560,818484
values_381,61692,47966
values_769,1001020,818870
values_701,86278,68266
values_855,7409,2700
values_320,48312,36498
values_50,2448457,2028204
values_918,1710984,1421956
values_615,65269,50615
values_704,332996,272062
values_633,65389,50719
values_847,611424,502911
values_602,61512,47804
values_399,10736,5143
values_22,16057,9506
values_313,70136,53865
values_375,61754,48020
values_963,7409,2700
values_168,61336,47642
values_226,48312,36498
values_190,54706,41956
values_429,157544,125595
values_236,157791,125805
values_777,236061,191012
values_909,61754,48020
values_438,790328,648549
values_607,3299707,2723754
values_717,69492,53329
values_782,233399,188748
values_258,61512,47804
values_872,69795,53587
values_637,69743,53543
values_746,15752,9248
values_4,61754,48020
values_345,1224696,993181
values_102,61692,47966
values_962,235344,190400
values_356,10666,5093
values_853,10660,5089
values_849,233323,188684
values_814,788040,646613
values_370,86526,68482
values_778,3298014,2722334
values_458,996424,814986
values_818,60896,47264
values_119,332258,271428
values_373,54826,42060
values_351,54226,41540
values_32,65329,50667
values_770,795454,652909
values_371,3289062,2714722
values_283,1713020,1423704
values_535,157168,125275
values_250,2455200,2033964
values_132,7409,2700
values_649,101063,78568
values_77,26682,18204
values_260,86092,68104
values_891,85162,67294
values_91,1030408,850148
values_137,7409,2700
values_42,1009637,826140
values_13,81903,64988
values_577,1233961,1000905
values_41,72088,56466
values_809,1221596,990605
values_414,72200,56574
values_360,1022080,843091
values_386,1707376,1418860
values_158,7409,2700
values_904,1027138,847348
values_480,478469,391277
values_647,1003265,820766
values_104,616440,507175
values_55,3302552,2726154
values_491,47671,35948
values_391,332621,271750
values_972,1217611,987275
values_571,791694,649717
values_940,60948,47318
values_861,44549,32984
values_324,15928,9386
values_549,65389,50719
values_170,616088,506871
values_269,449644,367280
values_442,613308,504513
values_520,789937,648217
values_455,792933,650761
values_31,65329,50667
values_971,156875,125033
values_397,55066,42268
values_254,16051,9502
values_616,449641,367272
values_66,44235,32720
values_943,65389,50719
values_117,100672,78238
values_451,48367,36548
values_643,73626,57816
values_688,64549,49991
values_569,161458,128905
values_745,26728,18246
values_65,233182,188568
values_980,15864,9344
values_982,479075,391826
values_62,44685,33100
values_789,85976,67996
values_401,101376,78816
values_21,61878,48128
values_598,3295082,2719830
values_273,3289440,2715038
values_534,68750,52705
values_118,3286272,2712342
values_141,1004208,821556
values_366,332376,271526
values_222,7543,2746
values_876,7543,2746
values_700,101917,79284
values_95,158003,125987
values_806,102353,79648
values_671,1709400,1420645
values_816,69390,53243
values_630,69209,53087
values_433,444954,363288
values_905,101857,79234
values_84,1005250,822446
values_233,334752,273546
values_664,10824,5217
values_162,336512,275052
values_681,27028,18498
values_542,1031976,851429
values_169,15883,9360
values_660,335984,274596
values_488,81519,64652
values_894,65689,50979
values_828,47961,36198
values_537,81967,65044
values_845,2459512,2037656
values_584,85360,67456
values_457,7409,2700
values_499,86774,68698
values_369,86092,68104
values_58,334376,273234
values_64,69960,53723
values_196,7543,2746
values_462,793170,650969
values_343,66000,51239
values_262,61630,47912
values_966,69186,53073
values_261,1224814,993287
values_349,73254,57492
values_263,1025329,845775
values_801,26714,18232
values_292,1714504,1424972
values_786,69443,53291
