id,clockCycles,assemblyInstr
values_242,4195,1360
values_505,4195,1360
values_924,4195,1360
values_862,4195,1360
values_287,4195,1360
values_733,4195,1360
values_813,4195,1360
values_11,4195,1360
values_19,4195,1360
values_999,4188,1357
values_134,4188,1357
values_609,4188,1357
values_993,4195,1360
values_731,4188,1357
values_127,4195,1360
values_889,4195,1360
values_987,4188,1357
values_780,4188,1357
values_435,4188,1357
values_950,4188,1357
values_976,4195,1360
values_557,4195,1360
values_398,4195,1360
values_892,4188,1357
values_670,4195,1360
values_574,4195,1360
values_163,4195,1360
values_900,4188,1357
values_392,4195,1360
values_447,4188,1357
values_523,4195,1360
values_679,4195,1360
values_419,4195,1360
values_895,4188,1357
values_298,4188,1357
values_155,4195,1360
values_12,4195,1360
values_160,4195,1360
values_626,4195,1360
values_38,4195,1360
values_146,4188,1357
values_81,4188,1357
values_687,4188,1357
values_213,4188,1357
values_212,4188,1357
values_568,4188,1357
values_5,4195,1360
values_40,4195,1360
values_970,4195,1360
values_707,4195,1360
values_406,4188,1357
values_893,4195,1360
values_144,4188,1357
values_979,4188,1357
values_831,4195,1360
values_402,4195,1360
values_404,4195,1360
values_310,4195,1360
values_70,4195,1360
values_268,4188,1357
values_412,4195,1360
values_290,4195,1360
values_916,4188,1357
values_567,4188,1357
values_913,4195,1360
values_232,4188,1357
values_319,4188,1357
values_23,4188,1357
values_899,4195,1360
values_428,4195,1360
values_858,4188,1357
values_546,4188,1357
values_432,4195,1360
values_231,4188,1357
values_388,4195,1360
values_350,4195,1360
values_603,4195,1360
values_364,4195,1360
values_530,4195,1360
values_72,4188,1357
values_536,4195,1360
values_79,4195,1360
values_342,4188,1357
values_803,4188,1357
values_501,4188,1357
values_540,4195,1360
values_955,4195,1360
values_191,4188,1357
values_812,4195,1360
values_545,4188,1357
values_78,4195,1360
values_526,4188,1357
values_695,4195,1360
values_87,4188,1357
values_300,4188,1357
values_964,4195,1360
values_998,4195,1360
values_988,4188,1357
values_6,4195,1360
values_625,4195,1360
values_518,4195,1360
values_122,4188,1357
values_541,4195,1360
values_279,4195,1360
values_256,4195,1360
values_796,4195,1360
values_504,4195,1360
values_752,4195,1360
values_459,4188,1357
values_658,4195,1360
values_408,4195,1360
values_867,4188,1357
values_727,4188,1357
values_177,4195,1360
values_823,4188,1357
values_822,4188,1357
values_218,4195,1360
values_426,4188,1357
values_776,4195,1360
values_143,4195,1360
values_739,4188,1357
values_312,4195,1360
values_174,4188,1357
values_669,4195,1360
values_120,4195,1360
values_974,4195,1360
values_217,4195,1360
values_866,4195,1360
values_192,4195,1360
values_328,4188,1357
values_68,4195,1360
values_387,4195,1360
values_69,4195,1360
values_749,4195,1360
values_135,4195,1360
values_341,4195,1360
values_494,4195,1360
values_1,4195,1360
values_589,4195,1360
values_925,4188,1357
values_524,4188,1357
values_994,4195,1360
values_856,4188,1357
values_156,4188,1357
values_470,4188,1357
values_207,4195,1360
values_655,4188,1357
values_441,4195,1360
values_109,4195,1360
values_45,4195,1360
values_125,4195,1360
values_600,4188,1357
values_708,4195,1360
values_791,4195,1360
values_912,4195,1360
values_533,4195,1360
values_418,4195,1360
values_228,4188,1357
values_585,4195,1360
values_465,4195,1360
values_239,4195,1360
values_842,4195,1360
values_208,4195,1360
values_932,4195,1360
values_957,4195,1360
values_563,4195,1360
values_766,4195,1360
values_476,4195,1360
values_175,4195,1360
values_591,4195,1360
values_997,4195,1360
values_385,4188,1357
values_115,4188,1357
values_653,4188,1357
values_753,4195,1360
values_241,4188,1357
values_197,4195,1360
values_636,4195,1360
values_450,4188,1357
values_106,4195,1360
values_699,4195,1360
values_578,4195,1360
values_644,4195,1360
values_570,4188,1357
values_873,4195,1360
