id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:gcd---feature:Total_Operands,52.65234375,49.0,49.0,669.6486663818359,25.877570720255715,49.0,49.0,49.0,49.0,49.0,236.0,236.0
total of function:gcd---feature:DistinctOperands,19.1162109375,17.0,17.0,226.52067470550537,15.050603798702076,17.0,16.0,17.0,17.0,17.0,126.0,126.0
total of function:gcd---feature:ProgramLength,199.8671875,191.0,191.0,3947.0761108398438,62.8257599304604,191.0,191.0,191.0,191.0,191.0,645.0,645.0
total of function:gcd---feature:VocabularySize,43.5263671875,41.0,41.0,322.43875789642334,17.95657979394805,41.0,40.0,41.0,41.0,41.0,171.0,171.0
total of function:gcd---feature:ProgramVolume,1096.671591796903,1023.29,1023.29,270719.6827183207,520.3072964300238,1023.29,1016.49,1023.29,1023.29,1023.29,4784.51,4784.51
total of function:gcd---feature:Effort,38662.81318359404,35393.88,35393.88,531351410.6645412,23051.06094444551,35393.88,35393.88,35393.88,35393.88,35393.88,201633.13,203014.35
total of function:gcd---feature:ProgramLevel,0.02980468750000076,0.03,0.03,1.914978027343669e-06,0.001383827311243592,0.03,0.02,0.03,0.03,0.03,0.03,0.03
total of function:gcd---feature:ProgramLevel.1,0.02980468750000076,0.03,0.03,1.914978027343669e-06,0.001383827311243592,0.03,0.02,0.03,0.03,0.03,0.03,0.03
total of function:gcd---feature:DifficultyLevel,34.75599609374818,34.59,34.59,1.1478581874847724,1.071381438837155,34.59,34.59,34.59,34.59,34.59,42.14,42.48
total of function:gcd---feature:TimeToImplement,2147.937275390682,1966.33,1966.33,1639971.7189014321,1280.613805525082,1966.33,1966.33,1966.33,1966.33,1966.33,11201.84,11278.57
total of function:gcd---feature:BugsDelivered,0.3655571972656181,0.3410966666666666,0.3410966666666666,0.030079964746476028,0.17343576547666295,0.3410966666666666,0.33883,0.3410966666666666,0.3410966666666666,0.3410966666666666,1.594836666666667,1.594836666666667
total of function:gcd---feature:Sloc,26.765625,27.0,27.0,2.757568359375,1.6605927734923454,27.0,15.0,27.0,27.0,27.0,27.0,27.0
total of function:gcd---feature:DecisionPoint,5.90234375,6.0,6.0,0.4787445068359375,0.6919136556218106,6.0,1.0,6.0,6.0,6.0,6.0,6.0
total of function:gcd---feature:GlobalVariables,1.98046875,2.0,2.0,0.0191497802734375,0.1383827311243621,2.0,1.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:If,5.90234375,6.0,6.0,0.4787445068359375,0.6919136556218106,6.0,1.0,6.0,6.0,6.0,6.0,6.0
total of function:gcd---feature:Loop,1.98046875,2.0,2.0,0.0191497802734375,0.1383827311243621,2.0,1.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:Goto,0.98046875,1.0,1.0,0.0191497802734375,0.1383827311243621,1.0,0.0,1.0,1.0,1.0,1.0,1.0
total of function:gcd---feature:Assignment,9.9609375,10.0,10.0,0.07659912109375,0.2767654622487242,10.0,8.0,10.0,10.0,10.0,10.0,10.0
total of function:gcd---feature:ExitPoint,2.98046875,3.0,3.0,0.0191497802734375,0.1383827311243621,3.0,2.0,3.0,3.0,3.0,3.0,3.0
total of function:gcd---feature:Function,2.98046875,3.0,3.0,0.0191497802734375,0.1383827311243621,3.0,2.0,3.0,3.0,3.0,3.0,3.0
total of function:gcd---feature:FunctionCall,1.98046875,2.0,2.0,0.0191497802734375,0.1383827311243621,2.0,1.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:PointerDereferencing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:CyclomaticComplexity,8.8828125,9.0,9.0,0.68939208984375,0.8302963867461727,9.0,3.0,9.0,9.0,9.0,9.0,9.0
total of function:gcd---feature:SCALAR_INPUT,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
