feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
Total_Operands	0.015118960736743044	0.02388091990467561	0.019993617543709725	0.018121854268588547	0.07711535245371692	0.01927883811342923
DistinctOperands	0.14077334795750246	0.3697005329784916	0.17881275950843564	0.3709669442268864	1.0602535846713161	0.26506339616782904
ProgramLength	0.011345265504383716	0.0045288925291244245	0.00011277022615212056	0.008439728952450367	0.024426657212110625	0.006106664303027656
VocabularySize	0.07668463033558515	0.01833818131452817	0.030101385114215964	0.006538724697354234	0.1316629214616835	0.03291573036542088
ProgramVolume	0.014588191577665227	0.0022730628074524657	0.00998223587330937	0.008973208442834708	0.03581669870126177	0.008954174675315443
Effort	0.006159363870428872	0.004430585073971465	0.002025893458521824	0.007411452633369135	0.020027295036291297	0.005006823759072824
ProgramLevel	0.0027087743002587694	0.00010300367130924959	0.0	0.0005735966007730909	0.00338537457234111	0.0008463436430852775
ProgramLevel.1	0.003021454774667315	0.0015086070709087519	4.631921663609401e-05	0.0004866083671916936	0.005062989429403854	0.0012657473573509635
DifficultyLevel	0.004408893764061351	0.0021508591135925583	0.023905213928630875	0.007529135602076239	0.03799410240836103	0.009498525602090257
TimeToImplement	0.008128666336760555	0.0022723444846667216	0.003385642792177815	0.008788824588496225	0.022575478202101314	0.005643869550525329
BugsDelivered	0.012956876683870421	0.0024321617285484876	0.008851378487778096	0.01123797542300516	0.035478392323202164	0.008869598080800541
Sloc	0.010081760350582596	0.008535006463396428	0.017851519458021024	0.0035369153784423394	0.04000520165044239	0.010001300412610598
DecisionPoint	0.019243267244476808	0.0025417193439062472	0.012800412751090872	0.0028191374392453426	0.03740453677871927	0.009351134194679818
GlobalVariables	0.06980586681894634	0.07244959267694641	0.1747254221363818	0.02024180493398849	0.33722268656626303	0.08430567164156576
If	0.01095567307275744	0.004627564580427273	0.014519218774150947	0.0017557618868777013	0.03185821831421336	0.00796455457855334
