feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
Total_Operands	0.009156472979286007	0.0013331207534677191	0.0	0.0028195734728050474	0.013309167205558773	0.0033272918013896933
DistinctOperands	0.025331460184694284	0.0014894070151543093	0.00294556815519769	0.010313022651073764	0.04007945800612005	0.010019864501530012
ProgramLength	0.018853736411328138	0.04297339160175436	0.006506569575892464	0.02026185241698651	0.08859555000596148	0.02214888750149037
VocabularySize	0.022961351084110123	0.0053461403115911	0.0017647567709456588	0.008926308059584286	0.03899855622623116	0.00974963905655779
ProgramVolume	0.021391756023621047	0.035248813740966	0.009088054668142201	0.019968928416142066	0.08569755284887132	0.02142438821221783
Effort	0.018733222617333966	0.030305681898115194	0.01333807744248629	0.015229892456994399	0.07760687441492985	0.01940171860373246
ProgramLevel	0.007729771669440149	0.0002553667101738799	0.0007449519605441507	0.0015104638365049591	0.010240554176663138	0.0025601385441657845
ProgramLevel.1	0.00779397240721482	0.0007325002008691762	0.0032549597377623907	0.0026300697430774256	0.014411502088923812	0.003602875522230953
DifficultyLevel	0.023867228675291532	0.06380409683950254	0.011371762601680114	0.0274151843865746	0.1264582725030488	0.0316145681257622
TimeToImplement	0.018553830297725372	0.02766748315162464	0.004284244368437389	0.019464492050243337	0.06997004986803074	0.017492512467007684
BugsDelivered	0.020438214162098626	0.025075283506569634	0.00347461747451099	0.018113039289668238	0.06710115443284749	0.016775288608211873
Sloc	0.004747414068697045	0.00033463320528569185	3.188799994708673e-05	0.0001562601533323132	0.005270195427262136	0.001317548856815534
DecisionPoint	0.00433479737827775	0.0013564764040749399	9.728543204557607e-05	0.00021791375890158082	0.006006472973299847	0.0015016182433249617
GlobalVariables	0.04479265690564911	0.002776871136240625	0.00031788091339948787	0.00012833005056582677	0.04801573900585505	0.012003934751463762
If	0.004957689155781567	0.0010298228101966508	4.315791357020194e-06	0.00018716315062005092	0.006178990907955289	0.0015447477269888222
Loop	0.012119861142797464	0.000318890132741721	6.000008400512051e-05	0.00029087914361103275	0.012789630503155337	0.003197407625788834
Goto	0.004711294490721045	0.00014214160598983782	0.00013999740523783084	0.00014339901509443091	0.005136832517043144	0.001284208129260786
Assignment	0.0008274242750095104	0.00757485419236399	1.6032329326109255e-05	0.0002001848073884423	0.00861849560408805	0.0021546239010220127
ExitPoint	0.005095359425362064	5.984361661801638e-06	0.0001778793777317432	0.0005579502975955411	0.00583717346235115	0.0014592933655877874
Function	0.006660362216967467	0.0013243948437041554	0.0006033666067364825	0.0004920808677308842	0.00908020453513899	0.0022700511337847475
FunctionCall	0.005041538290537898	0.003121429347543499	0.0002713511081276463	0.0005100537326164712	0.008944372478825515	0.0022360931197063787
PointerDereferencing	0.00021671778835112852	0.00027835871076332947	7.088782673960394e-05	0.00015508350668495252	0.0007210478325390144	0.0001802619581347536
CyclomaticComplexity	0.0050382707688849	0.0011229973976504388	1.989751145968889e-05	0.00026008589826769933	0.006441251576262726	0.0016103128940656815
SCALAR_INPUT	3.783209286638449e-05	2.774250778174672e-05	0.0	5.509171012398506e-06	7.108377166052972e-05	1.777094291513243e-05
RANGE_SCALAR_VALUES	2.7275402298384844e-05	2.180132338048542e-05	0.0	1.366087425577174e-06	5.044281310444744e-05	1.261070327611186e-05
SCALAR_INDEX_INPUT	0.000693434331244291	0.0	1.2009764055300545e-06	2.756390643621782e-05	0.0007221992140860389	0.00018054980352150973
RANGE_SCALAR_INDEX_VALUES	0.0018322556808966042	1.7810024252054846e-05	9.060912357850861e-07	2.8160189075338924e-05	0.001879131985459783	0.00046978299636494576
ARRAY_INPUT	0.16635313971403062	0.4345357772661914	0.8628747903617924	0.26819646369244515	1.7319601710344597	0.4329900427586149
RANGE_ARRAY_INPUT	0.00033785802283096034	0.0	7.091158529322163e-07	2.2745318871553473e-05	0.00036131245755544603	9.032811438886151e-05
cInstr	0.02802975598894708	0.035146304885951274	0.0020358239125762728	0.022075681655159003	0.08728756644263364	0.02182189161065841
SS_VAL_1	0.0	0.0	0.0	0.0	0.0	0.0
SV_VAL_1	1.0187460631617521e-05	7.1776550986909945e-06	0.0	1.0711115284987685e-05	2.80762310152962e-05	7.01905775382405e-06
V_VAL_1	7.283306553097809e-06	0.0	0.0	1.0393203694057285e-05	1.7676510247155093e-05	4.419127561788773e-06
V_VAL_2	7.216459833598291e-06	0.0	0.0	9.273067227359973e-06	1.6489527060958263e-05	4.122381765239566e-06
V_VAL_3	6.8616474738860645e-06	0.0	0.0	8.473164360251326e-06	1.533481183413739e-05	3.8337029585343475e-06
V_VAL_4	6.99404883580914e-06	5.4605631932426366e-05	0.0	7.910923719714887e-06	6.95106044879504e-05	1.73776511219876e-05
V_VAL_5	6.577016465993027e-06	0.0	0.0	9.239710212602896e-06	1.5816726678595924e-05	3.954181669648981e-06
V_VAL_6	6.699974851066709e-06	0.0	0.0	9.086472677392358e-06	1.578644752845907e-05	3.946611882114767e-06
V_VAL_7	6.210266745695393e-06	0.0	0.0	8.365712592127706e-06	1.4575979337823099e-05	3.6439948344557747e-06
V_VAL_8	7.286034930794537e-06	0.0	0.0	6.927437013836733e-06	1.4213471944631271e-05	3.5533679861578178e-06
V_VAL_9	6.262148339557977e-06	0.0	0.0	6.565079718292235e-06	1.2827228057850212e-05	3.206807014462553e-06
V_VAL_10	5.524953487182016e-06	0.0	0.0	5.8180628973842775e-06	1.1343016384566294e-05	2.8357540961415735e-06
V_VAL_11	5.379160193514632e-06	0.0	0.0	6.161765331605925e-06	1.1540925525120557e-05	2.8852313812801394e-06
V_VAL_12	5.103812725754973e-06	0.0	0.0	5.151212358561782e-06	1.0255025084316754e-05	2.5637562710791885e-06
V_VAL_13	4.8172703436643255e-06	0.0	0.0	4.676898821505536e-06	9.494169165169863e-06	2.3735422912924657e-06
V_VAL_14	4.395052109536053e-06	0.0	0.0	3.953780416942218e-06	8.34883252647827e-06	2.0872081316195674e-06
V_VAL_15	3.908117571424752e-06	0.0	0.0	4.401144990161388e-06	8.309262561586139e-06	2.0773156403965346e-06
V_VAL_16	4.58999625879755e-06	0.0	0.0	4.313801898667405e-06	8.903798157464955e-06	2.225949539366239e-06
V_VAL_17	4.0066404146486106e-06	0.0	0.0	3.3195837751609655e-06	7.326224189809576e-06	1.831556047452394e-06
V_VAL_18	4.532743754807131e-06	0.0	0.0	4.332874102863777e-06	8.865617857670907e-06	2.2164044644177268e-06
V_VAL_19	2.837570031786215e-06	0.0	0.0	2.27304039327253e-06	5.110610425058745e-06	1.2776526062646862e-06
V_VAL_20	3.0431166300176785e-06	0.0	0.0	1.9841002522766162e-06	5.027216882294295e-06	1.2568042205735737e-06
V_VAL_21	1.7943756302881437e-06	0.0	0.0	1.3703236171538515e-06	3.1646992474419952e-06	7.911748118604988e-07
V_VAL_22	1.7873327308352526e-06	0.0	0.0	1.0989379205571453e-06	2.886270651392398e-06	7.215676628480995e-07
V_VAL_23	3.0406143132706388e-06	0.0	0.0	2.4390475456061434e-06	5.479661858876782e-06	1.3699154647191955e-06
V_VAL_24	8.055832198561555e-07	0.0	0.0	6.395489938780318e-07	1.4451322137341872e-06	3.612830534335468e-07
V_VAL_25	1.1326413323633972e-06	0.0	0.0	5.709572929688852e-07	1.7035986253322824e-06	4.258996563330706e-07
V_VAL_26	3.6613544752269987e-07	0.0	0.0	1.0972371921876173e-07	4.758591667414616e-07	1.189647916853654e-07
V_VAL_27	9.40428612971328e-07	0.0	0.0	5.142168956890369e-07	1.454645508660365e-06	3.6366137716509126e-07
V_VAL_28	3.840238025555103e-07	0.0	0.0	2.368086360930215e-07	6.208324386485318e-07	1.5520810966213295e-07
M_VAL_1	0.019035714022683697	0.00839580329072763	0.0014348897255846461	0.029833611960269388	0.05870001899926536	0.01467500474981634
M_VAL_2	0.02355006251548292	0.006610334705734508	0.005502852020538937	0.027727819564920528	0.06339106880667689	0.01584776720166922
M_VAL_3	0.02421169719186621	0.02385648025851227	0.006091947233491089	0.03555019719955081	0.08971032188342037	0.022427580470855094
M_VAL_4	0.020351418845247382	0.00412443779359744	0.006490249643262607	0.020832405757654947	0.05179851203976238	0.012949628009940595
M_VAL_5	0.018741992399835768	0.00888694674050258	0.0009648792735454994	0.014143401441177615	0.042737219855061466	0.010684304963765366
M_VAL_6	0.020604325123602597	0.005064543741249382	0.0	0.020592101210415294	0.04626097007526728	0.01156524251881682
M_VAL_7	0.015332884953105405	0.01610446544971891	0.0038053156554641804	0.016918362493732235	0.05216102855202073	0.013040257138005183
