feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
Total_Operands	0.11413781302357631	0.16745930959233524	0.13575762728050453	0.13435628129266614	0.5517110311890823	0.13792775779727057
DistinctOperands	0.00157016081972568	0.00032932147637019935	0.0	0.001425019163399739	0.0033245014594956183	0.0008311253648739046
ProgramLength	0.03898932979458121	0.0027806688487817827	0.0018966148509152372	0.002326644466227537	0.04599325796050577	0.011498314490126442
VocabularySize	0.0011992845087778258	0.00010989876838735523	0.0	0.00021468239585133934	0.0015238656730165202	0.00038096641825413006
ProgramVolume	0.06769005887103052	0.0026277168561456006	0.0020976089767872977	0.004783563995968886	0.0771989486999323	0.019299737174983074
Effort	0.0020930429398183688	3.8605476293210805e-05	0.0	8.111761539243817e-05	0.002212766031504018	0.0005531915078760045
ProgramLevel	0.0005876395674416421	1.3280215876770849e-05	0.0	9.611735022682898e-05	0.0006970371335452419	0.00017425928338631047
ProgramLevel.1	0.0003479784375326404	0.00023890323971063995	0.0	5.247385454477065e-05	0.000639355531788051	0.00015983888294701274
DifficultyLevel	0.0009541239316296839	0.0008721498369942653	0.0	0.00019404007699072614	0.002020313845614675	0.0005050784614036688
TimeToImplement	0.006966585969114924	6.127518161596992e-05	0.001057113078866398	0.0001351589837135043	0.008220133213310795	0.002055033303327699
BugsDelivered	0.0589745670987274	0.0037336387473227645	0.0030120275732790826	0.006239251606093458	0.0719594850254227	0.017989871256355674
Sloc	0.00048592188727908104	4.754114961659973e-05	0.0	6.0793856528982735e-05	0.0005942568934246635	0.00014856422335616587
DecisionPoint	0.0006934118095220981	0.00033216374557295874	0.0	0.0001645605653969099	0.0011901361204919667	0.0002975340301229917
GlobalVariables	0.0004158843401443626	1.3626907026217055e-05	0.0	5.645194431119126e-05	0.0004859631914817709	0.00012149079787044272
If	0.0010494783120793833	0.0002635049258229759	0.0	8.552807249235442e-05	0.0013985113103947137	0.0003496278275986784
Loop	0.00036279275707516235	0.00011232746320110534	0.0	0.00016377157491638796	0.0006388917951926557	0.00015972294879816392
Goto	0.0001631024590578561	4.788326153260597e-05	0.0	5.0545099708539715e-05	0.0002615308202990018	6.538270507475045e-05
Assignment	0.0003580906077029992	1.6118051841602355e-05	0.0	0.00010368099171566632	0.0004778896512602679	0.00011947241281506697
ExitPoint	0.00037461164070547946	2.7416730237028163e-06	0.0	3.890707070165706e-05	0.0004162603844308393	0.00010406509610770983
Function	0.00016946581162342831	1.3762475498455935e-06	0.0	3.4023329450849837e-05	0.00020486538862412375	5.121634715603094e-05
FunctionCall	0.0003552793685149289	0.0	0.0	4.76880656858947e-05	0.00040296743420082363	0.00010074185855020591
PointerDereferencing	5.017811220433396e-05	4.572205024212404e-05	0.0	1.2214757683827084e-06	9.712163821484071e-05	2.4280409553710178e-05
CyclomaticComplexity	0.001254367029900286	0.00011758556728084131	0.0	0.00013913858534686621	0.0015110911825279936	0.0003777727956319984
SCALAR_INPUT	1.9259181778634313e-05	0.0	0.0	8.819290958634503e-07	2.0141110874497764e-05	5.035277718624441e-06
RANGE_SCALAR_VALUES	3.274730155552968e-05	0.0	0.0	7.270864435294569e-07	3.347438799905914e-05	8.368596999764786e-06
SCALAR_INDEX_INPUT	0.0001723997540585291	0.0	0.0	4.942253899263991e-06	0.0001773420079577931	4.4335501989448275e-05
RANGE_SCALAR_INDEX_VALUES	0.00013303800034243266	0.0	0.0	5.854143435775813e-06	0.00013889214377820847	3.4723035944552117e-05
ARRAY_INPUT	0.0010834632998551552	0.0023311129436762034	0.0	7.327964796322823e-05	0.0034878558914945867	0.0008719639728736467
RANGE_ARRAY_INPUT	5.674161640883489e-05	0.0	0.0	7.977406385471502e-06	6.471902279430639e-05	1.6179755698576597e-05
cInstr	0.022554660171461613	0.029861810042223255	0.03066020165454761	0.031403529701762564	0.11448020156999504	0.02862005039249876
SS_VAL_1	0.0	0.0	0.0	0.0	0.0	0.0
SV_VAL_1	3.990628616225352e-08	2.861575200160115e-06	0.0	8.277429303493134e-07	3.729224416671682e-06	9.323061041679205e-07
V_VAL_1	4.5355328509575833e-07	0.0	0.0	5.285722509073272e-06	5.73927579416903e-06	1.4348189485422575e-06
V_VAL_2	2.134314661892062e-06	0.0	0.0	3.0282883751554654e-06	5.162603037047527e-06	1.2906507592618818e-06
V_VAL_3	1.142656011011172e-06	1.906697658083111e-05	0.0	3.1441270870607448e-06	2.3353759678903027e-05	5.838439919725757e-06
V_VAL_4	3.3832975243149593e-07	6.736987394858991e-05	0.0	8.11061646380899e-06	7.581882016483039e-05	1.8954705041207598e-05
