feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
Total_Operands	0.050022146719732444	0.12152586930798186	0.12572221245588103	0.21248953607777493	0.5097597645613703	0.12743994114034257
DistinctOperands	0.03240485809772853	0.005859898114551761	0.0	0.007415469613678176	0.045680225825958466	0.011420056456489617
ProgramLength	0.03998872166553695	0.021174428758396934	0.0019170602104290955	0.028294098734124577	0.09137430936848756	0.02284357734212189
VocabularySize	0.0374076654290476	0.23463843535410842	0.490849197267875	0.13951361547135294	0.9024089135223841	0.22560222838059601
ProgramVolume	0.04200303062046157	0.01200279232849904	0.0035973096883024974	0.027254512172400585	0.0848576448096637	0.021214411202415923
Effort	0.022079870518757705	0.005046256793073995	0.005239032803421395	0.010398184230448826	0.04276334434570192	0.01069083608642548
ProgramLevel	0.014524935711728453	0.0001696124157294671	0.0	2.4985300610281898e-05	0.014719533428068202	0.0036798833570170506
ProgramLevel.1	0.01218126154106455	0.0007445125888271512	0.0	2.588891592278048e-05	0.012951663045814481	0.0032379157614536203
DifficultyLevel	0.015459992495218637	0.027038241903894217	0.0	0.011916862513396227	0.054415096912509085	0.013603774228127271
TimeToImplement	0.024818863029665725	0.0069583660185554164	0.0066823455332982815	0.009772455255002019	0.04823202983652144	0.01205800745913036
BugsDelivered	0.04549815085617523	0.010728518276527276	0.0	0.03278535117699839	0.0890120203097009	0.022253005077425225
Sloc	0.011179135550549016	0.038111339242259026	0.02088159998143692	0.03652519276972482	0.10669726754396977	0.026674316885992443
DecisionPoint	0.016156803034641995	0.003932213490633226	0.0012531143994391424	0.0027751740935164407	0.0241173050182308	0.0060293262545577
GlobalVariables	0.03510742589471661	0.0037587791397518497	0.0004500430619919111	0.002086134284534946	0.04140238238099532	0.01035059559524883
If	0.013016024676761252	0.004611951691414854	0.0019906744516360823	0.0026903462094184597	0.022308997029230643	0.005577249257307661
Loop	0.02518417515675635	0.022317422584566624	0.006902788266378451	0.004014099776344181	0.05841848578404561	0.014604621446011403
Goto	0.005499399934606266	0.0004029354852011825	0.0	4.1306945554671725e-05	0.00594364236536212	0.00148591059134053
Assignment	0.02813644656138911	0.016199823451147	0.0003684690664604115	0.0022961093648880527	0.04700084844388457	0.011750212110971143
ExitPoint	0.0014639613237371635	0.001126156103343227	0.001025860432938228	0.0021543060667049843	0.0057702839267236026	0.0014425709816809006
Function	0.0029715066751309954	0.0022068030159813415	0.00039581457449379447	0.0013378732495998638	0.006911997515205995	0.0017279993788014987
FunctionCall	0.0020022862078755334	0.0005661630870871829	0.001983820916706722	0.002065998962061378	0.006618269173730816	0.001654567293432704
PointerDereferencing	0.13250277923007098	0.20375677836538783	0.15382163423349132	0.1432818401253133	0.6333630319542634	0.15834075798856584
CyclomaticComplexity	0.008593241831476531	0.00920095628281009	0.0029752964194724864	0.002830211455566738	0.023599705989325842	0.0058999264973314605
SCALAR_INPUT	0.01141649409122501	0.001306927472181001	0.0005365417966785901	0.0017328418913570606	0.01499280525144166	0.003748201312860415
RANGE_SCALAR_VALUES	0.023720998552115836	0.0015403377300537966	0.001058950855447308	0.0024346769394623866	0.02875496407707933	0.0071887410192698325
SCALAR_INDEX_INPUT	0.000563881373756357	0.0	0.00047320831263605	0.0026102871565625535	0.0036473768429549605	0.0009118442107387401
RANGE_SCALAR_INDEX_VALUES	0.00026232396646775225	0.0	0.00139383897724884	0.0009500103124365635	0.002606173256153156	0.000651543314038289
ARRAY_INPUT	0.00531830068977524	0.0011368502046425442	0.002325812153019585	0.0036275948932700556	0.012408557940707426	0.0031021394851768564
RANGE_ARRAY_INPUT	0.004388503082852319	6.483537139746054e-05	0.0005517596617281706	0.0026316078014779493	0.007636705917455899	0.0019091764793639748
cInstr	0.08183899139732048	0.10216406157618674	0.0002486056368300914	0.0913501297440188	0.2756017883543561	0.06890044708858903
SS_VAL_1	0.0	0.0	0.0	0.0	0.0	0.0
SV_VAL_1	0.0005089680307958934	0.0022836666423368904	0.0016635375707581095	0.0030217564414114968	0.0074779286853023895	0.0018694821713255974
V_VAL_1	0.004706451982603415	0.0034524143565281477	0.009789085395262312	0.00657595881989653	0.024523910554290405	0.006130977638572601
V_VAL_2	0.005255376897924055	0.0008146709000716831	0.01405131724164925	0.007120126909408632	0.02724149194905362	0.006810372987263405
V_VAL_3	0.004700388642453583	0.0035150495880987495	0.010615442671119909	0.005716754986625301	0.02454763588829754	0.006136908972074385
V_VAL_4	0.0037736638264896593	1.690898612717582e-05	0.0	0.005738782175195513	0.009529354987812348	0.002382338746953087
V_VAL_5	0.00422603156197526	0.0017994739199924574	0.0	0.006239385360127129	0.012264890842094846	0.0030662227105237114
V_VAL_6	0.005246506872322392	0.0016697746609132696	0.0	0.0061891268468725	0.013105408380108163	0.0032763520950270407
V_VAL_7	0.005261824274919248	0.005582547342895197	0.0	0.0068019627639216524	0.017646334381736097	0.004411583595434024
V_VAL_8	0.0062359334138909605	0.012102251645138198	0.0050267455034449585	0.009405085848224203	0.03277001641069832	0.00819250410267458
V_VAL_9	0.009626879759578533	0.0014409467424856054	0.0	0.016650610448396625	0.027718436950460765	0.006929609237615191
V_VAL_10	0.010201150703919493	0.0020287561116439133	0.0	0.017525610313811796	0.029755517129375204	0.007438879282343801
V_VAL_11	0.012503581477577623	0.0032923255320706914	0.0	0.01586339817259566	0.031659305182243976	0.007914826295560994
V_VAL_12	0.010385975241726884	0.0018065901254044594	0.0	0.012201531631619238	0.02439409699875058	0.006098524249687645
V_VAL_13	0.012265216966813455	0.0009023083174547886	0.0	0.010596877834402833	0.023764403118671076	0.005941100779667769
V_VAL_14	0.014354135933202805	0.009189955931123305	0.0	0.009010395457603028	0.032554487321929136	0.008138621830482284
V_VAL_15	0.01045612290191456	0.0002788451608941939	0.0	0.011509557445136813	0.02224452550794557	0.005561131376986392
V_VAL_16	0.00663571039470073	0.0002866598487363069	0.0	0.00541201576433687	0.012334386007773906	0.0030835965019434764
V_VAL_17	0.008773410767832081	4.0982806260507503e-05	0.0	0.007165715402363879	0.015980108976456468	0.003995027244114117
V_VAL_18	0.009573873934505612	0.0022541109141901725	0.0	0.005264107327141429	0.017092092175837213	0.004273023043959303
V_VAL_19	0.009617428036779188	0.0	0.0	0.005620367916925488	0.015237795953704676	0.003809448988426169
V_VAL_20	0.01176514808064404	0.0022458083686640084	0.0	0.007299482488771473	0.02131043893807952	0.00532760973451988
V_VAL_21	0.010908161521070499	0.010891136947749099	0.0	0.006598565571870825	0.02839786404069042	0.007099466010172605
V_VAL_22	0.009826522819357914	2.1658381175050188e-05	0.0	0.0026754569194117504	0.012523638119944714	0.0031309095299861785
V_VAL_23	0.009347837534673387	0.0010868244641170054	0.0	0.004073562263700425	0.014508224262490817	0.0036270560656227043
V_VAL_24	0.004797322672706935	0.00374177073165547	0.0	0.0022139474813038405	0.010753040885666247	0.0026882602214165618
V_VAL_25	0.0043407728569040795	2.2929551647510593e-05	0.0	0.001967174198782728	0.006330876607334317	0.0015827191518335794
V_VAL_26	0.002873663767608657	0.001013850392714834	0.0	0.0009838617649582998	0.004871375925281791	0.0012178439813204478
V_VAL_27	0.0017508265501416057	0.00018328454374432084	0.0	0.0012792091018177972	0.0032133201957037236	0.0008033300489259309
V_VAL_28	0.0003307791948319078	0.0	0.0	0.0002531536272670668	0.0005839328220989745	0.00014598320552474363
M_VAL_1	0.010092584485284984	0.06497610235138337	0.11788152285892804	0.0003876667188868611	0.19333787641448325	0.04833446910362081
M_VAL_2	0.0013673340959751417	0.0	0.0	3.9504879322914856e-05	0.0014068389752980566	0.00035170974382451415
M_VAL_3	0.005851189767996995	0.0	0.0	0.0035959415425640654	0.00944713131056106	0.002361782827640265
M_VAL_4	0.00023785215715852882	6.639617996374057e-08	0.0	1.5737639435210678e-05	0.00025365619277370325	6.341404819342581e-05
M_VAL_5	2.035686712179708e-05	0.0	0.0	1.1151336587942799e-05	3.150820370973988e-05	7.87705092743497e-06
M_VAL_6	0.0060652645030267825	0.0010069260062619875	0.008327357601596077	0.0034762183859377766	0.018875766496822623	0.004718941624205656
M_VAL_7	9.867794222804584e-06	0.0	0.0	2.883007466212725e-06	1.2750801689017309e-05	3.187700422254327e-06
M_VAL_8	0.0001652163024242968	0.0	0.0	1.026329599961463e-05	0.00017547959842391142	4.3869899605977856e-05
M_VAL_9	0.0029878519350823966	1.8305719554896185e-05	0.0	0.00025537345963976986	0.003261531114277063	0.0008153827785692657
M_VAL_10	0.0001138794378468288	9.610543794337283e-05	0.0	0.00018434752921066183	0.0003943324050008634	9.858310125021585e-05
M_VAL_11	0.0002227498234293209	0.0007738354119421363	0.0	0.00013818670221139767	0.001134771937582855	0.00028369298439571375
M_VAL_12	5.534913114020524e-05	0.0	0.0	2.023107581109947e-05	7.55802069513047e-05	1.8895051737826176e-05
M_VAL_13	1.8886126704943265e-05	0.0	0.0	1.834633662478349e-05	3.723246332972676e-05	9.30811583243169e-06
M_VAL_14	0.0034503411898606025	0.0020701194720025174	0.0	0.0006215334996758554	0.0061419941615389745	0.0015354985403847436
M_VAL_15	1.0623721113578211e-05	0.0	0.0	1.710823470735404e-06	1.2334544584313616e-05	3.083636146078404e-06
M_VAL_16	4.578239439995585e-05	0.0	0.0	1.8650062334897754e-05	6.443245673485361e-05	1.6108114183713404e-05
M_VAL_17	0.003566323443547088	0.000535512511403332	0.0	0.0005163900327887892	0.004618225987739209	0.0011545564969348023
M_VAL_18	0.0019730906399537456	7.312558356257398e-05	0.0	5.177382902817319e-05	0.0020979900525444927	0.0005244975131361232
M_VAL_19	0.0014719413808618354	0.0	0.0	0.0008689615606447132	0.0023409029415065487	0.0005852257353766372
M_VAL_20	0.0001259130586390342	0.0	0.0	0.0001499592265394977	0.0002758722851785319	6.896807129463298e-05
M_VAL_21	1.4161065377265491e-05	0.0	0.0	1.5925108989800208e-05	3.0086174367065697e-05	7.521543591766424e-06
