id,depth,MSE,NRMSE,MAE,R2
"multi, feature: Assembly",2,4421281962.23,17350.965567262432,29578.41,0.93
"multi, feature: Clock",2,292696.91,498.64980692053985,423.66,0.15
"multi, feature: text",2,30148.81,157.0194632485585,118.54,0.18
"multi, feature: data",2,3358.9,51.58222392651118,29.62,0.21
"multi, feature: Assembly",4,4421281962.23,17350.965567262432,29578.41,0.93
"multi, feature: Clock",4,292696.91,498.64980692053985,423.66,0.15
"multi, feature: text",4,30148.81,157.0194632485585,118.54,0.18
"multi, feature: data",4,3358.9,51.58222392651118,29.62,0.21
"multi, feature: Assembly",8,4421281962.23,17350.965567262432,29578.41,0.93
"multi, feature: Clock",8,292696.91,498.64980692053985,423.66,0.15
"multi, feature: text",8,30148.81,157.0194632485585,118.54,0.18
"multi, feature: data",8,3358.9,51.58222392651118,29.62,0.21
"multi, feature: Assembly",16,4421281962.23,17350.965567262432,29578.41,0.93
"multi, feature: Clock",16,292696.91,498.64980692053985,423.66,0.15
"multi, feature: text",16,30148.81,157.0194632485585,118.54,0.18
"multi, feature: data",16,3358.9,51.58222392651118,29.62,0.21
Single:assemblyInstr,2,1411210035.49,10855.667260874485,18155.07,0.92
Single:assemblyInstr,4,63450487.95,488.0899139058078,4401.19,1.0
Single:assemblyInstr,8,195593.23,1.504591782910928,243.3,1.0
Single:assemblyInstr,16,155829.22,1.1987089939126179,57.07,1.0
Single:clockCycles,2,4421281962.23,17350.965567262432,29578.41,0.93
Single:clockCycles,4,277604969.54,1089.438382111244,8940.81,1.0
Single:clockCycles,8,3210029.95,12.597504436075079,1031.55,1.0
Single:clockCycles,16,488411.63,1.9167321711611007,131.52,1.0
Single:text,2,21505.49,36.63758676588558,110.03,0.94
Single:text,4,891.99,1.5196287561595794,19.55,1.0
Single:text,8,28.5,0.048553705255157585,1.51,1.0
Single:text,16,17.85,0.030409952238756595,0.29,1.0
Single:data,2,1936.96,10.087974269429802,25.86,0.95
Single:data,4,424.35,2.210077586131121,12.09,0.99
Single:data,8,9.22,0.04801912417610213,1.24,1.0
Single:data,16,3.62,0.0188534956092722,0.21,1.0
Single:bss,2,467.45,7.178573513485859,10.6,0.89
Single:bss,4,24.84,0.3814648969408252,2.2,0.99
Single:bss,8,0.1,0.0015356879909050934,0.1,1.0
Single:bss,16,0.04,0.0006142751963620374,0.03,1.0
