id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,34.96,0.059511934305555195,1.82,1.0,0.19633746147155762
"multi, feature: data",8,20.54,0.10766363782384428,2.4,1.0,0.19633746147155762
"multi, feature: bss",8,5.31,0.08133398386564786,0.71,1.0,0.19633746147155762
"multi, feature: text",10,0.55,0.000936257547713254,0.05,1.0,0.20985698699951172
"multi, feature: data",10,0.7,0.003669160003733739,0.38,1.0,0.20985698699951172
"multi, feature: bss",10,0.28,0.004288797642633032,0.12,1.0,0.20985698699951172
"multi, feature: text",12,0.0,0.0,0.0,1.0,0.21290874481201172
"multi, feature: data",12,0.07,0.0003669160003733739,0.1,1.0,0.21290874481201172
"multi, feature: bss",12,0.03,0.00045951403313925345,0.04,1.0,0.21290874481201172
"multi, feature: text",14,0.0,0.0,0.0,1.0,0.21770501136779785
"multi, feature: data",14,0.02,0.00010483314296382112,0.03,1.0,0.21770501136779785
"multi, feature: bss",14,0.01,0.00015317134437975116,0.01,1.0,0.21770501136779785
"multi, feature: text",16,0.0,0.0,0.0,1.0,0.2310802936553955
"multi, feature: data",16,0.01,5.241657148191056e-05,0.01,1.0,0.2310802936553955
"multi, feature: bss",16,0.0,0.0,0.0,1.0,0.2310802936553955
Single:assemblyInstr,8,118329.1,0.7885315403292031,221.67,1.0,0.2141551971435547
Single:assemblyInstr,10,24937.56,0.16618103745276455,82.5,1.0,0.24724149703979492
Single:assemblyInstr,12,3328.08,0.02217794311575778,28.72,1.0,0.2791435718536377
Single:assemblyInstr,14,500.85,0.0033376069113504737,9.04,1.0,0.292438268661499
Single:assemblyInstr,16,102.02,0.0006798495699230814,2.81,1.0,0.3061249256134033
Single:clockCycles,8,380030.49,1.2886681251085517,412.53,1.0,0.20212793350219727
Single:clockCycles,10,67446.29,0.2287076599559884,154.23,1.0,0.2505156993865967
Single:clockCycles,12,12688.4,0.04302585468504737,55.95,1.0,0.26587533950805664
Single:clockCycles,14,1876.35,0.006362627473778303,18.31,1.0,0.2899894714355469
Single:clockCycles,16,267.01,0.0009054201837469261,5.6,1.0,0.2987830638885498
Single:text,8,22.98,0.03911854262991014,1.43,1.0,0.1728191375732422
Single:text,10,3.83,0.006519757104985023,0.37,1.0,0.18964052200317383
Single:text,12,0.83,0.0014128977538218194,0.12,1.0,0.1849057674407959
Single:text,14,0.06,0.00010213718702326405,0.01,1.0,0.19234013557434082
Single:text,16,0.01,1.7022864503877343e-05,0.0,1.0,0.18438029289245605
Single:data,8,6.23,0.03265552403323028,1.12,1.0,0.20357012748718262
Single:data,10,1.09,0.005713406291528251,0.42,1.0,0.22223591804504395
Single:data,12,0.27,0.0014152474300115853,0.18,1.0,0.22765612602233887
Single:data,14,0.06,0.00031449942889146335,0.07,1.0,0.24632620811462402
Single:data,16,0.02,0.00010483314296382112,0.03,1.0,0.25501346588134766
Single:bss,8,0.05,0.0007658567218987558,0.05,1.0,0.17230916023254395
Single:bss,10,0.01,0.00015317134437975116,0.01,1.0,0.17316627502441406
Single:bss,12,0.0,0.0,0.0,1.0,0.17794251441955566
Single:bss,14,0.0,0.0,0.0,1.0,0.18056106567382812
Single:bss,16,0.0,0.0,0.0,1.0,0.1803281307220459
