id,MSE,NRMSE,MAE,R2,time
Single:assemblyInstr,37403362.09,287.7236152491378,1375.37,1.0,0.017192363739013672
"Single, featureRemoved:assemblyInstr",158.2,23.619249184485827,6.76,-2.53,0.014888286590576172
Single:clockCycles,19304607.53,75.75938006306245,1139.44,1.0,0.01578497886657715
"Single, featureRemoved:clockCycles",6.6,11.508516235637888,1.4,-19.06,0.01503443717956543
Single:text,524864.18,894.1789717442098,385.32,-0.52,0.02565765380859375
"Single, featureRemoved:text",1.83,4.574999999999968,0.7,-10.45,0.0
Single:data,45792.66,238.49494868698753,107.19,-0.24,0.011700153350830078
"Single, featureRemoved:data",2.57,5.811631166736288,0.76,-12.16,0.0029449462890625
Single:bss,7139.64,109.64259407385642,33.47,-0.68,0.012727022171020508
"Single, featureRemoved:bss",22.41,16.89217307996901,2.24,-11.73,0.002075672149658203
