id,depth,RMSE,NRMSE,RMSPE,MAE,R2,time,MAPE
"multi, feature: text",8,179643.4,44.29627768302219,13.535295628165139,33.22,0.99,0.4556901454925537,17.990431920435576
"multi, feature: data",8,3598.38,11.184582424676353,317.1625167675291,15.26,0.97,0.4556901454925537,17.990431920435576
"multi, feature: bss",8,173.18,0.9116175716323955,60.774554759008836,1.44,1.0,0.4556901454925537,17.990431920435576
"multi, feature: text",10,111288.78,27.441468497505426,9.984763799454718,22.63,0.99,0.527435302734375,14.079882272149757
"multi, feature: data",10,3051.22,9.483884855357406,299.0520050834899,13.56,0.97,0.527435302734375,14.079882272149757
"multi, feature: bss",10,107.19,0.5642469540551823,43.66450814452564,1.09,1.0,0.527435302734375,14.079882272149757
"multi, feature: text",12,62670.85,15.453311250126813,9.032475517013516,17.77,1.0,0.5442473888397217,7.405831172253144
"multi, feature: data",12,2306.87,7.1702759736362305,250.86080442685184,10.72,0.98,0.5442473888397217,7.405831172253144
"multi, feature: bss",12,59.64,0.3139442890181087,37.775932046286655,0.66,1.0,0.5442473888397217,7.405831172253144
"multi, feature: text",14,7348.21,1.8119137726916796,7.402705649782377,5.51,1.0,0.5635874271392822,3.687545834407355
"multi, feature: data",14,1340.27,4.165863607045664,184.00135662051272,7.57,0.99,0.5635874271392822,3.687545834407355
"multi, feature: bss",14,7.89,0.041532871233280984,34.21248827308807,0.32,1.0,0.5635874271392822,3.687545834407355
"multi, feature: text",16,152.99,0.037724110781278714,0.8295655566484608,2.18,1.0,0.5879895687103271,2.6447410367631226
"multi, feature: data",16,728.1,2.263100190476507,155.38274208178717,5.03,0.99,0.5879895687103271,2.6447410367631226
"multi, feature: bss",16,1.12,0.005895667399401104,9.359970698654674,0.21,1.0,0.5879895687103271,2.6447410367631226
Single:assemblyInstr,8,248658943.65,1678.1576330289006,131.6608588679778,4716.69,0.99,0.49915289878845215,51.32033490074011
Single:assemblyInstr,10,52030913.24,351.1479334926809,73.88397423280924,1950.53,1.0,0.5827627182006836,21.77598346444055
Single:assemblyInstr,12,12408230.8,83.7410749187195,34.012796629767486,775.35,1.0,0.6684145927429199,10.995586941978244
Single:assemblyInstr,14,1368650.73,9.236794927967502,14.290305771799403,230.88,1.0,0.7167861461639404,5.306984372967196
Single:assemblyInstr,16,85294.65,0.5756393309363619,8.454787109648047,65.54,1.0,0.8007075786590576,2.2669490245611836
Single:clockCycles,8,436112074.34,2211.3369532320553,128.46925948289197,6118.54,0.99,0.49973607063293457,48.835329402708055
Single:clockCycles,10,77615192.66,393.553294576924,44.030892246385164,2373.16,1.0,0.588172197341919,19.037277092222276
Single:clockCycles,12,14646140.97,74.26428813790908,15.891190189047077,836.83,1.0,0.6354355812072754,7.5835760880074
Single:clockCycles,14,1304053.53,6.612295163452701,7.4882579525789525,198.6,1.0,0.7019262313842773,3.1964853368074495
Single:clockCycles,16,29730.29,0.15074952695772098,3.133829916410496,36.49,1.0,0.7492790222167969,1.0136972061971161
Single:text,8,189130.52,46.63560159880286,15.990495798173775,51.25,0.99,0.435821533203125,3.817326672424847
Single:text,10,93140.55,22.966497329428258,7.635681951248399,27.27,0.99,0.4671759605407715,2.1126024561813095
Single:text,12,45685.97,11.265197682398693,9.376950393419888,15.07,1.0,0.5052981376647949,1.1606189567816037
Single:text,14,279.54,0.06892867460486733,1.5472779927323768,2.76,1.0,0.5068392753601074,0.19241864187637034
Single:text,16,124.57,0.03071633753855735,0.7790699352044225,1.72,1.0,0.5295615196228027,0.1057180340684958
Single:data,8,8516.62,26.47158954019507,479.785207642508,27.22,0.92,0.5050158500671387,187.0907666628468
Single:data,10,3417.36,10.621931145346514,326.7220414510739,16.71,0.97,0.5742919445037842,74.95143507741568
Single:data,12,2750.11,8.547966577161581,274.8946982919878,12.72,0.97,0.6754989624023438,40.25822861984021
Single:data,14,1827.39,5.679943218067387,202.62200561182695,9.7,0.98,0.6938197612762451,28.082473482982156
Single:data,16,973.38,3.0254861466914194,169.71219224489022,6.52,0.99,0.7202138900756836,20.93060661592812
Single:bss,8,1479.18,7.786386878434039,55.44159390268326,7.08,0.96,0.49163079261779785,34.499035409935175
Single:bss,10,378.23,1.9909984647102492,47.94062240580787,3.72,0.99,0.5483758449554443,31.808707164913546
Single:bss,12,191.28,1.0068957679977169,31.802360330658068,1.5,0.99,0.611138105392456,11.761916464341535
Single:bss,14,82.47,0.43412115216840086,42.96280335765007,0.87,1.0,0.6509718894958496,9.094762896877832
Single:bss,16,47.75,0.25135546278696663,39.17431561124525,0.63,1.0,0.6604199409484863,6.286622615731048
