id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,41729.7,10.28966485175192,13.97,1.0,2.4972689151763916
"multi, feature: data",8,964.76,2.9986932286280936,6.86,0.99,2.4972689151763916
"multi, feature: bss",8,52.89,0.2784123649592182,0.67,1.0,2.4972689151763916
"multi, feature: text",10,34047.97,8.395512073714977,12.21,1.0,3.0876853466033936
"multi, feature: data",10,864.48,2.6870002096733017,6.61,0.99,3.0876853466033936
"multi, feature: bss",10,41.47,0.21829761344032475,0.62,1.0,3.0876853466033936
"multi, feature: text",12,36307.04,8.952551141253139,14.46,1.0,3.898202419281006
"multi, feature: data",12,841.4,2.6152623269701043,6.69,0.99,3.898202419281006
"multi, feature: bss",12,44.82,0.23593197575103342,0.67,1.0,3.898202419281006
"multi, feature: text",14,45088.14,11.117785399580391,16.86,1.0,4.2085020542144775
"multi, feature: data",14,816.72,2.5385512808212782,6.55,0.99,4.2085020542144775
"multi, feature: bss",14,59.85,0.3150497266554964,0.77,1.0,4.2085020542144775
"multi, feature: text",16,31771.43,7.834165272237676,13.16,1.0,4.783998250961304
"multi, feature: data",16,767.07,2.3842278026491064,6.46,0.99,4.783998250961304
"multi, feature: bss",16,38.71,0.2037690044918006,0.63,1.0,4.783998250961304
Single:assemblyInstr,8,17047.9,0.1150534265615722,18.99,1.0,2.917249917984009
Single:assemblyInstr,10,16920.55,0.11419396270545994,18.98,1.0,3.778923511505127
Single:assemblyInstr,12,29307.67,0.19779256436486561,19.87,1.0,4.375661611557007
Single:assemblyInstr,14,9947.47,0.06713381173742469,17.08,1.0,5.034024000167847
Single:assemblyInstr,16,28092.97,0.1895947571719362,19.93,1.0,5.9125776290893555
Single:clockCycles,8,680137.29,3.448683976301822,58.59,1.0,3.055539131164551
Single:clockCycles,10,820908.88,4.1624762266157695,69.57,1.0,3.6266515254974365
Single:clockCycles,12,836868.53,4.243400754695071,75.38,1.0,4.324004173278809
Single:clockCycles,14,757114.49,3.839002284213715,73.01,1.0,5.181642532348633
Single:clockCycles,16,613581.37,3.1112075017623564,64.34,1.0,5.802346706390381
Single:text,8,5.15,0.0012698814989449336,0.2,1.0,1.6972768306732178
Single:text,10,22.9,0.00564665753899786,0.34,1.0,2.118701219558716
Single:text,12,10.29,0.0025372972085715272,0.22,1.0,2.4786300659179688
Single:text,14,10.42,0.0025693524697099433,0.27,1.0,2.981055974960327
Single:text,16,7.07,0.0017433130480661516,0.25,1.0,3.2413320541381836
Single:data,8,2.75,0.008547624672174693,0.57,1.0,2.949096202850342
Single:data,10,2.74,0.008516542400639513,0.57,1.0,3.5240530967712402
Single:data,12,2.96,0.009200352374413488,0.57,1.0,4.274387359619141
Single:data,14,2.47,0.007677321069189634,0.56,1.0,5.22057843208313
Single:data,16,2.66,0.008267884228358068,0.57,1.0,5.684905529022217
Single:bss,8,1.12,0.005895667399401104,0.02,1.0,1.4104132652282715
Single:bss,10,0.12,0.0006316786499358324,0.01,1.0,1.7232401371002197
Single:bss,12,4.13,0.021740273535291565,0.05,1.0,2.2436301708221436
Single:bss,14,0.47,0.002474074712248677,0.01,1.0,2.284006118774414
Single:bss,16,0.42,0.0022108752747754135,0.02,1.0,2.5338683128356934
