id,MSE,NRMSE,MAE,R2,time
Single:assemblyInstr,378771799.18,2412.6871658301243,4961.91,0.98,0.01282644271850586
"Single, featureRemoved:assemblyInstr",1225.09,180.5809944880309,22.5,-25.62,0.00521540641784668
Single:clockCycles,119491194.12,569.9230698661374,3038.56,1.0,0.014519691467285156
"Single, featureRemoved:clockCycles",9.96,17.36739722832627,1.77,-29.29,0.014024972915649414
Single:text,4689448.24,1156.2977689284603,821.42,0.71,0.01611328125
"Single, featureRemoved:text",27.28,68.19999999999952,2.96,-169.5,0.013026952743530273
Single:data,51729.14,160.66519291336473,78.86,0.5,0.03061962127685547
"Single, featureRemoved:data",0.79,1.6125807473322709,0.67,-2.31,0.0
Single:bss,3759.55,19.814598081610367,34.84,0.9,0.028404951095581055
"Single, featureRemoved:bss",14.84,10.097341050806621,2.65,-5.87,0.0013883113861083984
