id,kernel,RMSE,NRMSE,RMSPE,MAE,R2,time,MAPE
assemblyInstr,linear,45696198.53,308.3960031273208,987.397424491243,3184.89,1.0,1.3157246112823486,336.00800313527907
assemblyInstr,2,21784220739.69,147018.06328491727,2855.6186400017814,38151.87,0.01,9.915663957595825,1162.9289806453526
assemblyInstr,3,10461505816.38,70602.95351147694,2993.8880635339883,32043.28,0.52,9.831421375274658,1162.9289806453526
assemblyInstr,4,11182954600.96,75471.89072688814,3140.2032497484997,31891.65,0.49,10.44382095336914,1278.2962571940097
assemblyInstr,rbf,23278342972.52,157101.6444056955,3185.8562120055976,38837.24,-0.06,20.256351947784424,1304.999280223627
clockCycles,linear,80239595.96,406.86051613518845,251.79632213658613,3389.51,1.0,1.3110580444335938,114.50710331981773
clockCycles,2,40269190959.95,204187.76568216062,3360.835106297236,50862.47,-0.04,9.927700996398926,1368.5862585649854
clockCycles,3,32389644343.87,164233.97024271527,3439.430715872359,48495.96,0.17,9.669413566589355,1368.5862585649854
clockCycles,4,19316103698.99,97943.66268506189,3677.1565584721493,42238.19,0.5,10.484256744384766,1498.5451235725216
clockCycles,rbf,41128144881.12,208543.15196648074,3788.4535520783393,51264.62,-0.06,20.72199296951294,1547.9380292944945
text,linear,3654671.57,901.1650119345732,308.29257299046895,733.62,0.78,1.1997056007385254,97.43069117664356
text,2,18719447.91,4615.821470169417,131.57345959632016,1884.69,-0.14,9.143046379089355,87.68041667320121
text,3,18735793.4,4619.85192363392,130.42802802519313,1888.82,-0.14,9.268205165863037,87.68041667320121
text,4,18740249.91,4620.950805109427,130.20531544993125,1890.71,-0.14,10.174015283584595,87.35231019088405
text,rbf,18734302.55,4619.484311433395,136.21811837838356,1809.98,-0.14,19.304632663726807,77.33008872723826
data,linear,7640.15,23.74732168695006,791.0655674422951,38.43,0.93,1.3917434215545654,366.3776535722776
data,2,117468.73,365.119496275267,560.2132264649937,129.48,-0.13,10.240803241729736,308.31807393235454
data,3,117462.78,365.1010023237036,582.7383486974796,129.47,-0.13,11.660666704177856,308.31807393235454
data,4,117262.98,364.47997853843066,584.5705765304568,129.27,-0.13,43.98798656463623,318.1270463256943
data,rbf,116996.15,363.6506102870575,473.72161789093514,127.5,-0.13,19.473510265350342,248.4425234751473
bss,linear,3346.54,17.616148909635964,567.9464655375951,19.52,0.91,1.250929355621338,189.1635268546925
bss,2,44125.74,232.2773989218357,68.42979487031914,95.49,-0.22,10.568956136703491,54.9834957995971
bss,3,44145.5,232.38141533952515,65.64393989881727,95.54,-0.22,15.204704999923706,54.9834957995971
bss,4,44149.56,232.40278713384797,65.17232896190237,95.51,-0.22,96.18244814872742,53.462526279812295
bss,rbf,44109.22,232.19043782769455,69.75994974281485,93.81,-0.22,19.55811381340027,58.11882449979233
