id,epochs,MSE,MAE,RMSPE,RMSE,R2,time,MAPE
"Single, feature removed:assemblyInstr",150,20808658.0,1540.288818359375,38866.788922812666,20808658.0,1.0,17.231544256210327,4603.263789807204
"Single, feature removed:assemblyInstr",250,15523243.0,1141.7763671875,38436.26938255955,15523243.0,1.0,28.106247901916504,4599.694310544252
"Single, feature removed:assemblyInstr",500,12416023.0,1535.4090576171875,38677.26375154409,12416023.0,1.0,49.42605257034302,4689.888120712572
"Single, feature removed:assemblyInstr",1000,8140152.0,1144.7537841796875,38557.584054958905,8140152.0,1.0,145.78627490997314,4591.9568810954515
"Single, feature removed:assemblyInstr",1300,8959685.0,1024.5457763671875,38735.44011060669,8959685.0,1.0,541.7917885780334,4596.753347896069
"Single, feature removed:clockCycles",150,25799636.0,2276.61767578125,29207.993832128846,25799636.0,1.0,21.504803895950317,3620.5637706205453
"Single, feature removed:clockCycles",250,19385274.0,2150.3984375,29246.11197950282,19385274.0,1.0,25.818754196166992,3619.701205591501
"Single, feature removed:clockCycles",500,7425515.5,1169.9197998046875,29503.07648733157,7425515.5,1.0,46.56242632865906,3736.2951781764864
"Single, feature removed:clockCycles",1000,12255150.0,1681.63720703125,29727.61425172934,12255150.0,1.0,100.68426728248596,3813.3478732984527
"Single, feature removed:clockCycles",1300,8425186.0,1348.932373046875,29630.287771882366,8425186.0,1.0,129.92281246185303,3772.528618928458
"Single, feature removed:text",150,316763.25,432.1583251953125,130.39946876028367,316763.25,-0.8,15.144190311431885,82.77483619235056
"Single, feature removed:text",250,632843.375,701.819580078125,109.66638093483911,632843.375,-2.59,24.121256113052368,101.37739206942224
"Single, feature removed:text",500,158255.21875,255.53187561035156,109.03685596890791,158255.21875,0.1,42.70204138755798,71.20034133182848
"Single, feature removed:text",1000,99284.34375,186.3726043701172,103.353727924217,99284.34375,0.44,83.71675777435303,67.95958823518346
"Single, feature removed:text",1300,146046.25,232.2883758544922,85.44995677109087,146046.25,0.17,166.61413192749023,60.74903170073568
"Single, feature removed:data",150,2293.548828125,26.402629852294922,4958.38706077791,2293.548828125,0.94,13.72826862335205,1601.914808507481
"Single, feature removed:data",250,82405.3046875,173.62753295898438,10917.431058272456,82405.3046875,-1.25,33.95558714866638,3995.249503308917
"Single, feature removed:data",500,1757.16064453125,23.6524715423584,5585.703426379668,1757.16064453125,0.95,39.75287914276123,1766.2609686865178
"Single, feature removed:data",1000,3276.755615234375,31.822391510009766,6010.814568345107,3276.755615234375,0.91,76.8426148891449,1867.2534686579581
"Single, feature removed:data",1300,853.89892578125,15.577580451965332,5599.99378313696,853.89892578125,0.98,99.45119023323059,1683.993248786748
"Single, feature removed:bss",150,4830.0546875,26.187576293945312,89.80920648782212,4830.0546875,-0.13,12.360499858856201,89.03705069043568
"Single, feature removed:bss",250,17179.431640625,62.97675704956055,753.7124739285334,17179.431640625,-3.02,19.701757431030273,395.4634639806116
"Single, feature removed:bss",500,411.0046691894531,11.923386573791504,470.65919302591215,411.0046691894531,0.9,39.09059262275696,214.50754893768013
"Single, feature removed:bss",1000,81.01256561279297,7.133861541748047,562.5713589298584,81.01256561279297,0.98,77.75358653068542,230.1675685386875
"Single, feature removed:bss",1300,198.87820434570312,7.381046295166016,536.7048225921554,198.87820434570312,0.95,100.31072187423706,226.67999716822155
