id,depth,MSE,NRMSE,MAE,R2
"multi, feature: Assembly",2,2349678112.9,12486.928286800416,24319.29,0.93
"multi, feature: Clock",2,161520.05,384.23348258691766,349.09,0.09
"multi, feature: text",2,28407.12,150.242942836722,113.8,0.21
"multi, feature: data",2,3078.75,46.722154628341045,28.58,0.29
"multi, feature: Assembly",4,2349678112.9,12486.928286800416,24319.29,0.93
"multi, feature: Clock",4,161520.05,384.23348258691766,349.09,0.09
"multi, feature: text",4,28407.12,150.242942836722,113.8,0.21
"multi, feature: data",4,3078.75,46.722154628341045,28.58,0.29
"multi, feature: Assembly",8,2349678112.9,12486.928286800416,24319.29,0.93
"multi, feature: Clock",8,161520.05,384.23348258691766,349.09,0.09
"multi, feature: text",8,28407.12,150.242942836722,113.8,0.21
"multi, feature: data",8,3078.75,46.722154628341045,28.58,0.29
"multi, feature: Assembly",16,2349678112.9,12486.928286800416,24319.29,0.93
"multi, feature: Clock",16,161520.05,384.23348258691766,349.09,0.09
"multi, feature: text",16,28407.12,150.242942836722,113.8,0.21
"multi, feature: data",16,3078.75,46.722154628341045,28.58,0.29
Single:assemblyInstr,2,1183527082.84,8395.122244145557,17707.07,0.94
Single:assemblyInstr,4,45535293.05,322.99586306080414,4653.92,1.0
Single:assemblyInstr,8,293517.68,2.0820113372522795,321.37,1.0
Single:assemblyInstr,16,50117.89,0.3555016351286323,53.66,1.0
Single:clockCycles,2,2349678112.9,12486.928286800416,24319.29,0.93
Single:clockCycles,4,247259911.74,1314.0169154009488,8753.5,0.99
Single:clockCycles,8,2245499.65,11.933291178755923,946.67,1.0
Single:clockCycles,16,246126.6,1.307994140474343,110.53,1.0
Single:text,2,17981.26,42.774888635193214,99.47,0.9
Single:text,4,831.94,1.9790682550145344,18.56,1.0
Single:text,8,59.29,0.14104257138713336,2.35,1.0
Single:text,16,2.98,0.007089000889419083,0.06,1.0
Single:data,2,4265.63,22.560569471759422,32.7,0.88
Single:data,4,1475.72,7.8049628263269,16.79,0.96
Single:data,8,79.98,0.42300770257882625,3.24,1.0
Single:data,16,15.75,0.08330046656184688,0.37,1.0
Single:bss,2,508.91,7.723060239353322,11.2,0.88
Single:bss,4,28.28,0.42916850438960125,2.32,0.99
Single:bss,8,0.64,0.009712441400613323,0.16,1.0
Single:bss,16,0.22,0.0033386517314608296,0.03,1.0
