id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,163.43,0.38877698501938285,3.87,1.0,0.007496356964111328
"multi, feature: data",8,205.08,1.0846514084129244,5.5,0.99,0.007496356964111328
"multi, feature: bss",8,10.08,0.15297095205965983,1.05,1.0,0.007496356964111328
"multi, feature: text",10,51.33,0.12210685089056426,0.81,1.0,0.0040895938873291016
"multi, feature: data",10,139.1,0.7356885650001841,1.65,1.0,0.0040895938873291016
"multi, feature: bss",10,0.68,0.010319468988151656,0.16,1.0,0.0040895938873291016
"multi, feature: text",12,25.78,0.061326994271551666,0.24,1.0,0.011529922485351562
"multi, feature: data",12,128.26,0.678356688331586,0.92,1.0,0.011529922485351562
"multi, feature: bss",12,0.46,0.006980817256690826,0.1,1.0,0.011529922485351562
"multi, feature: text",16,40.93,0.09736671355836345,0.29,1.0,0.01599264144897461
"multi, feature: data",16,90.12,0.47663733628912003,0.59,1.0,0.01599264144897461
"multi, feature: bss",16,0.07,0.0010622982781920824,0.02,1.0,0.01599264144897461
Single:assemblyInstr,8,285792.64,2.0272152484417956,320.21,1.0,0.01563286781311035
Single:assemblyInstr,10,101394.39,0.7192216479558545,148.94,1.0,0.013597726821899414
Single:assemblyInstr,12,49127.64,0.34847748678188173,80.02,1.0,0.0025136470794677734
Single:assemblyInstr,16,40371.12,0.2863647925316535,50.25,1.0,0.015912771224975586
Single:clockCycles,8,657663.55,3.495030889808558,449.92,1.0,0.0
Single:clockCycles,10,192195.61,1.0213879024245733,198.87,1.0,0.015609025955200195
Single:clockCycles,12,161008.04,0.8556473493285919,112.7,1.0,0.015668392181396484
Single:clockCycles,16,68860.72,0.36594751753302723,70.81,1.0,0.0
Single:text,8,60.16,0.1431121790293463,2.38,1.0,0.016558408737182617
Single:text,10,11.71,0.027856443092314588,0.74,1.0,0.015442371368408203
Single:text,12,4.68,0.011133061799490371,0.12,1.0,0.0
Single:text,16,3.6,0.008563893691915672,0.08,1.0,0.015165328979492188
Single:data,8,79.62,0.42110369191455543,3.21,1.0,0.01606583595275879
Single:data,10,59.31,0.31368575693861195,1.3,1.0,0.0043828487396240234
Single:data,12,16.05,0.08488714211540586,0.5,1.0,0.011642694473266602
Single:data,16,36.84,0.19484375797704376,0.44,1.0,0.007271528244018555
Single:bss,8,0.09,0.0013658120719612485,0.07,1.0,0.0
Single:bss,10,0.03,0.0004552706906537495,0.02,1.0,0.015607357025146484
Single:bss,12,0.01,0.00015175689688458316,0.01,1.0,0.0
Single:bss,16,0.03,0.0004552706906537495,0.01,1.0,0.0015130043029785156
