id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,133.61,0.318125846679875,3.47,1.0,0.19366145133972168
"multi, feature: data",8,123.12,0.6439824588428011,5.13,1.0,0.19366145133972168
"multi, feature: bss",8,9.0,0.1376033688432863,0.99,1.0,0.19366145133972168
"multi, feature: text",10,11.37,0.027072007160767738,0.44,1.0,0.2106001377105713
"multi, feature: data",10,10.19,0.05329906802800636,1.15,1.0,0.2106001377105713
"multi, feature: bss",10,0.81,0.01238430319589577,0.17,1.0,0.2106001377105713
"multi, feature: text",12,0.18,0.0004285805882971146,0.06,1.0,0.2213733196258545
"multi, feature: data",12,1.23,0.006433547956275547,0.36,1.0,0.2213733196258545
"multi, feature: bss",12,0.5,0.007644631602404795,0.09,1.0,0.2213733196258545
"multi, feature: text",14,0.0,0.0,0.0,1.0,0.22429132461547852
"multi, feature: data",14,0.22,0.0011507158946183905,0.13,1.0,0.22429132461547852
"multi, feature: bss",14,0.0,0.0,0.0,1.0,0.22429132461547852
"multi, feature: text",16,0.0,0.0,0.0,1.0,0.2454819679260254
"multi, feature: data",16,0.02,0.00010461053587439914,0.02,1.0,0.2454819679260254
"multi, feature: bss",16,0.0,0.0,0.0,1.0,0.2454819679260254
Single:assemblyInstr,8,219646.45,1.4261640861148728,293.81,1.0,0.2105720043182373
Single:assemblyInstr,10,36164.54,0.23481630656386554,115.43,1.0,0.24286341667175293
Single:assemblyInstr,12,6604.91,0.042885671195782966,42.4,1.0,0.26041126251220703
Single:assemblyInstr,14,1119.43,0.007268457391046257,14.41,1.0,0.2829477787017822
Single:assemblyInstr,16,165.3,0.0010732926638913967,4.22,1.0,0.30395007133483887
Single:clockCycles,8,442013.03,2.142080335528703,405.96,1.0,0.20141148567199707
Single:clockCycles,10,65369.5,0.3167931961040686,153.38,1.0,0.2497410774230957
Single:clockCycles,12,11292.76,0.05472689148970363,54.3,1.0,0.26812124252319336
Single:clockCycles,14,2113.61,0.010242961430292727,19.48,1.0,0.28676438331604004
Single:clockCycles,16,336.44,0.0016304530843474837,5.73,1.0,0.2982137203216553
Single:text,8,46.2,0.11000235099625943,2.13,1.0,0.18307805061340332
Single:text,10,8.58,0.020429008042162463,0.68,1.0,0.19471454620361328
Single:text,12,0.11,0.0002619103595149034,0.04,1.0,0.20024752616882324
Single:text,14,0.0,0.0,0.0,1.0,0.20047473907470703
Single:text,16,0.0,0.0,0.0,1.0,0.19751858711242676
Single:data,8,54.29,0.28396529963105643,2.8,1.0,0.20023179054260254
Single:data,10,4.93,0.025786497093039384,0.78,1.0,0.21766042709350586
Single:data,12,0.52,0.0027198739327343774,0.22,1.0,0.23789715766906738
Single:data,14,0.14,0.000732273751120794,0.08,1.0,0.24759554862976074
Single:data,16,0.04,0.00020922107174879828,0.04,1.0,0.24710392951965332
Single:bss,8,0.08,0.0012231410563847672,0.07,1.0,0.17576241493225098
Single:bss,10,0.01,0.0001528926320480959,0.02,1.0,0.1794261932373047
Single:bss,12,0.0,0.0,0.0,1.0,0.1692333221435547
Single:bss,14,0.0,0.0,0.0,1.0,0.18971848487854004
Single:bss,16,0.0,0.0,0.0,1.0,0.1778707504272461
