id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,18.39,0.04374722360953589,0.44,1.0,0.019068479537963867
"multi, feature: data",8,68.36,0.36155046947097474,0.54,1.0,0.019068479537963867
"multi, feature: bss",8,0.17,0.002579867247037914,0.03,1.0,0.019068479537963867
"multi, feature: text",10,11.09,0.026381550289817996,0.34,1.0,0.02453136444091797
"multi, feature: data",10,64.87,0.3430921438645719,0.57,1.0,0.02453136444091797
"multi, feature: bss",10,0.21,0.0031868948345762462,0.03,1.0,0.02453136444091797
"multi, feature: text",12,12.81,0.030473188387066596,0.37,1.0,0.021799802780151367
"multi, feature: data",12,53.48,0.28285136201444894,0.47,1.0,0.021799802780151367
"multi, feature: bss",12,0.12,0.001821082762614998,0.02,1.0,0.021799802780151367
"multi, feature: text",16,14.85,0.03532606147915214,0.39,1.0,0.028638124465942383
"multi, feature: data",16,38.69,0.2046282572239908,0.48,1.0,0.028638124465942383
"multi, feature: bss",16,0.09,0.0013658120719612485,0.03,1.0,0.028638124465942383
Single:assemblyInstr,8,40777.62,0.28924822227460134,49.65,1.0,0.03423762321472168
Single:assemblyInstr,10,50012.61,0.35475485165178716,51.04,1.0,0.04157567024230957
Single:assemblyInstr,12,42019.11,0.29805449334858003,47.25,1.0,0.040416717529296875
Single:assemblyInstr,16,40219.45,0.2852889504920153,47.15,1.0,0.06299114227294922
Single:clockCycles,8,54866.89,0.2915799049190551,64.83,1.0,0.04039788246154785
Single:clockCycles,10,61190.34,0.3251847064625798,61.51,1.0,0.04721784591674805
Single:clockCycles,12,52706.25,0.2800975846022975,60.4,1.0,0.0476231575012207
Single:clockCycles,16,51549.78,0.27395173940054207,57.83,1.0,0.04942202568054199
Single:text,8,6.17,0.014677562244199914,0.38,1.0,0.031247377395629883
Single:text,10,4.6,0.010942753050781134,0.28,1.0,0.03173995018005371
Single:text,12,4.35,0.010348038211064768,0.27,1.0,0.01591348648071289
Single:text,16,5.92,0.014082847404483548,0.34,1.0,0.03126335144042969
Single:data,8,22.42,0.11857755303597504,0.83,1.0,0.03168940544128418
Single:data,10,27.65,0.14623859685302007,0.8,1.0,0.0359499454498291
Single:data,12,42.14,0.2228750260899192,0.86,1.0,0.027683734893798828
Single:data,16,20.66,0.10926905645509565,0.69,1.0,0.032135725021362305
Single:bss,8,0.02,0.00030351379376916633,0.01,1.0,0.01597309112548828
Single:bss,10,0.02,0.00030351379376916633,0.01,1.0,0.015844345092773438
Single:bss,12,0.02,0.00030351379376916633,0.01,1.0,0.031609535217285156
Single:bss,16,0.01,0.00015175689688458316,0.01,1.0,0.03536820411682129
