id,depth,RMSE,NRMSE,RMSPE,MAE,R2,time,MAPE
"multi, feature: text",8,9.42,0.022429050787549,0.565041122877141,0.19,1.0,2.257268190383911,0.11447760763984532
"multi, feature: data",8,10.34,0.05408364704706435,1.908751491153483,0.28,1.0,2.257268190383911,0.11447760763984532
"multi, feature: bss",8,0.37,0.005657027385779548,0.8216818605690271,0.02,1.0,2.257268190383911,0.11447760763984532
"multi, feature: text",10,2.3,0.005476307517129798,0.565041122877141,0.12,1.0,2.8305065631866455,0.11763637898990609
"multi, feature: data",10,9.63,0.05036997302352319,1.908751491153483,0.29,1.0,2.8305065631866455,0.11763637898990609
"multi, feature: bss",10,0.09,0.001376033688432863,0.8216818605690271,0.02,1.0,2.8305065631866455,0.11763637898990609
"multi, feature: text",12,4.83,0.011500245785972576,0.565041122877141,0.12,1.0,3.393148899078369,0.0853151282005031
"multi, feature: data",12,4.76,0.024897307538106993,1.908751491153483,0.19,1.0,3.393148899078369,0.0853151282005031
"multi, feature: bss",12,0.17,0.0025991747448176304,0.8216818605690271,0.02,1.0,3.393148899078369,0.0853151282005031
"multi, feature: text",14,4.29,0.010214504021081231,0.565041122877141,0.16,1.0,3.877955913543701,0.09934314848232054
"multi, feature: data",14,5.81,0.030389360671512947,1.908751491153483,0.26,1.0,3.877955913543701,0.09934314848232054
"multi, feature: bss",14,0.05,0.0007644631602404796,0.8216818605690271,0.02,1.0,3.877955913543701,0.09934314848232054
"multi, feature: text",16,2.07,0.0049286767654168175,0.565041122877141,0.12,1.0,4.3570568561553955,0.08985082235767788
"multi, feature: data",16,6.74,0.035253750589672506,1.908751491153483,0.25,1.0,4.3570568561553955,0.08985082235767788
"multi, feature: bss",16,0.02,0.0003057852640961918,0.8216818605690271,0.01,1.0,4.3570568561553955,0.08985082235767788
Single:assemblyInstr,8,313528.37,2.0357392585772986,1.2914463890211998,59.46,1.0,3.146291732788086,0.33943777822391835
Single:assemblyInstr,10,400798.37,2.602383243923954,1.5595881532157918,64.74,1.0,3.9061527252197266,0.33491155474725065
Single:assemblyInstr,12,587439.35,3.814242860472659,1.2183620481052695,62.24,1.0,4.639927864074707,0.3063007134139486
Single:assemblyInstr,14,796807.58,5.173670478808573,1.4132467557191637,67.37,1.0,5.543867349624634,0.2995698948424416
Single:assemblyInstr,16,194563.32,1.263299358852718,1.4108157196667517,52.21,1.0,6.321062326431274,0.2903851055902317
Single:clockCycles,8,1182187.68,5.729109348274866,1.1506867498608007,86.79,1.0,3.147610664367676,0.2961943499422912
Single:clockCycles,10,458884.51,2.2238427793626907,0.9544996369292853,69.58,1.0,4.105501413345337,0.2625548726162194
Single:clockCycles,12,1035339.22,5.017453408021988,1.0263199635291929,89.93,1.0,5.007675886154175,0.28516101152342277
Single:clockCycles,14,646144.07,3.131338698919083,0.9585542747605686,78.4,1.0,5.584719657897949,0.2677340883458763
Single:clockCycles,16,591894.28,2.868433760651626,1.3571885254631946,78.11,1.0,6.468450546264648,0.2571609493941554
Single:text,8,1.85,0.004404856046387012,0.13586832259052686,0.12,1.0,1.8307182788848877,0.011520530979490793
Single:text,10,1.31,0.0031191142814956676,0.10378339508924034,0.13,1.0,2.173408269882202,0.012032279319167328
Single:text,12,0.92,0.0021905230068519194,0.10156709117030134,0.1,1.0,2.507133960723877,0.011005964114832208
Single:text,14,0.77,0.0018333725166043238,0.095709572866018,0.09,1.0,2.973259449005127,0.010115342169980774
Single:text,16,0.77,0.0018333725166043238,0.09601951651496315,0.09,1.0,3.407362461090088,0.009853063863395623
Single:data,8,12.91,0.06752610090692464,1.837886583017543,0.55,1.0,2.5408997535705566,0.509670916169338
Single:data,10,11.39,0.05957570018047031,1.9230557011669265,0.52,1.0,3.186717987060547,0.47485245457744574
Single:data,12,12.8,0.06695074295961545,1.8063048786407618,0.57,1.0,3.7590410709381104,0.4958608746311887
Single:data,14,14.36,0.07511036475781857,1.637333666254121,0.54,1.0,4.24222469329834,0.47384683632433783
Single:data,16,14.45,0.07558111216925337,1.862948690430644,0.59,1.0,5.115757465362549,0.4853069154676298
Single:bss,8,0.02,0.0003057852640961918,0.9321003400745338,0.02,1.0,1.580141544342041,0.1750316052138405
Single:bss,10,0.02,0.0003057852640961918,1.079147988289956,0.02,1.0,1.9291460514068604,0.18618220318618753
Single:bss,12,0.03,0.0004586778961442877,0.9199931596738788,0.02,1.0,2.251829147338867,0.17920672153477332
Single:bss,14,0.02,0.0003057852640961918,0.9396166298427249,0.02,1.0,2.6615242958068848,0.17990552726424516
Single:bss,16,0.02,0.0003057852640961918,1.0087416632520247,0.02,1.0,2.9698681831359863,0.16749094885402874
