id,kernel,RMSE,NRMSE,RMSPE,MAE,R2,time,MAPE
assemblyInstr,linear,28532333.43,185.26040020642986,67.94154512800539,1714.52,1.0,1.1286616325378418,26.600459461186187
assemblyInstr,2,22045063573.79,143138.56629624157,773.0298980508022,34515.89,0.07,10.169508218765259,355.36519020029965
assemblyInstr,3,8402842002.84,54559.641122122455,741.1324243115014,26364.79,0.65,9.679494142532349,355.36519020029965
assemblyInstr,4,9620312367.03,62464.67445781719,792.146301542306,26464.87,0.59,10.850822925567627,382.7748777465025
assemblyInstr,rbf,24863099790.4,161436.07142550862,833.1484550935888,37183.39,-0.05,20.321873426437378,400.8791367775169
clockCycles,linear,52608441.04,254.95064485905485,56.19922354766802,2542.72,1.0,1.1872310638427734,22.33023434518556
clockCycles,2,42633880639.89,206612.0026959067,664.2872263357783,47148.66,-0.0,9.98599910736084,321.3976905569091
clockCycles,3,26492324296.46,128386.90958476049,634.2164492910264,42072.8,0.38,10.746218919754028,321.3976905569091
clockCycles,4,16596291916.58,80428.82934288125,659.4452767061167,34985.22,0.61,10.908531904220581,334.66104931834207
clockCycles,rbf,44627213445.03,216272.07765807386,693.9756694265792,49780.05,-0.05,20.688129901885986,350.77271176388837
text,linear,111438983.0,265336.58274094673,1841.4135625186912,5253.92,-630.77,1.068420648574829,855.9303245059917
text,2,163951.19,390.36831923449694,77.14204053891363,347.52,0.07,9.54692530632019,60.23411456794911
text,3,166991.5,397.60730728119444,85.75952697892241,348.37,0.05,9.665038108825684,60.23411456794911
text,4,166123.09,395.5396202329551,86.51630908472953,347.95,0.06,10.627269268035889,65.03898416964775
text,rbf,194594.62,463.33042621694676,56.28342361782117,330.73,-0.1,19.460604667663574,43.69694881979673
data,linear,57118.54,298.76005388814747,2503.5735259382,132.22,-0.56,1.1130473613739014,1173.929789038018
data,2,18242.76,95.41924497139703,402.4987643545896,66.51,0.5,9.91100287437439,218.58537183399395
data,3,23685.65,123.88842695166579,354.9958081215066,73.09,0.35,9.991765975952148,218.58537183399395
data,4,26035.1,136.17728812717039,367.59014863932407,75.67,0.29,13.995453596115112,222.31929370907415
data,rbf,10856.71,56.786312546644034,489.68169280159407,50.42,0.7,20.728286027908325,169.00987156900348
bss,linear,1519.48,23.231729654443853,159.84477464053398,23.02,0.64,1.154686689376831,101.28319885808492
bss,2,2900.88,44.35231784556762,89.93158971650774,19.73,0.32,10.548581600189209,84.81085805902394
bss,3,3257.87,49.81043191705254,90.75070565230982,20.69,0.24,13.356811046600342,84.81085805902394
bss,4,3429.38,52.43269344930941,91.64442157130063,21.01,0.2,66.223881483078,87.47013244011264
bss,rbf,2517.77,38.49484821917307,65.2634450495251,16.56,0.41,18.12199568748474,53.71826372619015
