id,depth,MSE,NRMSE,MAE,R2
"multi, feature: Assembly",2,35974107109.87,145023.14621719837,60622.56,0.42
"multi, feature: Clock",2,720362.15,837.7114582998497,632.03,0.03
"multi, feature: text",2,32675.17,172.89828143288867,123.56,0.09
"multi, feature: data",2,3032.2,46.220939078044516,28.43,0.3
"multi, feature: Assembly",4,35974107109.87,145023.14621719837,60622.56,0.42
"multi, feature: Clock",4,720362.15,837.7114582998497,632.03,0.03
"multi, feature: text",4,32675.17,172.89828143288867,123.56,0.09
"multi, feature: data",4,3032.2,46.220939078044516,28.43,0.3
"multi, feature: Assembly",8,35974107109.87,145023.14621719837,60622.56,0.42
"multi, feature: Clock",8,720362.15,837.7114582998497,632.03,0.03
"multi, feature: text",8,32675.17,172.89828143288867,123.56,0.09
"multi, feature: data",8,3032.2,46.220939078044516,28.43,0.3
"multi, feature: Assembly",16,35974107109.87,145023.14621719837,60622.56,0.42
"multi, feature: Clock",16,720362.15,837.7114582998497,632.03,0.03
"multi, feature: text",16,32675.17,172.89828143288867,123.56,0.09
"multi, feature: data",16,3032.2,46.220939078044516,28.43,0.3
Single:assemblyInstr,2,2444005352.05,11945.316334594614,22886.09,0.94
Single:assemblyInstr,4,75528858.41,369.1547178247746,5384.26,1.0
Single:assemblyInstr,8,224458.96,1.0970652249534294,314.68,1.0
Single:assemblyInstr,16,379530.18,1.8549910518088275,65.08,1.0
Single:clockCycles,2,35974107109.87,145023.14621719837,60622.56,0.42
Single:clockCycles,4,19384631194.17,78145.65613686302,40282.76,0.68
Single:clockCycles,8,4278970187.59,17249.89913658318,14789.44,0.93
Single:clockCycles,16,4247386622.98,17122.575673223622,8505.83,0.93
Single:text,2,99560.69,115.77944622609512,202.75,0.87
Single:text,4,20914.56,24.32160900916255,72.57,0.97
Single:text,8,1731.05,2.0130436057612893,9.56,1.0
Single:text,16,1921.51,2.234530151587981,3.16,1.0
Single:data,2,9479.0,50.1574378863936,49.98,0.73
Single:data,4,3587.13,18.981037046673602,26.75,0.9
Single:data,8,1117.36,5.912429032254536,13.28,0.97
Single:data,16,1929.27,10.208591643747503,15.94,0.95
Single:bss,2,2057.74,31.366887137542154,16.04,0.52
Single:bss,4,1798.2,27.410623524219925,14.58,0.58
Single:bss,8,1805.18,27.51702222970266,13.45,0.58
Single:bss,16,1991.92,30.36356868555453,11.58,0.54
