id,depth,RMSE,NRMSE,RMSPE,MAE,R2,time,MAPE
"multi, feature: text",8,1828.1,2.1270570624128777,0.3319263391104644,11.49,1.0,3.8427019119262695,1.1548508008769147
"multi, feature: data",8,3875.35,20.380001699308586,22.380510554975157,28.14,0.89,3.8427019119262695,1.1548508008769147
"multi, feature: bss",8,340.82,5.1372812401088,3.6208990177871763,5.67,0.92,3.8427019119262695,1.1548508008769147
"multi, feature: text",10,1673.73,1.947442271797115,0.3319263391104644,11.59,1.0,4.9453113079071045,1.1277021731225345
"multi, feature: data",10,3614.06,19.005908870528646,22.380510554975157,27.62,0.9,4.9453113079071045,1.1277021731225345
"multi, feature: bss",10,310.87,4.685835981200114,3.6208990177871763,5.55,0.93,4.9453113079071045,1.1277021731225345
"multi, feature: text",12,1616.23,1.880539049277154,0.3319263391104644,11.36,1.0,5.7690510749816895,1.1101343836824449
"multi, feature: data",12,3323.25,17.4765738958358,22.380510554975157,26.92,0.91,5.7690510749816895,1.1101343836824449
"multi, feature: bss",12,300.15,4.5242502324354685,3.6208990177871763,5.45,0.93,5.7690510749816895,1.1101343836824449
"multi, feature: text",14,1512.47,1.7598107298220038,0.3319263391104644,11.39,1.0,6.8913493156433105,1.0971255979549144
"multi, feature: data",14,3218.97,16.928177860070278,22.380510554975157,26.63,0.91,6.8913493156433105,1.0971255979549144
"multi, feature: bss",14,276.88,4.173494600555498,3.6208990177871763,5.35,0.94,6.8913493156433105,1.0971255979549144
"multi, feature: text",16,1482.4,1.7248232532798262,0.3319263391104644,10.99,1.0,7.68871545791626,1.0489611836610806
"multi, feature: data",16,3063.33,16.109685733041655,22.380510554975157,26.18,0.92,7.68871545791626,1.0489611836610806
"multi, feature: bss",16,250.73,3.7793278719924874,3.6208990177871763,5.13,0.94,7.68871545791626,1.0489611836610806
Single:assemblyInstr,8,592358686.44,2765.66932219889,121.36623015171774,3622.59,0.99,4.350569725036621,8.07309087606928
Single:assemblyInstr,10,474786887.4,2216.737188334424,98.85045249588448,3488.42,0.99,5.375392913818359,7.099543010970749
Single:assemblyInstr,12,507764704.3,2370.7076434003525,107.56323827137963,3574.17,0.99,6.432125806808472,7.610386195530284
Single:assemblyInstr,14,432505373.49,2019.3286104003569,110.92771949839431,3302.86,0.99,7.313632965087891,7.435368509883988
Single:assemblyInstr,16,503349234.92,2350.092214797852,69.65662536506483,3518.31,0.99,8.044453859329224,6.82415524844606
Single:clockCycles,8,1069899702.99,4118.824997902439,40.30425437394554,5117.42,0.98,4.179217338562012,4.905880372488731
Single:clockCycles,10,781719550.61,3009.409216025946,63.35789530152187,4388.05,0.99,5.405992031097412,5.49350312636191
Single:clockCycles,12,853432704.01,3285.4854950237473,52.035064043449395,4481.07,0.99,6.484643459320068,5.098011558269723
Single:clockCycles,14,663589703.0,2554.6411962062216,21.001735108042265,4123.02,0.99,7.472954511642456,4.190558024379529
Single:clockCycles,16,653447478.2,2515.5963689912573,35.143450743285875,4058.44,0.99,8.074157476425171,4.199311289358083
Single:text,8,2258.22,2.627516437548279,0.36312999396521367,12.24,1.0,2.8020012378692627,0.09340692155982808
Single:text,10,1677.75,1.9521196797019889,0.3195232943913623,12.0,1.0,3.451747417449951,0.09172321903568556
Single:text,12,1570.55,1.8273888022386877,0.3102859615554207,11.57,1.0,4.308572053909302,0.08858273892787896
Single:text,14,1520.74,1.7694331585218313,0.3048770626310665,11.38,1.0,5.1083762645721436,0.08721857745601165
Single:text,16,1430.42,1.6643427401217816,0.29613438838775474,11.23,1.0,5.765913248062134,0.08610718315378997
Single:data,8,3832.89,20.15670964255174,23.13596061081058,27.95,0.89,4.476466417312622,9.246366133648138
Single:data,10,3495.2,18.38083836025736,21.468778302210858,27.53,0.9,5.671454429626465,9.033609598435676
Single:data,12,3496.85,18.389515512722006,21.31842584461074,27.87,0.9,6.995122671127319,9.14227722288221
Single:data,14,3273.22,17.21347211534722,20.854529009916106,27.04,0.91,7.766297101974487,8.967040865151862
Single:data,16,3157.85,16.60675509725873,20.859251142331495,26.87,0.91,9.22967004776001,9.034913608171845
Single:bss,8,320.92,4.837322620666969,3.562543661746276,5.49,0.93,2.572622537612915,1.124946919846533
Single:bss,10,288.28,4.345330191592526,3.3837041678631072,5.35,0.93,3.2877357006073,1.1008386641486967
Single:bss,12,290.36,4.376682650308055,3.337277341039535,5.52,0.93,3.944308280944824,1.126403783816841
Single:bss,14,259.44,3.910616292863762,3.1939212319007324,5.2,0.94,4.324237585067749,1.0703494015602502
Single:bss,16,258.31,3.8935834667346527,3.2176655933285594,5.38,0.94,5.067164421081543,1.1106236637201625
