id,MSE,NRMSE,MAE,R2,time
Single:assemblyInstr,49925380.75,244.01520466540683,1676.21,1.0,0.026740312576293945
"Single, featureRemoved:assemblyInstr",62.48,8.922498921296002,4.29,-0.27,0.0039331912994384766
Single:clockCycles,23649775.36,95.33981815204444,1343.02,1.0,0.01603412628173828
"Single, featureRemoved:clockCycles",11.52,19.319627325598567,1.96,-31.41,0.014841556549072266
Single:text,29977388.27,34860.80111744143,1686.52,-39.54,0.021667957305908203
"Single, featureRemoved:text",4.55,10.289074633716009,1.06,-22.26,0.0
Single:data,20266.06,107.23637996116953,65.16,0.43,0.01731419563293457
"Single, featureRemoved:data",4.8,10.182337649086445,1.16,-20.6,0.008667230606079102
Single:bss,3984.12,60.7314055140224,34.25,0.07,0.02704763412475586
"Single, featureRemoved:bss",44.7,31.607673119038676,2.64,-21.35,0.007361650466918945
