id,MSE,NRMSE,MAE,R2,time
Single:assemblyInstr,51806703.52,241.8808297901614,1720.58,1.0,2.9603183269500732
"Single, feature removed:assemblyInstr",63.64,9.14209832268428,4.27,-0.31,2.744389057159424
Single:clockCycles,22991048.26,88.50932852549306,1331.05,1.0,2.8670654296875
"Single, feature removed:clockCycles",12.36,20.728350151420017,2.04,-33.75,2.5889110565185547
Single:text,32157959.69,37416.889268313076,1729.23,-42.54,2.7285335063934326
"Single, feature removed:text",4.96,11.216222018293069,1.08,-24.38,2.5511486530303955
Single:data,19979.47,105.06964081987046,65.37,0.45,2.77602481842041
"Single, feature removed:data",5.17,10.967226176203127,1.21,-22.25,2.5059359073638916
Single:bss,3965.51,59.773311808179834,34.5,0.1,3.014890193939209
"Single, feature removed:bss",49.81,35.22098877090193,2.74,-23.9,2.5110208988189697
